county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
grayson,texas,862996,20730.0,2021-02-12,48181,0.064,0.063,0.095,0.247,0.53
gregg,texas,958774,23255.0,2021-02-12,48183,0.053,0.064,0.07400000000000001,0.18600000000000005,0.623
grimes,texas,314256,7687.0,2021-02-12,48185,0.025,0.047,0.04,0.348,0.54
guadalupe,texas,1023823,18106.0,2021-02-12,48187,0.027000000000000003,0.022,0.032,0.125,0.794
hale,texas,692257,17128.0,2021-02-12,48189,0.066,0.058,0.028,0.239,0.609
hall,texas,24323,837.0,2021-02-12,48191,0.179,0.065,0.19,0.157,0.41
hamilton,texas,58288,1888.0,2021-02-12,48193,0.019,0.085,0.13699999999999998,0.267,0.493
hansford,texas,64005,1838.0,2021-02-12,48195,0.136,0.076,0.126,0.234,0.428
hardeman,texas,24902,763.0,2021-02-12,48197,0.042,0.116,0.237,0.223,0.381
hardin,texas,442727,8433.0,2021-02-12,48199,0.021,0.054000000000000006,0.102,0.187,0.636
harris,texas,38366779,605178.0,2021-02-12,48201,0.019,0.024,0.069,0.152,0.736
harrison,texas,372239,11792.0,2021-02-12,48203,0.086,0.037000000000000005,0.08800000000000001,0.19,0.599
hartley,texas,43190,567.0,2021-02-12,48205,0.1,0.07,0.116,0.28,0.434
haskell,texas,31859,1182.0,2021-02-12,48207,0.087,0.128,0.13699999999999998,0.209,0.439
hays,texas,1861218,19773.0,2021-02-12,48209,0.0,0.006999999999999999,0.022,0.115,0.855
hemphill,texas,43743,142.0,2021-02-12,48211,0.189,0.125,0.139,0.138,0.409
henderson,texas,461718,10395.0,2021-02-12,48213,0.043,0.07200000000000001,0.127,0.197,0.56
hidalgo,texas,8263653,367615.0,2021-02-12,48215,0.055,0.003,0.033,0.084,0.826
hill,texas,265617,4749.0,2021-02-12,48217,0.047,0.083,0.029,0.242,0.599
hockley,texas,211005,7968.0,2021-02-12,48219,0.031,0.07200000000000001,0.06,0.237,0.6
hood,texas,441213,9672.0,2021-02-12,48221,0.009000000000000001,0.122,0.135,0.124,0.61
hopkins,texas,222043,8113.0,2021-02-12,48223,0.054000000000000006,0.026,0.062,0.369,0.488
houston,texas,145718,3253.0,2021-02-12,48225,0.182,0.09,0.104,0.15,0.474
howard,texas,384814,7082.0,2021-02-12,48227,0.063,0.063,0.061,0.218,0.596
hudspeth,texas,41628,903.0,2021-02-12,48229,0.013,0.003,0.076,0.029,0.88
hunt,texas,544166,12136.0,2021-02-12,48231,0.069,0.07200000000000001,0.08199999999999999,0.285,0.4920000000000001
hutchinson,texas,126372,4442.0,2021-02-12,48233,0.112,0.064,0.128,0.249,0.447
