county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
anderson,tennessee,617022,7997.0,2021-02-12,47001,0.08800000000000001,0.105,0.112,0.215,0.48
bedford,tennessee,572516,8172.0,2021-02-12,47003,0.16399999999999998,0.093,0.246,0.248,0.249
benton,tennessee,136351,3272.0,2021-02-12,47005,0.16899999999999998,0.109,0.206,0.21,0.306
bledsoe,tennessee,290562,1176.0,2021-02-12,47007,0.08199999999999999,0.122,0.131,0.251,0.415
blount,tennessee,1128899,11960.0,2021-02-12,47009,0.069,0.08900000000000001,0.097,0.183,0.562
bradley,tennessee,1129347,8727.0,2021-02-12,47011,0.121,0.098,0.126,0.282,0.373
campbell,tennessee,297809,3773.0,2021-02-12,47013,0.059,0.075,0.204,0.109,0.5539999999999999
cannon,tennessee,148120,1231.0,2021-02-12,47015,0.209,0.08900000000000001,0.238,0.182,0.282
carroll,tennessee,322270,6439.0,2021-02-12,47017,0.179,0.08800000000000001,0.163,0.234,0.337
carter,tennessee,504845,10905.0,2021-02-12,47019,0.115,0.031,0.151,0.215,0.487
cheatham,tennessee,347913,3366.0,2021-02-12,47021,0.018000000000000002,0.067,0.155,0.28,0.48
chester,tennessee,191762,3776.0,2021-02-12,47023,0.108,0.068,0.122,0.362,0.34
claiborne,tennessee,194976,2456.0,2021-02-12,47025,0.163,0.114,0.091,0.236,0.397
clay,tennessee,97122,2687.0,2021-02-12,47027,0.099,0.105,0.264,0.126,0.406
cocke,tennessee,335333,5348.0,2021-02-12,47029,0.197,0.118,0.08199999999999999,0.171,0.431
coffee,tennessee,550720,7534.0,2021-02-12,47031,0.165,0.09,0.174,0.208,0.363
crockett,tennessee,203654,4870.0,2021-02-12,47033,0.14,0.078,0.123,0.226,0.4320000000000001
cumberland,tennessee,516595,7282.0,2021-02-12,47035,0.096,0.093,0.201,0.214,0.395
davidson,tennessee,9896347,91598.0,2021-02-12,47037,0.02,0.037000000000000005,0.086,0.181,0.677
decatur,tennessee,164638,2593.0,2021-02-12,47039,0.175,0.171,0.168,0.168,0.318
dekalb,tennessee,240914,4134.0,2021-02-12,47041,0.157,0.152,0.231,0.132,0.328
dickson,tennessee,547950,6826.0,2021-02-12,47043,0.054000000000000006,0.076,0.079,0.336,0.455
dyer,tennessee,541556,8402.0,2021-02-12,47045,0.175,0.17,0.12,0.204,0.331
fayette,tennessee,445160,6467.0,2021-02-12,47047,0.022,0.001,0.08900000000000001,0.205,0.682
fentress,tennessee,215032,3085.0,2021-02-12,47049,0.123,0.122,0.157,0.162,0.4370000000000001
franklin,tennessee,399151,5916.0,2021-02-12,47051,0.166,0.092,0.13,0.201,0.411
gibson,tennessee,598471,11155.0,2021-02-12,47053,0.182,0.086,0.111,0.26,0.361
giles,tennessee,301817,8061.0,2021-02-12,47055,0.061,0.068,0.192,0.237,0.441
grainger,tennessee,195987,2729.0,2021-02-12,47057,0.126,0.134,0.129,0.221,0.39
greene,tennessee,601796,12465.0,2021-02-12,47059,0.125,0.17800000000000002,0.033,0.254,0.41
grundy,tennessee,142778,2446.0,2021-02-12,47061,0.142,0.165,0.151,0.212,0.33
hamblen,tennessee,733349,11891.0,2021-02-12,47063,0.157,0.113,0.121,0.189,0.42
hamilton,tennessee,3766643,35883.0,2021-02-12,47065,0.116,0.116,0.129,0.229,0.411
hancock,tennessee,40182,740.0,2021-02-12,47067,0.14800000000000002,0.243,0.059,0.14,0.41
hardeman,tennessee,434216,7061.0,2021-02-12,47069,0.035,0.056,0.215,0.261,0.434
hardin,tennessee,337078,5392.0,2021-02-12,47071,0.142,0.14,0.107,0.241,0.371
hawkins,tennessee,409170,7232.0,2021-02-12,47073,0.118,0.146,0.132,0.196,0.407
haywood,tennessee,297700,5672.0,2021-02-12,47075,0.086,0.026,0.16899999999999998,0.155,0.565
henderson,tennessee,368428,5992.0,2021-02-12,47077,0.127,0.107,0.156,0.282,0.327
henry,tennessee,265405,4460.0,2021-02-12,47079,0.092,0.09,0.264,0.207,0.34700000000000003
hickman,tennessee,229571,3262.0,2021-02-12,47081,0.063,0.057,0.08199999999999999,0.217,0.581
houston,tennessee,97318,2707.0,2021-02-12,47083,0.108,0.049,0.116,0.337,0.39
humphreys,tennessee,130787,1659.0,2021-02-12,47085,0.121,0.095,0.156,0.267,0.36
jackson,tennessee,118808,2038.0,2021-02-12,47087,0.138,0.128,0.249,0.093,0.392
jefferson,tennessee,465281,6834.0,2021-02-12,47089,0.151,0.092,0.149,0.17600000000000002,0.431
johnson,tennessee,239380,2971.0,2021-02-12,47091,0.107,0.079,0.141,0.261,0.412
knox,tennessee,3967539,37583.0,2021-02-12,47093,0.036000000000000004,0.032,0.14400000000000002,0.209,0.579
lake,tennessee,273209,1489.0,2021-02-12,47095,0.133,0.14300000000000002,0.166,0.201,0.35700000000000004
lauderdale,tennessee,348396,4305.0,2021-02-12,47097,0.064,0.094,0.191,0.142,0.508
lawrence,tennessee,502258,6627.0,2021-02-12,47099,0.07400000000000001,0.129,0.156,0.192,0.45
lewis,tennessee,124486,1875.0,2021-02-12,47101,0.098,0.084,0.198,0.236,0.385
lincoln,tennessee,337462,3267.0,2021-02-12,47103,0.126,0.187,0.106,0.214,0.3670000000000001
loudon,tennessee,499638,4155.0,2021-02-12,47105,0.041,0.06,0.107,0.219,0.573
macon,tennessee,367498,6411.0,2021-02-12,47111,0.146,0.085,0.215,0.083,0.47
madison,tennessee,995157,19960.0,2021-02-12,47113,0.1,0.056,0.129,0.334,0.381
marion,tennessee,224750,3478.0,2021-02-12,47115,0.115,0.122,0.135,0.247,0.381
marshall,tennessee,335080,3572.0,2021-02-12,47117,0.219,0.129,0.139,0.16399999999999998,0.349
maury,tennessee,1085361,12045.0,2021-02-12,47119,0.119,0.07,0.19,0.156,0.466
mcminn,tennessee,508438,10216.0,2021-02-12,47107,0.077,0.087,0.155,0.298,0.384
mcnairy,tennessee,270116,5334.0,2021-02-12,47109,0.107,0.105,0.115,0.274,0.4
meigs,tennessee,106843,1695.0,2021-02-12,47121,0.08,0.118,0.136,0.214,0.453
monroe,tennessee,442635,7472.0,2021-02-12,47123,0.07,0.138,0.165,0.229,0.397
montgomery,tennessee,1397521,15959.0,2021-02-12,47125,0.083,0.063,0.203,0.228,0.423
moore,tennessee,76822,677.0,2021-02-12,47127,0.173,0.101,0.17600000000000002,0.235,0.316
morgan,tennessee,162813,1532.0,2021-02-12,47129,0.08,0.113,0.077,0.318,0.413
obion,tennessee,448340,7766.0,2021-02-12,47131,0.117,0.125,0.187,0.246,0.325
overton,tennessee,273216,4657.0,2021-02-12,47133,0.12,0.131,0.228,0.128,0.393
perry,tennessee,91067,2324.0,2021-02-12,47135,0.18,0.14800000000000002,0.13699999999999998,0.159,0.376
pickett,tennessee,65348,1920.0,2021-02-12,47137,0.105,0.128,0.219,0.133,0.416
polk,tennessee,146273,2569.0,2021-02-12,47139,0.08900000000000001,0.069,0.15,0.24,0.452
putnam,tennessee,1150885,15460.0,2021-02-12,47141,0.16,0.16399999999999998,0.207,0.099,0.369
rhea,tennessee,375627,5430.0,2021-02-12,47143,0.096,0.154,0.113,0.154,0.483
roane,tennessee,468836,5656.0,2021-02-12,47145,0.07400000000000001,0.142,0.105,0.274,0.405
robertson,tennessee,844479,10811.0,2021-02-12,47147,0.187,0.069,0.081,0.159,0.504
rutherford,tennessee,3660671,33752.0,2021-02-12,47149,0.081,0.073,0.121,0.215,0.51
scott,tennessee,191229,2208.0,2021-02-12,47151,0.121,0.14400000000000002,0.154,0.219,0.362
sequatchie,tennessee,121806,1392.0,2021-02-12,47153,0.108,0.087,0.177,0.289,0.339
sevier,tennessee,1073514,8944.0,2021-02-12,47155,0.039,0.07200000000000001,0.15,0.183,0.556
shelby,tennessee,10050964,148296.0,2021-02-12,47157,0.034,0.025,0.105,0.184,0.653
smith,tennessee,262291,3387.0,2021-02-12,47159,0.08800000000000001,0.091,0.202,0.113,0.507
stewart,tennessee,102129,2162.0,2021-02-12,47161,0.071,0.045,0.15,0.214,0.521
sullivan,tennessee,1186494,19356.0,2021-02-12,47163,0.096,0.091,0.14300000000000002,0.187,0.483
sumner,tennessee,2003631,33325.0,2021-02-12,47165,0.104,0.069,0.14,0.196,0.49
tipton,tennessee,711891,7385.0,2021-02-12,47167,0.081,0.025,0.223,0.138,0.5329999999999999
trousdale,tennessee,503238,2412.0,2021-02-12,47169,0.112,0.063,0.241,0.133,0.452
unicoi,tennessee,156938,3556.0,2021-02-12,47171,0.049,0.041,0.108,0.306,0.4970000000000001
union,tennessee,142710,1502.0,2021-02-12,47173,0.086,0.145,0.16699999999999998,0.181,0.421
van buren,tennessee,63483,640.0,2021-02-12,47175,0.145,0.147,0.147,0.239,0.32299999999999995
