county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
adams,illinois,713155,9327.0,2021-02-12,17001,0.18,0.092,0.189,0.19,0.35
alexander,illinois,40886,597.0,2021-02-12,17003,0.11,0.08199999999999999,0.14800000000000002,0.262,0.398
bond,illinois,166189,2348.0,2021-02-12,17005,0.07,0.055,0.108,0.218,0.5489999999999999
boone,illinois,622207,9864.0,2021-02-12,17007,0.025,0.006,0.065,0.244,0.66
brown,illinois,49838,808.0,2021-02-12,17009,0.18,0.099,0.136,0.2,0.385
bureau,illinois,309679,7285.0,2021-02-12,17011,0.012,0.019,0.156,0.208,0.605
calhoun,illinois,38035,242.0,2021-02-12,17013,0.08199999999999999,0.06,0.219,0.366,0.273
carroll,illinois,146174,3630.0,2021-02-12,17015,0.03,0.064,0.12,0.19,0.596
cass,illinois,180592,3908.0,2021-02-12,17017,0.103,0.08,0.19,0.187,0.441
champaign,illinois,1760955,11169.0,2021-02-12,17019,0.0,0.067,0.08,0.192,0.6609999999999999
christian,illinois,287479,7817.0,2021-02-12,17021,0.059,0.057,0.091,0.19,0.603
clark,illinois,130077,2962.0,2021-02-12,17023,0.127,0.08900000000000001,0.107,0.226,0.451
clay,illinois,122217,3339.0,2021-02-12,17025,0.062,0.115,0.145,0.306,0.3720000000000001
clinton,illinois,533688,10710.0,2021-02-12,17027,0.102,0.063,0.083,0.166,0.5870000000000001
coles,illinois,533535,11005.0,2021-02-12,17029,0.112,0.055,0.201,0.221,0.411
cook,illinois,58184205,1659993.0,2021-02-12,17031,0.023,0.021,0.07200000000000001,0.162,0.722
crawford,illinois,176587,2666.0,2021-02-12,17033,0.146,0.196,0.047,0.219,0.392
cumberland,illinois,103710,2519.0,2021-02-12,17035,0.095,0.075,0.194,0.212,0.424
de witt,illinois,98774,2322.0,2021-02-12,17039,0.035,0.106,0.073,0.28,0.507
dekalb,illinois,822162,12010.0,2021-02-12,17037,0.006999999999999999,0.012,0.034,0.191,0.7559999999999999
douglas,illinois,204843,3013.0,2021-02-12,17041,0.048,0.061,0.105,0.191,0.594
dupage,illinois,8099296,189637.0,2021-02-12,17043,0.01,0.01,0.056,0.163,0.76
edgar,illinois,124295,3917.0,2021-02-12,17045,0.174,0.09,0.131,0.208,0.398
edwards,illinois,40677,570.0,2021-02-12,17047,0.086,0.14800000000000002,0.233,0.306,0.228
effingham,illinois,418669,4992.0,2021-02-12,17049,0.07200000000000001,0.07200000000000001,0.214,0.232,0.41
fayette,illinois,266322,5388.0,2021-02-12,17051,0.069,0.076,0.156,0.229,0.47
ford,illinois,119117,4282.0,2021-02-12,17053,0.011,0.08199999999999999,0.16699999999999998,0.172,0.5670000000000001
franklin,illinois,346150,5028.0,2021-02-12,17055,0.099,0.166,0.119,0.211,0.405
fulton,illinois,222250,2924.0,2021-02-12,17057,0.016,0.03,0.311,0.199,0.444
gallatin,illinois,36995,546.0,2021-02-12,17059,0.201,0.06,0.128,0.238,0.373
greene,illinois,121012,4272.0,2021-02-12,17061,0.136,0.029,0.109,0.217,0.508
grundy,illinois,427322,4562.0,2021-02-12,17063,0.056,0.056,0.105,0.183,0.599
hamilton,illinois,60727,1043.0,2021-02-12,17065,0.138,0.179,0.1,0.21,0.373
hancock,illinois,140472,2668.0,2021-02-12,17067,0.147,0.154,0.125,0.163,0.411
hardin,illinois,24586,518.0,2021-02-12,17069,0.163,0.07200000000000001,0.235,0.191,0.34
henderson,illinois,43568,844.0,2021-02-12,17071,0.096,0.044,0.101,0.155,0.604
henry,illinois,391149,5241.0,2021-02-12,17073,0.067,0.07200000000000001,0.061,0.203,0.597
iroquois,illinois,257179,6366.0,2021-02-12,17075,0.097,0.168,0.069,0.242,0.424
jackson,illinois,478424,8872.0,2021-02-12,17077,0.066,0.078,0.151,0.209,0.496
jasper,illinois,104163,2842.0,2021-02-12,17079,0.099,0.135,0.131,0.254,0.38
jefferson,illinois,332468,12988.0,2021-02-12,17081,0.122,0.126,0.08,0.279,0.393
jersey,illinois,208784,5190.0,2021-02-12,17083,0.07400000000000001,0.079,0.124,0.185,0.537
jo daviess,illinois,157200,2466.0,2021-02-12,17085,0.034,0.104,0.22,0.17800000000000002,0.465
johnson,illinois,114160,1090.0,2021-02-12,17087,0.124,0.05,0.189,0.141,0.496
kane,illinois,5709320,108874.0,2021-02-12,17089,0.013,0.026,0.048,0.165,0.748
kankakee,illinois,1352205,27222.0,2021-02-12,17091,0.044,0.084,0.096,0.249,0.527
kendall,illinois,1070737,11040.0,2021-02-12,17093,0.001,0.009000000000000001,0.065,0.136,0.7879999999999999
knox,illinois,442590,11013.0,2021-02-12,17095,0.035,0.031,0.194,0.246,0.494
lake,illinois,6923725,155882.0,2021-02-12,17097,0.02,0.018000000000000002,0.046,0.146,0.769
lasalle,illinois,941300,25244.0,2021-02-12,17099,0.018000000000000002,0.046,0.113,0.267,0.556
