county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
adams,nebraska,287351,5043.0,2021-02-12,31001,0.057,0.128,0.08900000000000001,0.29100000000000004,0.435
antelope,nebraska,46452,489.0,2021-02-12,31003,0.198,0.096,0.191,0.161,0.354
arthur,nebraska,1853,0.0,2021-02-12,31005,0.14400000000000002,0.135,0.117,0.248,0.35600000000000004
banner,nebraska,2413,0.0,2021-02-12,31007,0.249,0.128,0.134,0.21600000000000005,0.272
blaine,nebraska,1626,0.0,2021-02-12,31009,0.17600000000000002,0.103,0.123,0.305,0.293
boone,nebraska,45500,266.0,2021-02-12,31011,0.156,0.08,0.151,0.197,0.415
box butte,nebraska,79608,718.0,2021-02-12,31013,0.303,0.112,0.096,0.285,0.203
boyd,nebraska,17454,241.0,2021-02-12,31015,0.081,0.159,0.267,0.184,0.309
brown,nebraska,21384,133.0,2021-02-12,31017,0.141,0.08199999999999999,0.16699999999999998,0.275,0.335
buffalo,nebraska,519685,5048.0,2021-02-12,31019,0.065,0.113,0.104,0.327,0.391
burt,nebraska,56318,660.0,2021-02-12,31021,0.066,0.063,0.09,0.321,0.46
butler,nebraska,82296,861.0,2021-02-12,31023,0.027000000000000003,0.105,0.263,0.238,0.365
cass,nebraska,193201,1262.0,2021-02-12,31025,0.042,0.049,0.119,0.24,0.55
cedar,nebraska,58140,680.0,2021-02-12,31027,0.207,0.163,0.161,0.177,0.293
chase,nebraska,38128,272.0,2021-02-12,31029,0.055,0.192,0.156,0.232,0.364
cherry,nebraska,25843,707.0,2021-02-12,31031,0.158,0.042,0.095,0.377,0.328
cheyenne,nebraska,70610,950.0,2021-02-12,31033,0.116,0.159,0.16399999999999998,0.338,0.223
clay,nebraska,60021,678.0,2021-02-12,31035,0.064,0.132,0.124,0.28,0.4
colfax,nebraska,268239,2330.0,2021-02-12,31037,0.054000000000000006,0.08900000000000001,0.228,0.287,0.341
cuming,nebraska,91608,779.0,2021-02-12,31039,0.147,0.066,0.122,0.34700000000000003,0.317
custer,nebraska,73717,2152.0,2021-02-12,31041,0.14300000000000002,0.104,0.112,0.328,0.314
dakota,nebraska,712664,12475.0,2021-02-12,31043,0.113,0.16699999999999998,0.131,0.163,0.425
dawes,nebraska,63311,1580.0,2021-02-12,31045,0.224,0.103,0.11,0.321,0.242
dawson,nebraska,413053,4038.0,2021-02-12,31047,0.096,0.114,0.115,0.348,0.328
deuel,nebraska,6661,9.0,2021-02-12,31049,0.093,0.147,0.138,0.267,0.355
dixon,nebraska,57199,850.0,2021-02-12,31051,0.163,0.16,0.131,0.162,0.383
dodge,nebraska,509082,5654.0,2021-02-12,31053,0.14,0.036000000000000004,0.136,0.374,0.314
douglas,nebraska,6930369,69514.0,2021-02-12,31055,0.091,0.069,0.095,0.263,0.482
dundy,nebraska,11056,406.0,2021-02-12,31057,0.053,0.232,0.173,0.231,0.311
fillmore,nebraska,44115,782.0,2021-02-12,31059,0.053,0.096,0.263,0.375,0.213
franklin,nebraska,23316,230.0,2021-02-12,31061,0.083,0.168,0.083,0.28800000000000003,0.378
frontier,nebraska,15091,101.0,2021-02-12,31063,0.094,0.121,0.136,0.336,0.313
furnas,nebraska,38681,570.0,2021-02-12,31065,0.101,0.135,0.129,0.319,0.315
gage,nebraska,191893,1973.0,2021-02-12,31067,0.127,0.03,0.103,0.26,0.48
garden,nebraska,10185,43.0,2021-02-12,31069,0.202,0.124,0.119,0.268,0.28800000000000003
garfield,nebraska,12770,270.0,2021-02-12,31071,0.168,0.084,0.142,0.236,0.37
gosper,nebraska,18870,220.0,2021-02-12,31073,0.086,0.12,0.115,0.34700000000000003,0.333
grant,nebraska,2174,252.0,2021-02-12,31075,0.199,0.116,0.102,0.27,0.313
greeley,nebraska,18329,106.0,2021-02-12,31077,0.122,0.091,0.122,0.245,0.421
hall,nebraska,896874,17507.0,2021-02-12,31079,0.048,0.114,0.103,0.284,0.451
hamilton,nebraska,87348,3900.0,2021-02-12,31081,0.04,0.124,0.157,0.252,0.4270000000000001
harlan,nebraska,18324,0.0,2021-02-12,31083,0.08900000000000001,0.158,0.102,0.302,0.348
hayes,nebraska,5322,0.0,2021-02-12,31085,0.07200000000000001,0.151,0.161,0.273,0.343
hitchcock,nebraska,16982,195.0,2021-02-12,31087,0.085,0.162,0.19,0.263,0.301
holt,nebraska,71665,1211.0,2021-02-12,31089,0.113,0.134,0.234,0.154,0.365
hooker,nebraska,5600,180.0,2021-02-12,31091,0.151,0.123,0.11,0.279,0.337
howard,nebraska,54141,1796.0,2021-02-12,31093,0.073,0.104,0.108,0.281,0.433
jefferson,nebraska,52051,46.0,2021-02-12,31095,0.206,0.05,0.055,0.306,0.384
johnson,nebraska,50914,433.0,2021-02-12,31097,0.061,0.175,0.247,0.207,0.31
kearney,nebraska,69210,273.0,2021-02-12,31099,0.062,0.127,0.094,0.318,0.399
keith,nebraska,55924,181.0,2021-02-12,31101,0.093,0.15,0.13,0.235,0.393
keya paha,nebraska,3560,0.0,2021-02-12,31103,0.124,0.09,0.183,0.273,0.331
kimball,nebraska,31169,386.0,2021-02-12,31105,0.187,0.173,0.161,0.228,0.25
knox,nebraska,75694,512.0,2021-02-12,31107,0.171,0.17800000000000002,0.195,0.157,0.299
lancaster,nebraska,2779521,16779.0,2021-02-12,31109,0.093,0.061,0.112,0.264,0.47
lincoln,nebraska,321120,3269.0,2021-02-12,31111,0.103,0.145,0.123,0.287,0.341
logan,nebraska,6115,0.0,2021-02-12,31113,0.14,0.133,0.115,0.308,0.304
loup,nebraska,3522,0.0,2021-02-12,31115,0.193,0.084,0.129,0.276,0.318
madison,nebraska,467835,4267.0,2021-02-12,31119,0.251,0.08199999999999999,0.194,0.156,0.317
mcpherson,nebraska,2674,32.0,2021-02-12,31117,0.121,0.147,0.115,0.257,0.361
merrick,nebraska,67288,916.0,2021-02-12,31121,0.05,0.125,0.13699999999999998,0.234,0.454
morrill,nebraska,47255,893.0,2021-02-12,31123,0.261,0.119,0.124,0.273,0.223
nance,nebraska,35721,605.0,2021-02-12,31125,0.091,0.111,0.131,0.207,0.459
nemaha,nebraska,53977,678.0,2021-02-12,31127,0.09,0.14800000000000002,0.13699999999999998,0.293,0.333
nuckolls,nebraska,30268,83.0,2021-02-12,31129,0.138,0.132,0.064,0.349,0.318
otoe,nebraska,109695,295.0,2021-02-12,31131,0.11,0.097,0.09,0.275,0.428
