county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
aitkin,minnesota,99416,2916.0,2021-02-12,27001,0.187,0.115,0.075,0.247,0.375
anoka,minnesota,3338855,49272.0,2021-02-12,27003,0.054000000000000006,0.078,0.132,0.245,0.4920000000000001
becker,minnesota,271376,2934.0,2021-02-12,27005,0.052000000000000005,0.28,0.175,0.24,0.252
beltrami,minnesota,307511,3622.0,2021-02-12,27007,0.094,0.155,0.225,0.185,0.34
benton,minnesota,421216,7268.0,2021-02-12,27009,0.084,0.139,0.209,0.147,0.42
big stone,minnesota,46867,245.0,2021-02-12,27011,0.256,0.121,0.185,0.146,0.292
blue earth,minnesota,638692,3064.0,2021-02-12,27013,0.065,0.078,0.146,0.276,0.435
brown,minnesota,194774,2821.0,2021-02-12,27015,0.101,0.061,0.251,0.265,0.322
carlton,minnesota,261446,3000.0,2021-02-12,27017,0.058,0.054000000000000006,0.09,0.329,0.469
carver,minnesota,727230,3312.0,2021-02-12,27019,0.024,0.128,0.183,0.29600000000000004,0.368
cass,minnesota,188970,2158.0,2021-02-12,27021,0.105,0.127,0.107,0.235,0.426
chippewa,minnesota,137573,2307.0,2021-02-12,27023,0.108,0.106,0.244,0.224,0.318
chisago,minnesota,432590,2603.0,2021-02-12,27025,0.064,0.104,0.165,0.253,0.414
clay,minnesota,741147,13810.0,2021-02-12,27027,0.092,0.121,0.138,0.23,0.419
clearwater,minnesota,62277,1062.0,2021-02-12,27029,0.065,0.21,0.203,0.172,0.35100000000000003
cook,minnesota,9949,0.0,2021-02-12,27031,0.184,0.02,0.038,0.257,0.5
cottonwood,minnesota,135734,1047.0,2021-02-12,27033,0.21600000000000005,0.045,0.262,0.215,0.263
crow wing,minnesota,467832,7783.0,2021-02-12,27035,0.147,0.112,0.081,0.249,0.411
dakota,minnesota,3555744,44045.0,2021-02-12,27037,0.07200000000000001,0.076,0.129,0.236,0.488
dodge,minnesota,137874,245.0,2021-02-12,27039,0.035,0.096,0.071,0.325,0.473
douglas,minnesota,344637,5112.0,2021-02-12,27041,0.099,0.17800000000000002,0.14800000000000002,0.225,0.35
faribault,minnesota,98251,836.0,2021-02-12,27043,0.078,0.158,0.163,0.261,0.34
fillmore,minnesota,111943,297.0,2021-02-12,27045,0.026,0.102,0.099,0.29,0.483
freeborn,minnesota,259094,1729.0,2021-02-12,27047,0.135,0.085,0.206,0.28300000000000003,0.29100000000000004
goodhue,minnesota,314235,5611.0,2021-02-12,27049,0.03,0.039,0.138,0.28,0.513
grant,minnesota,42078,1059.0,2021-02-12,27051,0.11,0.13699999999999998,0.193,0.165,0.396
hennepin,minnesota,11308343,280333.0,2021-02-12,27053,0.021,0.044,0.096,0.243,0.596
houston,minnesota,116602,903.0,2021-02-12,27055,0.07200000000000001,0.08,0.086,0.28300000000000003,0.478
hubbard,minnesota,141236,3173.0,2021-02-12,27057,0.078,0.15,0.16399999999999998,0.227,0.38
isanti,minnesota,264611,2972.0,2021-02-12,27059,0.104,0.099,0.215,0.14,0.442
itasca,minnesota,276815,5471.0,2021-02-12,27061,0.162,0.142,0.151,0.209,0.336
jackson,minnesota,84851,630.0,2021-02-12,27063,0.325,0.024,0.14,0.171,0.34
kanabec,minnesota,92059,2305.0,2021-02-12,27065,0.223,0.14800000000000002,0.13699999999999998,0.146,0.34600000000000003
kandiyohi,minnesota,622159,5142.0,2021-02-12,27067,0.109,0.107,0.182,0.29,0.312
kittson,minnesota,31308,1377.0,2021-02-12,27069,0.068,0.168,0.221,0.251,0.292
koochiching,minnesota,60862,1184.0,2021-02-12,27071,0.159,0.183,0.087,0.255,0.316
lac qui parle,minnesota,57036,1134.0,2021-02-12,27073,0.184,0.096,0.248,0.179,0.293
lake,minnesota,56556,1086.0,2021-02-12,27075,0.087,0.033,0.075,0.341,0.464
lake of the woods,minnesota,16350,163.0,2021-02-12,27077,0.091,0.171,0.17600000000000002,0.249,0.313
le sueur,minnesota,225285,1710.0,2021-02-12,27079,0.055,0.168,0.147,0.254,0.377
lincoln,minnesota,52902,123.0,2021-02-12,27081,0.11,0.078,0.203,0.292,0.317
lyon,minnesota,336395,3031.0,2021-02-12,27083,0.134,0.075,0.242,0.21,0.339
mahnomen,minnesota,40639,775.0,2021-02-12,27087,0.07,0.279,0.083,0.185,0.382
marshall,minnesota,65850,1194.0,2021-02-12,27089,0.078,0.152,0.221,0.234,0.315
martin,minnesota,191436,3889.0,2021-02-12,27091,0.18,0.115,0.134,0.205,0.366
mcleod,minnesota,310268,3254.0,2021-02-12,27085,0.061,0.17600000000000002,0.193,0.383,0.18600000000000005
meeker,minnesota,183692,2574.0,2021-02-12,27093,0.07200000000000001,0.14400000000000002,0.094,0.32299999999999995,0.3670000000000001
mille lacs,minnesota,200150,4500.0,2021-02-12,27095,0.224,0.122,0.159,0.146,0.349
morrison,minnesota,295462,3837.0,2021-02-12,27097,0.14,0.126,0.121,0.24,0.373
mower,minnesota,486883,3242.0,2021-02-12,27099,0.071,0.107,0.113,0.262,0.448
murray,minnesota,93668,702.0,2021-02-12,27101,0.131,0.071,0.224,0.27,0.303
nicollet,minnesota,250750,5438.0,2021-02-12,27103,0.063,0.085,0.16399999999999998,0.29600000000000004,0.392
nobles,minnesota,671482,5663.0,2021-02-12,27105,0.244,0.078,0.18,0.215,0.284
norman,minnesota,45373,731.0,2021-02-12,27107,0.122,0.154,0.109,0.18600000000000005,0.428
olmsted,minnesota,1164759,9317.0,2021-02-12,27109,0.023,0.101,0.057,0.333,0.485
otter tail,minnesota,422847,4831.0,2021-02-12,27111,0.078,0.182,0.278,0.17,0.29100000000000004
pennington,minnesota,94476,1222.0,2021-02-12,27113,0.081,0.197,0.211,0.205,0.306
pine,minnesota,241288,1053.0,2021-02-12,27115,0.17800000000000002,0.14300000000000002,0.07400000000000001,0.242,0.364
pipestone,minnesota,107763,3277.0,2021-02-12,27117,0.08800000000000001,0.182,0.132,0.281,0.317
polk,minnesota,323617,4737.0,2021-02-12,27119,0.104,0.208,0.197,0.196,0.295
pope,minnesota,71771,302.0,2021-02-12,27121,0.139,0.147,0.103,0.21600000000000005,0.395
ramsey,minnesota,4719121,107820.0,2021-02-12,27123,0.044,0.046,0.086,0.259,0.564
red lake,minnesota,30907,407.0,2021-02-12,27125,0.095,0.241,0.194,0.184,0.28600000000000003
redwood,minnesota,128248,2647.0,2021-02-12,27127,0.081,0.123,0.248,0.255,0.293
renville,minnesota,126055,4053.0,2021-02-12,27129,0.05,0.136,0.193,0.374,0.247
rice,minnesota,677855,6341.0,2021-02-12,27131,0.08900000000000001,0.038,0.117,0.301,0.454
rock,minnesota,111286,1128.0,2021-02-12,27133,0.095,0.22,0.11,0.247,0.328
roseau,minnesota,152442,1070.0,2021-02-12,27135,0.077,0.151,0.211,0.234,0.327
scott,minnesota,1285801,10860.0,2021-02-12,27139,0.021,0.057,0.12,0.319,0.482
sherburne,minnesota,818006,6975.0,2021-02-12,27141,0.064,0.175,0.175,0.239,0.34600000000000003
sibley,minnesota,109647,882.0,2021-02-12,27143,0.04,0.175,0.172,0.38,0.233
st. louis,minnesota,1266440,22946.0,2021-02-12,27137,0.095,0.052000000000000005,0.098,0.297,0.457
stearns,minnesota,2122487,18755.0,2021-02-12,27145,0.08199999999999999,0.142,0.187,0.174,0.415
steele,minnesota,295904,1051.0,2021-02-12,27147,0.07400000000000001,0.062,0.14400000000000002,0.354,0.365
stevens,minnesota,68212,603.0,2021-02-12,27149,0.16899999999999998,0.126,0.117,0.192,0.397
swift,minnesota,83455,1433.0,2021-02-12,27151,0.17,0.113,0.152,0.212,0.353
