county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
arkansas,arkansas,170348,3472.0,2021-02-12,5001,0.019,0.073,0.134,0.21600000000000005,0.557
ashley,arkansas,164958,2924.0,2021-02-12,5003,0.023,0.103,0.163,0.117,0.595
baxter,arkansas,223060,5950.0,2021-02-12,5005,0.15,0.104,0.108,0.104,0.534
benton,arkansas,2511988,32641.0,2021-02-12,5007,0.081,0.034,0.083,0.16,0.643
boone,arkansas,300536,7181.0,2021-02-12,5009,0.129,0.145,0.122,0.189,0.416
bradley,arkansas,117598,2281.0,2021-02-12,5011,0.094,0.102,0.175,0.184,0.445
calhoun,arkansas,25311,118.0,2021-02-12,5013,0.145,0.132,0.108,0.211,0.404
carroll,arkansas,265459,4068.0,2021-02-12,5015,0.111,0.068,0.115,0.129,0.5770000000000001
chicot,arkansas,236602,4736.0,2021-02-12,5017,0.104,0.07400000000000001,0.193,0.097,0.531
clark,arkansas,163089,2359.0,2021-02-12,5019,0.08,0.091,0.08,0.231,0.518
clay,arkansas,149280,3797.0,2021-02-12,5021,0.08199999999999999,0.124,0.157,0.242,0.395
cleburne,arkansas,158438,4982.0,2021-02-12,5023,0.036000000000000004,0.065,0.093,0.259,0.546
cleveland,arkansas,73128,2579.0,2021-02-12,5025,0.107,0.03,0.16,0.231,0.472
columbia,arkansas,192129,5512.0,2021-02-12,5027,0.241,0.07200000000000001,0.054000000000000006,0.25,0.383
conway,arkansas,151183,1978.0,2021-02-12,5029,0.071,0.12,0.13699999999999998,0.34700000000000003,0.325
craighead,arkansas,1230435,14427.0,2021-02-12,5031,0.078,0.123,0.138,0.341,0.32
crawford,arkansas,570713,7311.0,2021-02-12,5033,0.155,0.1,0.16699999999999998,0.211,0.3670000000000001
crittenden,arkansas,648677,11736.0,2021-02-12,5035,0.059,0.017,0.11,0.306,0.508
cross,arkansas,172056,4432.0,2021-02-12,5037,0.097,0.017,0.163,0.319,0.404
dallas,arkansas,59342,1205.0,2021-02-12,5039,0.197,0.055,0.093,0.196,0.459
desha,arkansas,117834,1691.0,2021-02-12,5041,0.078,0.033,0.19,0.189,0.509
drew,arkansas,162970,2376.0,2021-02-12,5043,0.063,0.049,0.207,0.159,0.523
faulkner,arkansas,980652,10707.0,2021-02-12,5045,0.066,0.027000000000000003,0.077,0.403,0.426
franklin,arkansas,135854,2296.0,2021-02-12,5047,0.149,0.079,0.245,0.187,0.34
fulton,arkansas,92147,2990.0,2021-02-12,5049,0.105,0.121,0.226,0.197,0.35100000000000003
garland,arkansas,759230,18700.0,2021-02-12,5051,0.025,0.102,0.068,0.21,0.596
grant,arkansas,121829,1581.0,2021-02-12,5053,0.08199999999999999,0.043,0.127,0.258,0.489
greene,arkansas,496845,5486.0,2021-02-12,5055,0.062,0.141,0.154,0.34600000000000003,0.297
hempstead,arkansas,159046,1476.0,2021-02-12,5057,0.098,0.073,0.096,0.179,0.5539999999999999
hot spring,arkansas,568279,7598.0,2021-02-12,5059,0.059,0.086,0.079,0.21600000000000005,0.56
howard,arkansas,156396,2634.0,2021-02-12,5061,0.081,0.07,0.145,0.145,0.56
independence,arkansas,365949,10706.0,2021-02-12,5063,0.13699999999999998,0.156,0.08800000000000001,0.179,0.44
izard,arkansas,147289,1723.0,2021-02-12,5065,0.086,0.121,0.133,0.23,0.43
jackson,arkansas,276560,2086.0,2021-02-12,5067,0.116,0.103,0.135,0.179,0.468
jefferson,arkansas,973960,21630.0,2021-02-12,5069,0.042,0.036000000000000004,0.172,0.173,0.5770000000000001
johnson,arkansas,276075,2344.0,2021-02-12,5071,0.14400000000000002,0.103,0.205,0.221,0.328
lafayette,arkansas,45082,800.0,2021-02-12,5073,0.12,0.08199999999999999,0.078,0.234,0.486
lawrence,arkansas,199466,5276.0,2021-02-12,5075,0.085,0.128,0.153,0.298,0.337
lee,arkansas,274773,3977.0,2021-02-12,5077,0.103,0.032,0.195,0.263,0.407
lincoln,arkansas,547865,4818.0,2021-02-12,5079,0.035,0.016,0.194,0.201,0.5539999999999999
little river,arkansas,113601,5824.0,2021-02-12,5081,0.07400000000000001,0.121,0.106,0.201,0.499
logan,arkansas,180121,1192.0,2021-02-12,5083,0.14800000000000002,0.11,0.12,0.14300000000000002,0.479
lonoke,arkansas,516734,8566.0,2021-02-12,5085,0.048,0.045,0.136,0.297,0.474
madison,arkansas,137226,1496.0,2021-02-12,5087,0.075,0.08800000000000001,0.159,0.114,0.564
marion,arkansas,68277,1646.0,2021-02-12,5089,0.171,0.112,0.119,0.108,0.49
miller,arkansas,359568,3624.0,2021-02-12,5091,0.064,0.124,0.106,0.219,0.487
mississippi,arkansas,580328,13265.0,2021-02-12,5093,0.033,0.109,0.134,0.284,0.44
monroe,arkansas,60849,809.0,2021-02-12,5095,0.068,0.128,0.127,0.271,0.406
montgomery,arkansas,57744,2125.0,2021-02-12,5097,0.081,0.095,0.136,0.166,0.521
nevada,arkansas,81799,3233.0,2021-02-12,5099,0.14300000000000002,0.048,0.084,0.224,0.501
newton,arkansas,72782,3899.0,2021-02-12,5101,0.107,0.14,0.084,0.261,0.408
ouachita,arkansas,150046,3134.0,2021-02-12,5103,0.151,0.097,0.06,0.242,0.449
perry,arkansas,53493,489.0,2021-02-12,5105,0.098,0.051,0.08,0.3670000000000001,0.404
phillips,arkansas,177763,3625.0,2021-02-12,5107,0.052000000000000005,0.061,0.134,0.276,0.477
pike,arkansas,81696,1099.0,2021-02-12,5109,0.064,0.061,0.2,0.17600000000000002,0.501
poinsett,arkansas,287975,6765.0,2021-02-12,5111,0.077,0.098,0.141,0.287,0.397
polk,arkansas,145545,3487.0,2021-02-12,5113,0.18,0.08,0.217,0.076,0.446
pope,arkansas,746436,8493.0,2021-02-12,5115,0.08199999999999999,0.151,0.181,0.285,0.302
prairie,arkansas,68145,1481.0,2021-02-12,5117,0.062,0.17,0.103,0.273,0.391
pulaski,arkansas,3374846,54882.0,2021-02-12,5119,0.028,0.027000000000000003,0.126,0.175,0.644
randolph,arkansas,179576,5499.0,2021-02-12,5121,0.051,0.145,0.203,0.289,0.311
saline,arkansas,928684,11488.0,2021-02-12,5125,0.066,0.044,0.154,0.212,0.524
scott,arkansas,68901,874.0,2021-02-12,5127,0.155,0.14,0.124,0.123,0.458
searcy,arkansas,57535,848.0,2021-02-12,5129,0.1,0.08800000000000001,0.125,0.149,0.5379999999999999
sebastian,arkansas,1326536,21270.0,2021-02-12,5131,0.121,0.142,0.157,0.208,0.3720000000000001
sevier,arkansas,354636,3915.0,2021-02-12,5133,0.12,0.093,0.155,0.165,0.467
sharp,arkansas,127507,3843.0,2021-02-12,5135,0.067,0.158,0.22,0.222,0.333
st. francis,arkansas,466719,2819.0,2021-02-12,5123,0.087,0.006999999999999999,0.289,0.267,0.35
stone,arkansas,95907,3494.0,2021-02-12,5137,0.067,0.092,0.11,0.234,0.498
union,arkansas,328004,11152.0,2021-02-12,5139,0.116,0.179,0.098,0.262,0.344
van buren,arkansas,86798,1235.0,2021-02-12,5141,0.033,0.06,0.096,0.272,0.539
washington,arkansas,3105666,33372.0,2021-02-12,5143,0.034,0.028,0.101,0.18600000000000005,0.6509999999999999
white,arkansas,530230,8576.0,2021-02-12,5145,0.026,0.054000000000000006,0.152,0.277,0.491
woodruff,arkansas,40626,266.0,2021-02-12,5147,0.059,0.048,0.208,0.231,0.454
yell,arkansas,381971,7288.0,2021-02-12,5149,0.116,0.1,0.112,0.198,0.474
