county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
alameda,california,7232537,112213.0,2021-02-12,6001,0.019,0.008,0.055,0.123,0.795
alpine,california,5889,0.0,2021-02-12,6003,0.025,0.085,0.08800000000000001,0.19,0.612
amador,california,215189,3648.0,2021-02-12,6005,0.045,0.013,0.099,0.188,0.655
butte,california,921659,12516.0,2021-02-12,6007,0.015,0.043,0.111,0.204,0.626
calaveras,california,134851,3151.0,2021-02-12,6009,0.045,0.019,0.098,0.276,0.562
colusa,california,177381,1365.0,2021-02-12,6011,0.027000000000000003,0.031,0.092,0.151,0.7
contra costa,california,5559969,60548.0,2021-02-12,6013,0.018000000000000002,0.016,0.039,0.121,0.8059999999999999
del norte,california,78390,260.0,2021-02-12,6015,0.01,0.135,0.112,0.196,0.547
el dorado,california,621701,3097.0,2021-02-12,6017,0.028,0.042,0.07200000000000001,0.183,0.675
fresno,california,8937213,108992.0,2021-02-12,6019,0.021,0.022,0.059,0.156,0.741
glenn,california,197978,1668.0,2021-02-12,6021,0.028,0.026,0.146,0.206,0.594
humboldt,california,221422,2678.0,2021-02-12,6023,0.042,0.006,0.018000000000000002,0.069,0.865
imperial,california,3567939,77780.0,2021-02-12,6025,0.001,0.005,0.03,0.128,0.836
inyo,california,78150,3394.0,2021-02-12,6027,0.033,0.011,0.008,0.058,0.889
kern,california,9785462,87725.0,2021-02-12,6029,0.022,0.028,0.105,0.177,0.6679999999999999
kings,california,2354886,20777.0,2021-02-12,6031,0.075,0.016,0.049,0.094,0.7659999999999999
lake,california,221428,3256.0,2021-02-12,6033,0.003,0.004,0.006999999999999999,0.136,0.8490000000000001
lassen,california,449634,855.0,2021-02-12,6035,0.064,0.068,0.162,0.225,0.482
los angeles,california,104071580,1967314.0,2021-02-12,6037,0.021,0.013,0.049,0.131,0.7859999999999999
madera,california,1413571,18308.0,2021-02-12,6039,0.019,0.059,0.048,0.124,0.7509999999999999
marin,california,1743346,26804.0,2021-02-12,6041,0.011,0.0,0.046,0.141,0.802
mariposa,california,32321,636.0,2021-02-12,6043,0.01,0.094,0.049,0.18600000000000005,0.6609999999999999
mendocino,california,324335,4516.0,2021-02-12,6045,0.002,0.003,0.004,0.222,0.77
merced,california,2698839,37828.0,2021-02-12,6047,0.026,0.036000000000000004,0.08900000000000001,0.146,0.703
modoc,california,21241,132.0,2021-02-12,6049,0.068,0.019,0.095,0.204,0.615
mono,california,100629,636.0,2021-02-12,6051,0.011,0.026,0.012,0.07,0.88
monterey,california,3555010,26554.0,2021-02-12,6053,0.023,0.006,0.066,0.141,0.763
napa,california,710867,4766.0,2021-02-12,6055,0.017,0.026,0.033,0.149,0.773
nevada,california,287323,4773.0,2021-02-12,6057,0.003,0.054000000000000006,0.084,0.177,0.682
orange,california,21384419,338738.0,2021-02-12,6059,0.023,0.021,0.046,0.156,0.754
placer,california,1578836,17469.0,2021-02-12,6061,0.012,0.023,0.07200000000000001,0.201,0.693
plumas,california,40503,230.0,2021-02-12,6063,0.063,0.067,0.053,0.146,0.6709999999999999
riverside,california,23605872,351228.0,2021-02-12,6065,0.026,0.014,0.041,0.116,0.8029999999999999
sacramento,california,8151758,126113.0,2021-02-12,6067,0.025,0.028,0.062,0.16399999999999998,0.722
san benito,california,472901,4262.0,2021-02-12,6069,0.018000000000000002,0.004,0.063,0.175,0.7390000000000001
san bernardino,california,23324870,245438.0,2021-02-12,6071,0.027000000000000003,0.022,0.048,0.134,0.768
san diego,california,20130828,264947.0,2021-02-12,6073,0.017,0.023,0.034,0.126,0.8
san francisco,california,3549017,35422.0,2021-02-12,6075,0.017,0.011,0.035,0.121,0.8170000000000001
san joaquin,california,6306762,107219.0,2021-02-12,6077,0.054000000000000006,0.019,0.081,0.165,0.68
san luis obispo,california,1450241,11576.0,2021-02-12,6079,0.025,0.024,0.037000000000000005,0.16899999999999998,0.745
san mateo,california,3484100,47508.0,2021-02-12,6081,0.016,0.013,0.058,0.126,0.7859999999999999
santa barbara,california,2887666,30818.0,2021-02-12,6083,0.015,0.02,0.075,0.153,0.737
santa clara,california,8685472,125426.0,2021-02-12,6085,0.015,0.014,0.04,0.168,0.764
santa cruz,california,1063146,9535.0,2021-02-12,6087,0.008,0.0,0.086,0.109,0.797
shasta,california,826066,10587.0,2021-02-12,6089,0.095,0.056,0.071,0.232,0.547
sierra,california,3173,0.0,2021-02-12,6091,0.14,0.053,0.047,0.14300000000000002,0.617
siskiyou,california,121213,797.0,2021-02-12,6093,0.132,0.07400000000000001,0.08199999999999999,0.16699999999999998,0.546
solano,california,2477886,17523.0,2021-02-12,6095,0.043,0.046,0.035,0.14800000000000002,0.728
sonoma,california,2563872,30252.0,2021-02-12,6097,0.022,0.012,0.022,0.149,0.795
stanislaus,california,5237692,92485.0,2021-02-12,6099,0.032,0.028,0.062,0.173,0.705
sutter,california,725668,6151.0,2021-02-12,6101,0.058,0.031,0.08,0.163,0.669
tehama,california,330863,3858.0,2021-02-12,6103,0.057,0.062,0.141,0.195,0.545
trinity,california,21734,235.0,2021-02-12,6105,0.081,0.07,0.055,0.201,0.5920000000000001
tulare,california,4902641,75623.0,2021-02-12,6107,0.025,0.039,0.115,0.136,0.685
tuolumne,california,248734,2787.0,2021-02-12,6109,0.008,0.043,0.084,0.212,0.653
ventura,california,5369046,48920.0,2021-02-12,6111,0.024,0.011,0.033,0.156,0.777
yolo,california,1066797,18482.0,2021-02-12,6113,0.006999999999999999,0.005,0.04,0.156,0.7909999999999999
yuba,california,462993,2774.0,2021-02-12,6115,0.057,0.035,0.071,0.16699999999999998,0.669
