county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
acadia,louisiana,833016,26445.0,2021-02-12,22001,0.122,0.111,0.138,0.265,0.362
allen,louisiana,420050,12692.0,2021-02-12,22003,0.196,0.07,0.118,0.2,0.416
ascension,louisiana,1218930,26558.0,2021-02-12,22005,0.049,0.092,0.142,0.14800000000000002,0.569
assumption,louisiana,236785,6208.0,2021-02-12,22007,0.079,0.034,0.213,0.206,0.468
avoyelles,louisiana,429718,14604.0,2021-02-12,22009,0.13,0.092,0.073,0.246,0.459
beauregard,louisiana,300519,9164.0,2021-02-12,22011,0.086,0.069,0.16899999999999998,0.191,0.486
bienville,louisiana,175093,10332.0,2021-02-12,22013,0.078,0.052000000000000005,0.17,0.29100000000000004,0.409
bossier,louisiana,1232235,31506.0,2021-02-12,22015,0.068,0.096,0.14400000000000002,0.225,0.468
caddo,louisiana,2835610,104686.0,2021-02-12,22017,0.058,0.079,0.158,0.209,0.4970000000000001
calcasieu,louisiana,2240223,52250.0,2021-02-12,22019,0.102,0.139,0.077,0.212,0.471
caldwell,louisiana,118529,1967.0,2021-02-12,22021,0.102,0.061,0.098,0.241,0.498
cameron,louisiana,61648,504.0,2021-02-12,22023,0.08900000000000001,0.127,0.079,0.201,0.505
catahoula,louisiana,131746,3507.0,2021-02-12,22025,0.11,0.056,0.086,0.147,0.6
claiborne,louisiana,154292,6434.0,2021-02-12,22027,0.146,0.068,0.04,0.273,0.473
concordia,louisiana,186152,5379.0,2021-02-12,22029,0.11,0.104,0.112,0.095,0.579
de soto,louisiana,290371,9856.0,2021-02-12,22031,0.035,0.075,0.132,0.162,0.596
east baton rouge,louisiana,4381592,122781.0,2021-02-12,22033,0.052000000000000005,0.031,0.09,0.183,0.642
east carroll,louisiana,166468,1827.0,2021-02-12,22035,0.022,0.046,0.121,0.13699999999999998,0.674
east feliciana,louisiana,397897,17643.0,2021-02-12,22037,0.067,0.053,0.095,0.366,0.42
evangeline,louisiana,377974,8266.0,2021-02-12,22039,0.215,0.077,0.111,0.211,0.387
franklin,louisiana,346746,12076.0,2021-02-12,22041,0.123,0.054000000000000006,0.102,0.156,0.565
grant,louisiana,181194,6499.0,2021-02-12,22043,0.086,0.041,0.109,0.229,0.535
iberia,louisiana,812386,24214.0,2021-02-12,22045,0.112,0.084,0.085,0.253,0.467
iberville,louisiana,452618,16878.0,2021-02-12,22047,0.061,0.021,0.084,0.19,0.644
jackson,louisiana,207331,6850.0,2021-02-12,22049,0.116,0.083,0.127,0.29,0.383
jefferson,louisiana,5655321,171184.0,2021-02-12,22051,0.044,0.031,0.066,0.174,0.685
jefferson davis,louisiana,360125,10727.0,2021-02-12,22053,0.249,0.111,0.09,0.196,0.354
lafayette,louisiana,2599631,33958.0,2021-02-12,22055,0.062,0.083,0.105,0.217,0.5329999999999999
lafourche,louisiana,1065254,34584.0,2021-02-12,22057,0.078,0.039,0.159,0.151,0.573
lasalle,louisiana,154784,3052.0,2021-02-12,22059,0.08199999999999999,0.035,0.08900000000000001,0.223,0.5710000000000001
lincoln,louisiana,453797,12596.0,2021-02-12,22061,0.102,0.08,0.111,0.29,0.417
livingston,louisiana,1251098,21820.0,2021-02-12,22063,0.06,0.043,0.14400000000000002,0.29,0.463
madison,louisiana,225313,2843.0,2021-02-12,22065,0.034,0.068,0.109,0.172,0.617
morehouse,louisiana,277407,7018.0,2021-02-12,22067,0.039,0.105,0.124,0.166,0.5660000000000001
natchitoches,louisiana,401965,9167.0,2021-02-12,22069,0.096,0.063,0.113,0.16699999999999998,0.561
orleans,louisiana,4077264,179788.0,2021-02-12,22071,0.019,0.034,0.087,0.206,0.654
ouachita,louisiana,2066319,46695.0,2021-02-12,22073,0.076,0.098,0.121,0.229,0.476
plaquemines,louisiana,249334,5788.0,2021-02-12,22075,0.065,0.035,0.165,0.222,0.513
pointe coupee,louisiana,300434,11591.0,2021-02-12,22077,0.044,0.08199999999999999,0.068,0.198,0.608
rapides,louisiana,1311839,39335.0,2021-02-12,22079,0.106,0.046,0.087,0.236,0.524
red river,louisiana,105165,5536.0,2021-02-12,22081,0.068,0.081,0.135,0.189,0.527
richland,louisiana,258879,4932.0,2021-02-12,22083,0.066,0.08,0.126,0.194,0.534
sabine,louisiana,283802,4952.0,2021-02-12,22085,0.098,0.08,0.113,0.145,0.564
st. bernard,louisiana,434755,8946.0,2021-02-12,22087,0.035,0.075,0.136,0.23,0.524
st. charles,louisiana,596575,18090.0,2021-02-12,22089,0.093,0.048,0.027000000000000003,0.165,0.667
st. helena,louisiana,110978,917.0,2021-02-12,22091,0.064,0.126,0.138,0.237,0.434
st. james,louisiana,243884,10687.0,2021-02-12,22093,0.034,0.099,0.202,0.061,0.603
st. john the baptist,louisiana,506355,30378.0,2021-02-12,22095,0.096,0.059,0.19,0.079,0.5770000000000001
st. landry,louisiana,990848,35671.0,2021-02-12,22097,0.064,0.105,0.117,0.199,0.515
st. martin,louisiana,608031,16505.0,2021-02-12,22099,0.069,0.11,0.096,0.17800000000000002,0.5479999999999999
st. mary,louisiana,524521,20472.0,2021-02-12,22101,0.066,0.02,0.179,0.28,0.454
st. tammany,louisiana,2353074,75162.0,2021-02-12,22103,0.031,0.073,0.07400000000000001,0.211,0.611
tangipahoa,louisiana,1395519,31994.0,2021-02-12,22105,0.066,0.07200000000000001,0.103,0.193,0.5660000000000001
tensas,louisiana,42956,495.0,2021-02-12,22107,0.081,0.064,0.097,0.134,0.625
terrebonne,louisiana,1056298,30980.0,2021-02-12,22109,0.068,0.052000000000000005,0.14,0.221,0.519
union,louisiana,297688,12410.0,2021-02-12,22111,0.071,0.142,0.106,0.244,0.436
vermilion,louisiana,551105,13965.0,2021-02-12,22113,0.076,0.08800000000000001,0.115,0.271,0.449
vernon,louisiana,307041,12089.0,2021-02-12,22115,0.092,0.066,0.145,0.244,0.453
washington,louisiana,502030,19201.0,2021-02-12,22117,0.103,0.046,0.14800000000000002,0.242,0.461
webster,louisiana,414532,9810.0,2021-02-12,22119,0.134,0.044,0.063,0.265,0.494
west baton rouge,louisiana,282170,11586.0,2021-02-12,22121,0.044,0.04,0.07,0.197,0.649
west carroll,louisiana,125138,3937.0,2021-02-12,22123,0.022,0.063,0.124,0.114,0.677
west feliciana,louisiana,173879,5844.0,2021-02-12,22125,0.07200000000000001,0.13,0.037000000000000005,0.265,0.496
winn,louisiana,189310,4846.0,2021-02-12,22127,0.086,0.106,0.13,0.236,0.443
