county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
beaver,utah,38337,251.0,2021-02-12,49001,0.099,0.026,0.271,0.28300000000000003,0.32
box elder,utah,389609,2861.0,2021-02-12,49003,0.084,0.116,0.111,0.27,0.419
cache,utah,1371505,2681.0,2021-02-12,49005,0.09,0.108,0.08,0.31,0.411
carbon,utah,110671,629.0,2021-02-12,49007,0.107,0.134,0.114,0.293,0.353
daggett,utah,1846,0.0,2021-02-12,49009,0.091,0.29600000000000004,0.102,0.33,0.181
davis,utah,2889948,11820.0,2021-02-12,49011,0.035,0.055,0.077,0.314,0.518
duchesne,utah,91015,551.0,2021-02-12,49013,0.051,0.259,0.033,0.469,0.188
emery,utah,53834,624.0,2021-02-12,49015,0.122,0.109,0.106,0.239,0.424
garfield,utah,36212,977.0,2021-02-12,49017,0.062,0.056,0.232,0.264,0.386
grand,utah,49368,208.0,2021-02-12,49019,0.056,0.111,0.098,0.17600000000000002,0.5579999999999999
iron,utah,384632,1624.0,2021-02-12,49021,0.065,0.036000000000000004,0.22,0.262,0.417
juab,utah,88774,1037.0,2021-02-12,49023,0.335,0.023,0.079,0.193,0.369
kane,utah,37238,270.0,2021-02-12,49025,0.061,0.041,0.226,0.227,0.445
millard,utah,105195,350.0,2021-02-12,49027,0.4320000000000001,0.023,0.08800000000000001,0.171,0.28600000000000003
morgan,utah,87709,526.0,2021-02-12,49029,0.092,0.155,0.053,0.37,0.33
piute,utah,7964,166.0,2021-02-12,49031,0.097,0.061,0.266,0.3,0.276
rich,utah,8397,0.0,2021-02-12,49033,0.077,0.113,0.062,0.327,0.421
salt lake,utah,13848551,85128.0,2021-02-12,49035,0.028,0.032,0.094,0.202,0.644
san juan,utah,235319,6802.0,2021-02-12,49037,0.04,0.064,0.042,0.21,0.644
sanpete,utah,231418,1083.0,2021-02-12,49039,0.107,0.043,0.104,0.273,0.473
sevier,utah,141192,664.0,2021-02-12,49041,0.152,0.096,0.171,0.3,0.282
summit,utah,465380,617.0,2021-02-12,49043,0.018000000000000002,0.1,0.054000000000000006,0.177,0.6509999999999999
tooele,utah,525100,1443.0,2021-02-12,49045,0.002,0.114,0.141,0.212,0.532
uintah,utah,128646,816.0,2021-02-12,49047,0.121,0.269,0.046,0.389,0.175
utah,utah,8256798,26997.0,2021-02-12,49049,0.068,0.035,0.195,0.244,0.458
wasatch,utah,403828,2313.0,2021-02-12,49051,0.039,0.063,0.056,0.254,0.588
washington,utah,1741107,13975.0,2021-02-12,49053,0.034,0.056,0.123,0.269,0.518
wayne,utah,7497,0.0,2021-02-12,49055,0.068,0.129,0.114,0.269,0.42
weber,utah,2273117,12705.0,2021-02-12,49057,0.066,0.08900000000000001,0.07200000000000001,0.287,0.486
