county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
baker,oregon,50640,607.0,2021-02-12,41001,0.051,0.189,0.179,0.189,0.392
benton,oregon,162596,2176.0,2021-02-12,41003,0.006999999999999999,0.006999999999999999,0.059,0.156,0.77
clackamas,oregon,1179524,18676.0,2021-02-12,41005,0.016,0.024,0.071,0.168,0.721
clatsop,oregon,71565,239.0,2021-02-12,41007,0.052000000000000005,0.027000000000000003,0.051,0.073,0.797
columbia,oregon,95844,1195.0,2021-02-12,41009,0.048,0.015,0.158,0.174,0.604
coos,oregon,89681,830.0,2021-02-12,41011,0.128,0.061,0.136,0.099,0.5770000000000001
crook,oregon,49842,990.0,2021-02-12,41013,0.019,0.075,0.027000000000000003,0.246,0.633
curry,oregon,27032,345.0,2021-02-12,41015,0.025,0.058,0.1,0.162,0.655
deschutes,oregon,463816,3687.0,2021-02-12,41017,0.01,0.061,0.014,0.25,0.6659999999999999
douglas,oregon,157155,3575.0,2021-02-12,41019,0.08199999999999999,0.052000000000000005,0.116,0.239,0.511
gilliam,oregon,4267,68.0,2021-02-12,41021,0.008,0.003,0.049,0.332,0.607
grant,oregon,16787,86.0,2021-02-12,41023,0.014,0.062,0.132,0.12,0.6709999999999999
harney,oregon,14971,243.0,2021-02-12,41025,0.032,0.099,0.114,0.157,0.598
hood river,oregon,98981,1212.0,2021-02-12,41027,0.03,0.071,0.127,0.162,0.61
jackson,oregon,649403,6368.0,2021-02-12,41029,0.044,0.077,0.075,0.138,0.665
jefferson,oregon,185154,2414.0,2021-02-12,41031,0.018000000000000002,0.062,0.012,0.25,0.657
josephine,oregon,135941,2259.0,2021-02-12,41033,0.028,0.056,0.07200000000000001,0.192,0.652
klamath,oregon,202410,2425.0,2021-02-12,41035,0.097,0.031,0.062,0.227,0.583
lake,oregon,22472,300.0,2021-02-12,41037,0.05,0.017,0.127,0.247,0.5579999999999999
lane,oregon,771666,9404.0,2021-02-12,41039,0.031,0.036000000000000004,0.077,0.13699999999999998,0.7190000000000001
lincoln,oregon,145041,2969.0,2021-02-12,41041,0.001,0.012,0.047,0.131,0.81
linn,oregon,296553,5516.0,2021-02-12,41043,0.057,0.025,0.096,0.159,0.664
malheur,oregon,427134,7306.0,2021-02-12,41045,0.071,0.206,0.213,0.206,0.305
marion,oregon,1829718,31868.0,2021-02-12,41047,0.029,0.013,0.053,0.196,0.71
morrow,oregon,131051,1343.0,2021-02-12,41049,0.026,0.004,0.083,0.197,0.69
multnomah,oregon,3124133,54675.0,2021-02-12,41051,0.013,0.016,0.054000000000000006,0.17800000000000002,0.738
polk,oregon,244559,5144.0,2021-02-12,41053,0.013,0.022,0.078,0.242,0.645
sherman,oregon,5391,0.0,2021-02-12,41055,0.008,0.014,0.046,0.271,0.66
tillamook,oregon,31194,76.0,2021-02-12,41057,0.125,0.04,0.092,0.163,0.581
umatilla,oregon,874079,10026.0,2021-02-12,41059,0.043,0.01,0.081,0.155,0.71
union,oregon,151195,1381.0,2021-02-12,41061,0.034,0.08800000000000001,0.086,0.189,0.603
wallowa,oregon,11917,417.0,2021-02-12,41063,0.041,0.083,0.146,0.229,0.501
wasco,oregon,111489,2839.0,2021-02-12,41065,0.019,0.034,0.069,0.197,0.6809999999999999
washington,oregon,1991658,20794.0,2021-02-12,41067,0.006,0.009000000000000001,0.059,0.16899999999999998,0.7559999999999999
wheeler,oregon,1278,45.0,2021-02-12,41069,0.023,0.07,0.049,0.232,0.626
yamhill,oregon,327072,5514.0,2021-02-12,41071,0.021,0.035,0.07200000000000001,0.14300000000000002,0.7290000000000001
