county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
allegany,maryland,515374,15923.0,2021-02-12,24001,0.006999999999999999,0.01,0.035,0.213,0.736
anne arundel,maryland,3680172,77629.0,2021-02-12,24003,0.018000000000000002,0.022,0.067,0.154,0.7390000000000001
baltimore,maryland,5984085,187065.0,2021-02-12,24005,0.013,0.024,0.043,0.142,0.777
baltimore city,maryland,5092516,140538.0,2021-02-12,24510,0.024,0.032,0.063,0.14800000000000002,0.733
calvert,maryland,352663,9169.0,2021-02-12,24009,0.049,0.049,0.071,0.11,0.72
caroline,maryland,214768,1796.0,2021-02-12,24011,0.009000000000000001,0.019,0.033,0.168,0.77
carroll,maryland,762983,37730.0,2021-02-12,24013,0.014,0.008,0.062,0.17,0.746
cecil,maryland,462009,12559.0,2021-02-12,24015,0.009000000000000001,0.018000000000000002,0.054000000000000006,0.182,0.738
charles,maryland,955989,29098.0,2021-02-12,24017,0.035,0.034,0.107,0.157,0.667
dorchester,maryland,211085,3336.0,2021-02-12,24019,0.02,0.006,0.011,0.119,0.8440000000000001
frederick,maryland,1638311,41584.0,2021-02-12,24021,0.028,0.036000000000000004,0.062,0.113,0.762
garrett,maryland,129774,3343.0,2021-02-12,24023,0.077,0.008,0.04,0.305,0.5710000000000001
harford,maryland,1180854,26700.0,2021-02-12,24025,0.008,0.009000000000000001,0.037000000000000005,0.168,0.778
howard,maryland,1759037,35306.0,2021-02-12,24027,0.024,0.015,0.067,0.17,0.723
kent,maryland,114917,6931.0,2021-02-12,24029,0.005,0.014,0.06,0.207,0.7140000000000001
montgomery,maryland,7713958,251340.0,2021-02-12,24031,0.025,0.029,0.041,0.128,0.777
prince george's,maryland,9586542,240011.0,2021-02-12,24033,0.087,0.034,0.064,0.094,0.72
queen anne's,maryland,239546,6867.0,2021-02-12,24035,0.002,0.042,0.041,0.309,0.605
somerset,maryland,185752,2309.0,2021-02-12,24039,0.004,0.01,0.047,0.128,0.812
st. mary's,maryland,483508,16782.0,2021-02-12,24037,0.04,0.009000000000000001,0.036000000000000004,0.152,0.763
talbot,maryland,178745,1923.0,2021-02-12,24041,0.012,0.012,0.006,0.127,0.843
washington,maryland,943537,18816.0,2021-02-12,24043,0.031,0.047,0.085,0.194,0.642
wicomico,maryland,726169,15891.0,2021-02-12,24045,0.006,0.011,0.063,0.116,0.804
worcester,maryland,329242,8852.0,2021-02-12,24047,0.003,0.004,0.042,0.11,0.8420000000000001
