county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
alachua,florida,2368768,18181.0,2021-02-12,12001,0.001,0.024,0.053,0.17,0.7509999999999999
baker,florida,380302,5142.0,2021-02-12,12003,0.087,0.076,0.18,0.215,0.442
bay,florida,1773431,30442.0,2021-02-12,12005,0.065,0.109,0.076,0.202,0.5479999999999999
bradford,florida,294416,3504.0,2021-02-12,12007,0.106,0.168,0.172,0.173,0.381
brevard,florida,3060221,79281.0,2021-02-12,12009,0.068,0.073,0.096,0.157,0.607
broward,florida,22182028,341375.0,2021-02-12,12011,0.026,0.023,0.043,0.117,0.7909999999999999
calhoun,florida,181089,4129.0,2021-02-12,12013,0.034,0.055,0.138,0.267,0.507
charlotte,florida,1053402,41465.0,2021-02-12,12015,0.051,0.049,0.101,0.158,0.64
citrus,florida,901287,33975.0,2021-02-12,12017,0.09,0.036000000000000004,0.087,0.17800000000000002,0.609
clay,florida,1626701,30550.0,2021-02-12,12019,0.055,0.067,0.15,0.209,0.52
collier,florida,3707532,58639.0,2021-02-12,12021,0.04,0.023,0.067,0.212,0.6579999999999999
columbia,florida,970330,16173.0,2021-02-12,12023,0.047,0.026,0.28800000000000003,0.254,0.385
desoto,florida,465676,8238.0,2021-02-12,12027,0.023,0.064,0.056,0.142,0.715
dixie,florida,191853,2046.0,2021-02-12,12029,0.071,0.095,0.119,0.318,0.397
duval,florida,9302302,112607.0,2021-02-12,12031,0.049,0.042,0.086,0.194,0.629
escambia,florida,3557514,62491.0,2021-02-12,12033,0.019,0.052000000000000005,0.095,0.31,0.524
flagler,florida,554235,7844.0,2021-02-12,12035,0.079,0.05,0.113,0.157,0.602
franklin,florida,153742,859.0,2021-02-12,12037,0.022,0.101,0.237,0.228,0.412
gadsden,florida,686990,10480.0,2021-02-12,12039,0.06,0.033,0.104,0.227,0.575
gilchrist,florida,150355,3450.0,2021-02-12,12041,0.016,0.151,0.069,0.324,0.44
glades,florida,135592,1602.0,2021-02-12,12043,0.047,0.08199999999999999,0.098,0.096,0.677
gulf,florida,215351,3633.0,2021-02-12,12045,0.046,0.125,0.12,0.249,0.46
hamilton,florida,221568,2119.0,2021-02-12,12047,0.101,0.071,0.235,0.227,0.365
hardee,florida,359113,3186.0,2021-02-12,12049,0.114,0.041,0.179,0.18600000000000005,0.48
hendry,florida,578733,10711.0,2021-02-12,12051,0.046,0.042,0.112,0.15,0.65
hernando,florida,1023119,37823.0,2021-02-12,12053,0.09,0.04,0.091,0.19,0.589
highlands,florida,710469,28099.0,2021-02-12,12055,0.025,0.056,0.145,0.138,0.635
hillsborough,florida,12265304,176920.0,2021-02-12,12057,0.023,0.031,0.069,0.155,0.722
holmes,florida,234798,3099.0,2021-02-12,12059,0.17,0.077,0.081,0.111,0.562
indian river,florida,1041814,27933.0,2021-02-12,12061,0.054000000000000006,0.065,0.08199999999999999,0.193,0.607
jackson,florida,742646,18032.0,2021-02-12,12063,0.064,0.108,0.129,0.174,0.526
jefferson,florida,156089,2597.0,2021-02-12,12065,0.019,0.017,0.099,0.183,0.682
lafayette,florida,246645,3043.0,2021-02-12,12067,0.102,0.081,0.22,0.208,0.389
lake,florida,2310748,48530.0,2021-02-12,12069,0.047,0.062,0.07400000000000001,0.185,0.632
lee,florida,6323154,122433.0,2021-02-12,12071,0.052000000000000005,0.05,0.073,0.17600000000000002,0.648
leon,florida,2903614,24072.0,2021-02-12,12073,0.051,0.022,0.071,0.156,0.7
