county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
adams,colorado,4919394,80643.0,2021-02-12,8001,0.032,0.027000000000000003,0.071,0.185,0.685
alamosa,colorado,121188,3271.0,2021-02-12,8003,0.052000000000000005,0.133,0.094,0.228,0.493
arapahoe,colorado,4880938,120766.0,2021-02-12,8005,0.013,0.026,0.065,0.193,0.703
archuleta,colorado,46501,24.0,2021-02-12,8007,0.041,0.041,0.155,0.276,0.488
baca,colorado,20020,100.0,2021-02-12,8009,0.113,0.053,0.194,0.206,0.435
bent,colorado,79153,988.0,2021-02-12,8011,0.033,0.036000000000000004,0.172,0.191,0.5670000000000001
boulder,colorado,1825887,31188.0,2021-02-12,8013,0.008,0.015,0.032,0.195,0.75
broomfield,colorado,348647,11861.0,2021-02-12,8014,0.018000000000000002,0.005,0.042,0.201,0.7340000000000001
chaffee,colorado,136848,5897.0,2021-02-12,8015,0.038,0.045,0.134,0.138,0.645
cheyenne,colorado,9828,303.0,2021-02-12,8017,0.016,0.187,0.106,0.398,0.292
clear creek,colorado,31766,379.0,2021-02-12,8019,0.002,0.015,0.138,0.123,0.723
conejos,colorado,32236,297.0,2021-02-12,8021,0.06,0.106,0.093,0.195,0.545
costilla,colorado,17355,242.0,2021-02-12,8023,0.034,0.07200000000000001,0.076,0.175,0.644
crowley,colorado,153042,1146.0,2021-02-12,8025,0.002,0.034,0.08,0.294,0.59
custer,colorado,13870,37.0,2021-02-12,8027,0.017,0.098,0.153,0.234,0.498
delta,colorado,161509,2867.0,2021-02-12,8029,0.087,0.094,0.07400000000000001,0.295,0.45
denver,colorado,6331246,138080.0,2021-02-12,8031,0.02,0.018000000000000002,0.062,0.194,0.7070000000000001
dolores,colorado,4249,0.0,2021-02-12,8033,0.052000000000000005,0.039,0.066,0.252,0.591
douglas,colorado,1782083,26977.0,2021-02-12,8035,0.013,0.041,0.081,0.192,0.6729999999999999
eagle,colorado,514611,3269.0,2021-02-12,8037,0.008,0.003,0.033,0.269,0.687
el paso,colorado,4536826,75864.0,2021-02-12,8041,0.031,0.08900000000000001,0.081,0.196,0.603
elbert,colorado,105058,1243.0,2021-02-12,8039,0.016,0.044,0.19,0.246,0.505
fremont,colorado,412453,1896.0,2021-02-12,8043,0.006,0.069,0.062,0.2,0.6629999999999999
garfield,colorado,453887,3006.0,2021-02-12,8045,0.065,0.04,0.037000000000000005,0.326,0.532
gilpin,colorado,13639,122.0,2021-02-12,8047,0.001,0.027000000000000003,0.017,0.17,0.785
grand,colorado,71388,472.0,2021-02-12,8049,0.006,0.002,0.05,0.187,0.754
gunnison,colorado,118149,1931.0,2021-02-12,8051,0.057,0.039,0.043,0.281,0.581
hinsdale,colorado,1809,0.0,2021-02-12,8053,0.043,0.05,0.117,0.271,0.519
huerfano,colorado,24378,1375.0,2021-02-12,8055,0.028,0.051,0.051,0.275,0.595
jackson,colorado,4111,0.0,2021-02-12,8057,0.021,0.027000000000000003,0.09,0.342,0.52
jefferson,colorado,3456154,98176.0,2021-02-12,8059,0.028,0.031,0.075,0.194,0.6729999999999999
kiowa,colorado,5801,136.0,2021-02-12,8061,0.028,0.051,0.159,0.27,0.4920000000000001
kit carson,colorado,50305,1372.0,2021-02-12,8063,0.024,0.32299999999999995,0.119,0.344,0.19
la plata,colorado,227402,2241.0,2021-02-12,8067,0.043,0.02,0.122,0.274,0.541
lake,colorado,51826,0.0,2021-02-12,8065,0.002,0.016,0.036000000000000004,0.193,0.753
larimer,colorado,1664451,20082.0,2021-02-12,8069,0.013,0.037000000000000005,0.06,0.231,0.659
las animas,colorado,56244,517.0,2021-02-12,8071,0.052000000000000005,0.03,0.101,0.17,0.648
lincoln,colorado,61912,176.0,2021-02-12,8073,0.013,0.068,0.196,0.403,0.321
logan,colorado,425237,5571.0,2021-02-12,8075,0.078,0.202,0.101,0.368,0.251
mesa,colorado,900858,11845.0,2021-02-12,8077,0.075,0.105,0.098,0.222,0.499
mineral,colorado,6754,66.0,2021-02-12,8079,0.049,0.07200000000000001,0.138,0.264,0.478
moffat,colorado,49339,1589.0,2021-02-12,8081,0.041,0.142,0.162,0.284,0.371
montezuma,colorado,128763,2166.0,2021-02-12,8083,0.057,0.019,0.081,0.257,0.586
montrose,colorado,244078,5405.0,2021-02-12,8085,0.085,0.092,0.07400000000000001,0.314,0.436
morgan,colorado,326020,15496.0,2021-02-12,8087,0.083,0.161,0.116,0.245,0.396
otero,colorado,136835,3998.0,2021-02-12,8089,0.004,0.047,0.102,0.194,0.653
ouray,colorado,18147,489.0,2021-02-12,8091,0.06,0.08,0.069,0.295,0.495
park,colorado,42534,517.0,2021-02-12,8093,0.021,0.018000000000000002,0.103,0.13699999999999998,0.722
phillips,colorado,28183,593.0,2021-02-12,8095,0.05,0.19,0.13699999999999998,0.255,0.368
pitkin,colorado,135494,745.0,2021-02-12,8097,0.019,0.014,0.016,0.318,0.633
