county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
apache,arizona,1219093,44876.0,2021-02-12,4001,0.055,0.063,0.031,0.15,0.701
cochise,arizona,894417,21188.0,2021-02-12,4003,0.053,0.025,0.147,0.194,0.581
coconino,arizona,1601960,42551.0,2021-02-12,4005,0.039,0.08,0.07,0.11,0.7020000000000001
gila,arizona,567563,18796.0,2021-02-12,4007,0.073,0.014,0.03,0.336,0.547
graham,arizona,413803,7205.0,2021-02-12,4009,0.095,0.067,0.237,0.049,0.5529999999999999
greenlee,arizona,43325,629.0,2021-02-12,4011,0.111,0.08900000000000001,0.16699999999999998,0.08900000000000001,0.544
la paz,arizona,214461,5266.0,2021-02-12,4012,0.031,0.064,0.162,0.173,0.57
maricopa,arizona,48682467,900337.0,2021-02-12,4013,0.023,0.025,0.059,0.158,0.7340000000000001
mohave,arizona,1634516,62351.0,2021-02-12,4015,0.051,0.096,0.104,0.16399999999999998,0.585
navajo,arizona,1909698,64201.0,2021-02-12,4017,0.091,0.108,0.059,0.139,0.602
pima,arizona,9417722,190651.0,2021-02-12,4019,0.023,0.024,0.073,0.121,0.759
pinal,arizona,3955096,62978.0,2021-02-12,4021,0.033,0.055,0.096,0.14800000000000002,0.667
santa cruz,arizona,928383,17408.0,2021-02-12,4023,0.028,0.002,0.058,0.07400000000000001,0.8370000000000001
yavapai,arizona,1323169,31241.0,2021-02-12,4025,0.031,0.073,0.081,0.17600000000000002,0.639
yuma,arizona,4156873,90095.0,2021-02-12,4027,0.008,0.013,0.046,0.129,0.804
