county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
aurora,south dakota,48795,818.0,2021-02-12,46003,0.239,0.073,0.236,0.15,0.302
beadle,south dakota,348561,4775.0,2021-02-12,46005,0.234,0.104,0.147,0.173,0.342
bennett,south dakota,40489,867.0,2021-02-12,46007,0.147,0.052000000000000005,0.117,0.327,0.35600000000000004
bon homme,south dakota,160532,1976.0,2021-02-12,46009,0.108,0.205,0.198,0.193,0.295
brookings,south dakota,351137,2679.0,2021-02-12,46011,0.04,0.124,0.263,0.229,0.345
brown,south dakota,544195,5295.0,2021-02-12,46013,0.256,0.098,0.142,0.166,0.338
brule,south dakota,73287,672.0,2021-02-12,46015,0.163,0.075,0.168,0.264,0.33
buffalo,south dakota,57715,1353.0,2021-02-12,46017,0.161,0.059,0.157,0.253,0.371
butte,south dakota,93016,1765.0,2021-02-12,46019,0.12,0.085,0.153,0.204,0.438
campbell,south dakota,13673,271.0,2021-02-12,46021,0.155,0.16699999999999998,0.122,0.277,0.278
charles mix,south dakota,123896,988.0,2021-02-12,46023,0.117,0.149,0.254,0.192,0.28800000000000003
clark,south dakota,33774,222.0,2021-02-12,46025,0.211,0.147,0.172,0.125,0.345
clay,south dakota,201267,1565.0,2021-02-12,46027,0.091,0.17800000000000002,0.116,0.243,0.373
codington,south dakota,389536,6351.0,2021-02-12,46029,0.185,0.14400000000000002,0.25,0.117,0.305
corson,south dakota,51362,824.0,2021-02-12,46031,0.14400000000000002,0.19,0.134,0.285,0.247
custer,south dakota,78133,980.0,2021-02-12,46033,0.132,0.08800000000000001,0.156,0.229,0.396
davison,south dakota,290927,5000.0,2021-02-12,46035,0.249,0.07400000000000001,0.303,0.107,0.267
day,south dakota,55703,1675.0,2021-02-12,46037,0.256,0.14,0.175,0.118,0.311
deuel,south dakota,45782,526.0,2021-02-12,46039,0.136,0.111,0.275,0.16899999999999998,0.309
dewey,south dakota,128594,1060.0,2021-02-12,46041,0.069,0.057,0.141,0.237,0.4970000000000001
douglas,south dakota,42500,804.0,2021-02-12,46043,0.189,0.108,0.269,0.146,0.289
edmunds,south dakota,41314,465.0,2021-02-12,46045,0.217,0.08800000000000001,0.15,0.197,0.348
fall river,south dakota,51433,1364.0,2021-02-12,46047,0.141,0.093,0.152,0.25,0.364
faulk,south dakota,39467,1172.0,2021-02-12,46049,0.205,0.079,0.146,0.198,0.3720000000000001
grant,south dakota,87831,2427.0,2021-02-12,46051,0.259,0.129,0.232,0.12,0.26
gregory,south dakota,54864,2570.0,2021-02-12,46053,0.113,0.118,0.206,0.264,0.299
haakon,south dakota,22588,636.0,2021-02-12,46055,0.117,0.051,0.151,0.241,0.44
hamlin,south dakota,64478,2454.0,2021-02-12,46057,0.119,0.14300000000000002,0.256,0.13699999999999998,0.345
hand,south dakota,34266,293.0,2021-02-12,46059,0.182,0.071,0.147,0.225,0.376
hanson,south dakota,32940,311.0,2021-02-12,46061,0.185,0.107,0.269,0.14800000000000002,0.29
harding,south dakota,9342,52.0,2021-02-12,46063,0.105,0.068,0.145,0.235,0.446
hughes,south dakota,225450,2806.0,2021-02-12,46065,0.091,0.027000000000000003,0.109,0.251,0.523
hutchinson,south dakota,74108,1569.0,2021-02-12,46067,0.129,0.163,0.199,0.188,0.321
hyde,south dakota,14184,49.0,2021-02-12,46069,0.142,0.053,0.142,0.234,0.43
jackson,south dakota,27935,1059.0,2021-02-12,46071,0.129,0.052000000000000005,0.136,0.281,0.401
jerauld,south dakota,35859,1874.0,2021-02-12,46073,0.233,0.073,0.185,0.184,0.326
jones,south dakota,7797,2.0,2021-02-12,46075,0.115,0.03,0.101,0.293,0.462
kingsbury,south dakota,56651,1156.0,2021-02-12,46077,0.128,0.13,0.217,0.184,0.341
lake,south dakota,116060,2010.0,2021-02-12,46079,0.11,0.14400000000000002,0.183,0.237,0.326
lawrence,south dakota,271162,3051.0,2021-02-12,46081,0.124,0.08900000000000001,0.154,0.205,0.428
lincoln,south dakota,788328,6518.0,2021-02-12,46083,0.078,0.181,0.106,0.25,0.385
lyman,south dakota,68195,1235.0,2021-02-12,46085,0.13,0.046,0.119,0.287,0.419
marshall,south dakota,26100,409.0,2021-02-12,46091,0.196,0.146,0.183,0.161,0.313
mccook,south dakota,74348,2023.0,2021-02-12,46087,0.113,0.154,0.14400000000000002,0.238,0.35
mcpherson,south dakota,20620,200.0,2021-02-12,46089,0.204,0.091,0.161,0.22,0.32299999999999995
meade,south dakota,253217,2531.0,2021-02-12,46093,0.123,0.078,0.161,0.214,0.425
mellette,south dakota,24028,173.0,2021-02-12,46095,0.136,0.028,0.091,0.34,0.405
miner,south dakota,26970,589.0,2021-02-12,46097,0.16,0.123,0.21600000000000005,0.218,0.284
minnehaha,south dakota,3307696,36192.0,2021-02-12,46099,0.087,0.187,0.106,0.251,0.369
moody,south dakota,60382,1287.0,2021-02-12,46101,0.078,0.183,0.165,0.245,0.329
oglala lakota,south dakota,218988,3420.0,2021-02-12,46102,0.15,0.075,0.139,0.281,0.355
pennington,south dakota,1270359,16229.0,2021-02-12,46103,0.127,0.078,0.159,0.222,0.414
perkins,south dakota,28237,689.0,2021-02-12,46105,0.132,0.081,0.185,0.243,0.36
potter,south dakota,33338,200.0,2021-02-12,46107,0.131,0.067,0.147,0.225,0.431
