county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
atlantic,new jersey,1957999,77399.0,2021-02-12,34001,0.019,0.041,0.03,0.17600000000000002,0.7340000000000001
bergen,new jersey,9006227,600835.0,2021-02-12,34003,0.02,0.014,0.053,0.151,0.762
burlington,new jersey,3237906,141140.0,2021-02-12,34005,0.023,0.02,0.043,0.134,0.779
camden,new jersey,4392487,178183.0,2021-02-12,34007,0.028,0.005,0.027000000000000003,0.13699999999999998,0.802
cape may,new jersey,498223,28106.0,2021-02-12,34009,0.013,0.011,0.022,0.214,0.74
cumberland,new jersey,1408846,47400.0,2021-02-12,34011,0.032,0.006,0.058,0.142,0.762
essex,new jersey,8698367,622185.0,2021-02-12,34013,0.035,0.014,0.085,0.183,0.682
gloucester,new jersey,2065447,73607.0,2021-02-12,34015,0.047,0.01,0.052000000000000005,0.145,0.746
hudson,new jersey,8338891,442095.0,2021-02-12,34017,0.022,0.019,0.077,0.211,0.67
hunterdon,new jersey,621025,33866.0,2021-02-12,34019,0.006999999999999999,0.038,0.065,0.085,0.804
mercer,new jersey,3353570,181810.0,2021-02-12,34021,0.017,0.014,0.05,0.162,0.757
middlesex,new jersey,7997809,413622.0,2021-02-12,34023,0.02,0.016,0.054000000000000006,0.146,0.765
monmouth,new jersey,5248099,254418.0,2021-02-12,34025,0.01,0.022,0.041,0.16399999999999998,0.764
morris,new jersey,3586206,243044.0,2021-02-12,34027,0.023,0.018000000000000002,0.049,0.191,0.72
ocean,new jersey,5524233,314314.0,2021-02-12,34029,0.012,0.056,0.055,0.104,0.772
passaic,new jersey,7428446,363548.0,2021-02-12,34031,0.029,0.015,0.063,0.138,0.7559999999999999
salem,new jersey,439581,24704.0,2021-02-12,34033,0.041,0.043,0.036000000000000004,0.154,0.726
somerset,new jersey,2389893,166874.0,2021-02-12,34035,0.016,0.027000000000000003,0.046,0.12,0.7909999999999999
sussex,new jersey,737742,57377.0,2021-02-12,34037,0.02,0.026,0.029,0.205,0.72
union,new jersey,7154425,397691.0,2021-02-12,34039,0.012,0.011,0.059,0.202,0.716
warren,new jersey,657858,48674.0,2021-02-12,34041,0.035,0.02,0.044,0.152,0.7490000000000001
