county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
accomack,virginia,369388,5486.0,2021-02-12,51001,0.001,0.019,0.055,0.1,0.8240000000000001
albemarle,virginia,421117,5671.0,2021-02-12,51003,0.023,0.022,0.054000000000000006,0.093,0.81
alexandria city,virginia,1248000,19632.0,2021-02-12,51510,0.032,0.02,0.065,0.17,0.7120000000000001
alleghany,virginia,77504,2454.0,2021-02-12,51005,0.145,0.034,0.123,0.174,0.525
amelia,virginia,52845,1231.0,2021-02-12,51007,0.013,0.069,0.116,0.13,0.672
amherst,virginia,182436,1116.0,2021-02-12,51009,0.064,0.033,0.07400000000000001,0.204,0.625
appomattox,virginia,95265,915.0,2021-02-12,51011,0.063,0.018000000000000002,0.105,0.204,0.61
arlington,virginia,1432560,42194.0,2021-02-12,51013,0.01,0.018000000000000002,0.035,0.187,0.75
augusta,virginia,343380,3357.0,2021-02-12,51015,0.029,0.037000000000000005,0.061,0.173,0.701
bath,virginia,15157,110.0,2021-02-12,51017,0.099,0.045,0.121,0.165,0.57
bedford,virginia,393450,4165.0,2021-02-12,51019,0.052000000000000005,0.09,0.115,0.248,0.495
bland,virginia,44205,877.0,2021-02-12,51021,0.081,0.114,0.2,0.166,0.44
botetourt,virginia,157883,2936.0,2021-02-12,51023,0.043,0.079,0.106,0.221,0.551
bristol city,virginia,98993,1569.0,2021-02-12,51520,0.174,0.125,0.075,0.273,0.35200000000000004
brunswick,virginia,108422,1153.0,2021-02-12,51025,0.006,0.003,0.158,0.145,0.688
buchanan,virginia,90226,2124.0,2021-02-12,51027,0.037000000000000005,0.099,0.219,0.181,0.463
buckingham,virginia,239675,2357.0,2021-02-12,51029,0.02,0.01,0.124,0.132,0.7140000000000001
buena vista city,virginia,56334,579.0,2021-02-12,51530,0.018000000000000002,0.15,0.068,0.125,0.639
campbell,virginia,253131,2441.0,2021-02-12,51031,0.07,0.04,0.083,0.222,0.585
caroline,virginia,139741,1701.0,2021-02-12,51033,0.047,0.032,0.031,0.14,0.75
carroll,virginia,198548,6362.0,2021-02-12,51035,0.064,0.073,0.084,0.285,0.496
charles city,virginia,31921,1441.0,2021-02-12,51036,0.017,0.02,0.103,0.177,0.6829999999999999
charlotte,virginia,53993,675.0,2021-02-12,51037,0.084,0.025,0.14800000000000002,0.133,0.61
charlottesville city,virginia,337463,6116.0,2021-02-12,51540,0.023,0.019,0.05,0.075,0.833
chesapeake city,virginia,1441762,17436.0,2021-02-12,51550,0.018000000000000002,0.025,0.095,0.182,0.68
chesterfield,virginia,2059273,29264.0,2021-02-12,51041,0.026,0.03,0.08,0.21600000000000005,0.649
clarke,virginia,50500,550.0,2021-02-12,51043,0.013,0.036000000000000004,0.057,0.154,0.74
colonial heights city,virginia,99941,6517.0,2021-02-12,51570,0.044,0.045,0.126,0.177,0.608
covington city,virginia,36882,280.0,2021-02-12,51580,0.184,0.017,0.133,0.188,0.478
craig,virginia,17414,142.0,2021-02-12,51045,0.017,0.022,0.14800000000000002,0.182,0.632
culpeper,virginia,457915,4638.0,2021-02-12,51047,0.053,0.068,0.013,0.213,0.653
cumberland,virginia,35103,480.0,2021-02-12,51049,0.012,0.055,0.098,0.13699999999999998,0.6990000000000001
danville city,virginia,325800,8319.0,2021-02-12,51590,0.087,0.043,0.209,0.127,0.534
dickenson,virginia,62884,695.0,2021-02-12,51051,0.031,0.129,0.129,0.182,0.528
dinwiddie,virginia,140491,2488.0,2021-02-12,51053,0.022,0.016,0.104,0.193,0.664
emporia city,virginia,74717,5843.0,2021-02-12,51595,0.015,0.001,0.14800000000000002,0.14800000000000002,0.687
essex,virginia,55087,427.0,2021-02-12,51057,0.016,0.081,0.181,0.16,0.563
fairfax,virginia,7280925,161565.0,2021-02-12,51059,0.018000000000000002,0.016,0.054000000000000006,0.163,0.748
fairfax city,virginia,47532,2210.0,2021-02-12,51600,0.025,0.015,0.075,0.173,0.7120000000000001
falls church city,virginia,29148,1877.0,2021-02-12,51610,0.006999999999999999,0.033,0.038,0.158,0.765
fauquier,virginia,348247,5281.0,2021-02-12,51061,0.04,0.013,0.042,0.133,0.772
floyd,virginia,66064,2448.0,2021-02-12,51063,0.079,0.063,0.092,0.256,0.51
fluvanna,virginia,116766,2546.0,2021-02-12,51065,0.037000000000000005,0.014,0.077,0.1,0.772
franklin,virginia,271097,2567.0,2021-02-12,51067,0.07400000000000001,0.098,0.069,0.189,0.57
franklin city,virginia,106226,2809.0,2021-02-12,51620,0.01,0.027000000000000003,0.115,0.192,0.6559999999999999
frederick,virginia,484267,4343.0,2021-02-12,51069,0.026,0.048,0.048,0.264,0.614
fredericksburg city,virginia,169632,1401.0,2021-02-12,51630,0.038,0.006999999999999999,0.034,0.136,0.784
galax city,virginia,130534,6829.0,2021-02-12,51640,0.071,0.086,0.049,0.243,0.551
giles,virginia,63926,293.0,2021-02-12,51071,0.066,0.09,0.14,0.13699999999999998,0.5670000000000001
gloucester,virginia,115907,1377.0,2021-02-12,51073,0.003,0.004,0.035,0.234,0.7240000000000001
goochland,virginia,100687,1956.0,2021-02-12,51075,0.034,0.043,0.065,0.097,0.7609999999999999
grayson,virginia,105885,3569.0,2021-02-12,51077,0.141,0.065,0.07,0.196,0.527
greene,virginia,81406,802.0,2021-02-12,51079,0.011,0.038,0.052000000000000005,0.153,0.747
greensville,virginia,198161,3493.0,2021-02-12,51081,0.014,0.002,0.145,0.158,0.6809999999999999
halifax,virginia,158851,3689.0,2021-02-12,51083,0.092,0.028,0.07200000000000001,0.165,0.643
hampton city,virginia,642425,7062.0,2021-02-12,51650,0.008,0.025,0.078,0.118,0.7709999999999999
hanover,virginia,521082,12945.0,2021-02-12,51085,0.043,0.052000000000000005,0.087,0.25,0.568
harrisonburg city,virginia,709676,10020.0,2021-02-12,51660,0.029,0.066,0.129,0.205,0.5710000000000001
henrico,virginia,1935683,63136.0,2021-02-12,51087,0.04,0.037000000000000005,0.071,0.191,0.662
henry,virginia,372956,7564.0,2021-02-12,51089,0.063,0.085,0.132,0.154,0.5660000000000001
highland,virginia,5562,0.0,2021-02-12,51091,0.059,0.041,0.103,0.197,0.599
hopewell city,virginia,149272,1901.0,2021-02-12,51670,0.038,0.038,0.149,0.187,0.588
