county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
autauga,alabama,597556,8368.0,2021-02-12,1001,0.053,0.07400000000000001,0.134,0.295,0.444
baldwin,alabama,1849755,21001.0,2021-02-12,1003,0.083,0.059,0.098,0.32299999999999995,0.436
barbour,alabama,252352,3688.0,2021-02-12,1005,0.067,0.121,0.12,0.201,0.491
bibb,alabama,241829,4814.0,2021-02-12,1007,0.02,0.034,0.096,0.278,0.5720000000000001
blount,alabama,582162,7693.0,2021-02-12,1009,0.053,0.114,0.18,0.194,0.459
bullock,alabama,163732,4351.0,2021-02-12,1011,0.031,0.04,0.14400000000000002,0.28600000000000003,0.5
butler,alabama,276099,10544.0,2021-02-12,1013,0.102,0.053,0.257,0.13699999999999998,0.451
calhoun,alabama,1227611,19807.0,2021-02-12,1015,0.152,0.108,0.13,0.16699999999999998,0.442
chambers,alabama,392883,12957.0,2021-02-12,1017,0.117,0.037000000000000005,0.15,0.136,0.56
cherokee,alabama,190498,4133.0,2021-02-12,1019,0.135,0.027000000000000003,0.161,0.158,0.52
chilton,alabama,437445,7782.0,2021-02-12,1021,0.06,0.07,0.058,0.194,0.618
choctaw,alabama,96064,3903.0,2021-02-12,1023,0.049,0.038,0.126,0.219,0.568
clarke,alabama,349543,4434.0,2021-02-12,1025,0.049,0.08800000000000001,0.16399999999999998,0.268,0.43
clay,alabama,163555,4251.0,2021-02-12,1027,0.14800000000000002,0.158,0.195,0.16899999999999998,0.329
cleburne,alabama,133199,2413.0,2021-02-12,1029,0.151,0.125,0.138,0.217,0.368
coffee,alabama,499936,4741.0,2021-02-12,1031,0.101,0.152,0.094,0.18600000000000005,0.466
colbert,alabama,615636,9070.0,2021-02-12,1033,0.08199999999999999,0.096,0.152,0.159,0.51
conecuh,alabama,143274,3132.0,2021-02-12,1035,0.099,0.052000000000000005,0.259,0.192,0.399
coosa,alabama,69220,1317.0,2021-02-12,1037,0.055,0.131,0.16699999999999998,0.263,0.384
covington,alabama,429016,8165.0,2021-02-12,1039,0.187,0.128,0.129,0.201,0.35600000000000004
crenshaw,alabama,153225,6255.0,2021-02-12,1041,0.06,0.091,0.199,0.233,0.416
cullman,alabama,845066,9902.0,2021-02-12,1043,0.13,0.024,0.249,0.217,0.379
dale,alabama,466040,10969.0,2021-02-12,1045,0.08900000000000001,0.113,0.118,0.22,0.46
dallas,alabama,483143,8910.0,2021-02-12,1047,0.095,0.1,0.159,0.122,0.524
dekalb,alabama,926695,9472.0,2021-02-12,1049,0.084,0.051,0.106,0.179,0.58
elmore,alabama,908036,14663.0,2021-02-12,1051,0.042,0.095,0.127,0.252,0.485
escambia,alabama,430651,6523.0,2021-02-12,1053,0.114,0.026,0.188,0.285,0.387
etowah,alabama,1284056,17573.0,2021-02-12,1055,0.096,0.103,0.17800000000000002,0.122,0.501
fayette,alabama,176216,3211.0,2021-02-12,1057,0.138,0.048,0.151,0.233,0.429
franklin,alabama,536940,7700.0,2021-02-12,1059,0.065,0.071,0.223,0.156,0.484
geneva,alabama,225246,2889.0,2021-02-12,1061,0.17600000000000002,0.131,0.08900000000000001,0.158,0.445
greene,alabama,102613,4024.0,2021-02-12,1063,0.03,0.053,0.127,0.16699999999999998,0.623
hale,alabama,220203,7705.0,2021-02-12,1065,0.026,0.061,0.084,0.191,0.639
henry,alabama,176604,2095.0,2021-02-12,1067,0.066,0.068,0.17,0.258,0.438
houston,alabama,998871,12003.0,2021-02-12,1069,0.085,0.079,0.135,0.268,0.433
jackson,alabama,634298,5099.0,2021-02-12,1071,0.092,0.08900000000000001,0.11,0.249,0.46
jefferson,alabama,6949872,115921.0,2021-02-12,1073,0.049,0.037000000000000005,0.107,0.179,0.628
lamar,alabama,133912,1805.0,2021-02-12,1075,0.107,0.045,0.132,0.189,0.527
lauderdale,alabama,781971,11661.0,2021-02-12,1077,0.093,0.119,0.141,0.179,0.469
lawrence,alabama,253441,6182.0,2021-02-12,1079,0.162,0.08,0.08800000000000001,0.251,0.419
lee,alabama,1613239,17661.0,2021-02-12,1081,0.053,0.064,0.138,0.183,0.562
limestone,alabama,853477,8464.0,2021-02-12,1083,0.102,0.034,0.133,0.336,0.395
lowndes,alabama,189971,7319.0,2021-02-12,1085,0.12,0.073,0.145,0.199,0.464
macon,alabama,153507,5209.0,2021-02-12,1087,0.008,0.033,0.241,0.172,0.545
madison,alabama,2886652,26505.0,2021-02-12,1089,0.062,0.05,0.123,0.177,0.589
marengo,alabama,259952,5438.0,2021-02-12,1091,0.033,0.151,0.118,0.18600000000000005,0.512
marion,alabama,300014,8698.0,2021-02-12,1093,0.129,0.064,0.246,0.207,0.353
marshall,alabama,1321129,14329.0,2021-02-12,1095,0.075,0.064,0.129,0.253,0.479
mobile,alabama,4110588,85706.0,2021-02-12,1097,0.077,0.07,0.102,0.244,0.506
monroe,alabama,182170,2441.0,2021-02-12,1099,0.112,0.041,0.182,0.28800000000000003,0.378
montgomery,alabama,2675196,52104.0,2021-02-12,1101,0.056,0.095,0.123,0.212,0.513
morgan,alabama,1336873,12586.0,2021-02-12,1103,0.078,0.077,0.08199999999999999,0.304,0.459
perry,alabama,146280,1799.0,2021-02-12,1105,0.025,0.084,0.087,0.187,0.618
pickens,alabama,237592,4452.0,2021-02-12,1107,0.031,0.06,0.16899999999999998,0.157,0.584
pike,alabama,338286,3714.0,2021-02-12,1109,0.06,0.131,0.145,0.333,0.33
randolph,alabama,199035,4934.0,2021-02-12,1111,0.158,0.226,0.105,0.14400000000000002,0.368
russell,alabama,482215,1104.0,2021-02-12,1113,0.069,0.067,0.08,0.213,0.57
shelby,alabama,2095197,17625.0,2021-02-12,1117,0.022,0.075,0.118,0.24,0.545
st. clair,alabama,843853,12456.0,2021-02-12,1115,0.027000000000000003,0.134,0.14400000000000002,0.2,0.495
sumter,alabama,138436,5182.0,2021-02-12,1119,0.055,0.068,0.118,0.197,0.562
talladega,alabama,713502,10936.0,2021-02-12,1121,0.113,0.15,0.208,0.16899999999999998,0.361
tallapoosa,alabama,393960,24120.0,2021-02-12,1123,0.067,0.095,0.136,0.29600000000000004,0.406
tuscaloosa,alabama,2580784,35427.0,2021-02-12,1125,0.041,0.036000000000000004,0.14400000000000002,0.247,0.532
walker,alabama,756006,23511.0,2021-02-12,1127,0.09,0.081,0.145,0.256,0.429
washington,alabama,179188,4064.0,2021-02-12,1129,0.018000000000000002,0.077,0.102,0.307,0.495
wilcox,alabama,156178,3595.0,2021-02-12,1131,0.061,0.098,0.199,0.187,0.455
winston,alabama,263117,4476.0,2021-02-12,1133,0.13,0.046,0.328,0.183,0.312
