county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
aleutians east borough,alaska,7447,0.0,2021-02-12,2013,0.067,0.032,0.034,0.316,0.551
aleutians west census area,alaska,30219,0.0,2021-02-12,2016,0.078,0.031,0.03,0.337,0.524
anchorage,alaska,2509767,13793.0,2021-02-12,2020,0.042,0.05,0.049,0.196,0.6629999999999999
bethel census area,alaska,234735,955.0,2021-02-12,2050,0.101,0.022,0.014,0.45,0.413
bristol bay plus lake and peninsula,alaska,25924,0.0,2021-02-12,2997,,,,,
denali borough,alaska,6560,0.0,2021-02-12,2068,0.062,0.081,0.067,0.225,0.565
dillingham census area,alaska,16209,81.0,2021-02-12,2070,0.07200000000000001,0.025,0.027000000000000003,0.391,0.484
fairbanks north star borough,alaska,576227,3194.0,2021-02-12,2090,0.094,0.084,0.175,0.234,0.413
haines borough,alaska,3151,0.0,2021-02-12,2100,0.055,0.05,0.123,0.419,0.35200000000000004
juneau city and borough,alaska,133522,429.0,2021-02-12,2110,0.051,0.067,0.133,0.396,0.353
kenai peninsula borough,alaska,388895,1419.0,2021-02-12,2122,0.043,0.047,0.051,0.197,0.662
ketchikan gateway borough,alaska,31822,53.0,2021-02-12,2130,0.025,0.149,0.174,0.256,0.396
kodiak island borough,alaska,76531,188.0,2021-02-12,2150,0.042,0.043,0.049,0.233,0.633
kusilvak census area,alaska,76554,204.0,2021-02-12,2158,0.103,0.022,0.006999999999999999,0.521,0.34700000000000003
matanuska-susitna borough,alaska,614149,1794.0,2021-02-12,2170,0.042,0.051,0.048,0.198,0.66
nome census area,alaska,32884,0.0,2021-02-12,2180,0.086,0.061,0.009000000000000001,0.544,0.3
north slope borough,alaska,81815,176.0,2021-02-12,2185,0.036000000000000004,0.059,0.235,0.215,0.455
northwest arctic borough,alaska,54389,18.0,2021-02-12,2188,0.035,0.188,0.051,0.474,0.252
petersburg borough,alaska,4591,0.0,2021-02-12,2195,0.042,0.095,0.14800000000000002,0.349,0.365
prince of wales-hyder census area,alaska,8795,107.0,2021-02-12,2198,0.033,0.125,0.161,0.3,0.38
sitka city and borough,alaska,29900,0.0,2021-02-12,2220,0.048,0.077,0.13699999999999998,0.381,0.35700000000000004
skagway municipality,alaska,1388,0.0,2021-02-12,2230,0.058,0.038,0.116,0.435,0.354
southeast fairbanks census area,alaska,39193,248.0,2021-02-12,2240,0.064,0.071,0.14,0.272,0.453
valdez-cordova census area,alaska,46832,216.0,2021-02-12,2261,0.04,0.049,0.052000000000000005,0.197,0.6629999999999999
wrangell city and borough,alaska,4229,0.0,2021-02-12,2275,0.035,0.119,0.16,0.312,0.374
yakutat plus hoonah-angoon,alaska,7591,66.0,2021-02-12,2998,,,,,
yukon-koyukuk census area,alaska,29318,486.0,2021-02-12,2290,0.044,0.047,0.126,0.425,0.358
