county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
alamance,north carolina,1429789,20558.0,2021-02-12,37001,0.04,0.073,0.126,0.175,0.586
alexander,north carolina,301056,3686.0,2021-02-12,37003,0.027000000000000003,0.023,0.103,0.272,0.575
alleghany,north carolina,83153,242.0,2021-02-12,37005,0.153,0.067,0.067,0.21,0.504
anson,north carolina,200965,3147.0,2021-02-12,37007,0.053,0.062,0.08,0.163,0.6409999999999999
ashe,north carolina,146022,1977.0,2021-02-12,37009,0.149,0.026,0.083,0.287,0.455
avery,north carolina,157811,1187.0,2021-02-12,37011,0.096,0.01,0.212,0.173,0.509
beaufort,north carolina,344695,7758.0,2021-02-12,37013,0.037000000000000005,0.08,0.041,0.219,0.623
bertie,north carolina,178316,3985.0,2021-02-12,37015,0.1,0.04,0.064,0.214,0.5820000000000001
bladen,north carolina,287560,3971.0,2021-02-12,37017,0.073,0.023,0.076,0.104,0.7240000000000001
brunswick,north carolina,634920,10751.0,2021-02-12,37019,0.024,0.018000000000000002,0.036000000000000004,0.248,0.6729999999999999
buncombe,north carolina,1215844,29247.0,2021-02-12,37021,0.009000000000000001,0.023,0.044,0.23,0.693
burke,north carolina,853121,13125.0,2021-02-12,37023,0.091,0.056,0.124,0.189,0.54
cabarrus,north carolina,1523970,22987.0,2021-02-12,37025,0.04,0.022,0.092,0.27,0.5760000000000001
caldwell,north carolina,739606,4912.0,2021-02-12,37027,0.028,0.031,0.07200000000000001,0.199,0.67
camden,north carolina,41450,731.0,2021-02-12,37029,0.091,0.025,0.121,0.188,0.575
carteret,north carolina,332868,2491.0,2021-02-12,37031,0.01,0.067,0.16699999999999998,0.197,0.56
caswell,north carolina,161717,1377.0,2021-02-12,37033,0.06,0.035,0.199,0.179,0.527
catawba,north carolina,1407762,20286.0,2021-02-12,37035,0.035,0.07,0.13,0.214,0.551
chatham,north carolina,519124,15257.0,2021-02-12,37037,0.006999999999999999,0.025,0.063,0.139,0.7659999999999999
cherokee,north carolina,186528,2551.0,2021-02-12,37039,0.085,0.109,0.101,0.147,0.557
chowan,north carolina,118021,2337.0,2021-02-12,37041,0.044,0.011,0.152,0.29600000000000004,0.4970000000000001
clay,north carolina,53350,708.0,2021-02-12,37043,0.099,0.091,0.095,0.16899999999999998,0.546
cleveland,north carolina,866948,19475.0,2021-02-12,37045,0.062,0.121,0.094,0.151,0.573
columbus,north carolina,525068,16714.0,2021-02-12,37047,0.179,0.043,0.113,0.155,0.511
craven,north carolina,648254,12152.0,2021-02-12,37049,0.034,0.068,0.212,0.215,0.47
cumberland,north carolina,1955999,24361.0,2021-02-12,37051,0.028,0.047,0.1,0.175,0.649
currituck,north carolina,81212,1061.0,2021-02-12,37053,0.157,0.021,0.131,0.16699999999999998,0.524
dare,north carolina,136020,834.0,2021-02-12,37055,0.028,0.005,0.102,0.194,0.6709999999999999
davidson,north carolina,1167713,12652.0,2021-02-12,37057,0.058,0.085,0.16899999999999998,0.134,0.5539999999999999
davie,north carolina,266402,2277.0,2021-02-12,37059,0.07400000000000001,0.067,0.037000000000000005,0.14,0.6809999999999999
duplin,north carolina,735992,14374.0,2021-02-12,37061,0.068,0.044,0.14300000000000002,0.126,0.62
durham,north carolina,2472197,28206.0,2021-02-12,37063,0.017,0.014,0.033,0.104,0.8320000000000001
edgecombe,north carolina,462185,12086.0,2021-02-12,37065,0.021,0.037000000000000005,0.055,0.184,0.703
forsyth,north carolina,2806752,31868.0,2021-02-12,37067,0.02,0.022,0.068,0.183,0.706
franklin,north carolina,447435,8625.0,2021-02-12,37069,0.038,0.03,0.061,0.127,0.745
gaston,north carolina,2060479,32185.0,2021-02-12,37071,0.038,0.079,0.054000000000000006,0.197,0.632
gates,north carolina,48193,1327.0,2021-02-12,37073,0.008,0.022,0.19,0.21,0.57
graham,north carolina,51519,1384.0,2021-02-12,37075,0.095,0.07200000000000001,0.096,0.236,0.502
granville,north carolina,562133,11959.0,2021-02-12,37077,0.042,0.033,0.08199999999999999,0.107,0.736
greene,north carolina,217900,3636.0,2021-02-12,37079,0.07200000000000001,0.061,0.127,0.24,0.501
guilford,north carolina,3401837,56663.0,2021-02-12,37081,0.04,0.055,0.117,0.199,0.588
halifax,north carolina,411539,7011.0,2021-02-12,37083,0.014,0.006999999999999999,0.068,0.2,0.711
harnett,north carolina,820061,16871.0,2021-02-12,37085,0.031,0.069,0.06,0.129,0.711
haywood,north carolina,268869,8523.0,2021-02-12,37087,0.077,0.039,0.03,0.188,0.6659999999999999
henderson,north carolina,751007,19408.0,2021-02-12,37089,0.014,0.028,0.042,0.201,0.715
hertford,north carolina,206565,7466.0,2021-02-12,37091,0.02,0.006999999999999999,0.06,0.217,0.696
hoke,north carolina,402512,5321.0,2021-02-12,37093,0.009000000000000001,0.047,0.092,0.236,0.616
hyde,north carolina,46689,813.0,2021-02-12,37095,0.133,0.03,0.08,0.259,0.498
iredell,north carolina,1233962,12256.0,2021-02-12,37097,0.08,0.051,0.106,0.219,0.544
jackson,north carolina,282688,2511.0,2021-02-12,37099,0.077,0.065,0.067,0.17600000000000002,0.616
johnston,north carolina,1645162,19071.0,2021-02-12,37101,0.032,0.022,0.113,0.151,0.682
jones,north carolina,56504,2768.0,2021-02-12,37103,0.064,0.051,0.208,0.233,0.445
lee,north carolina,559910,5884.0,2021-02-12,37105,0.066,0.102,0.081,0.115,0.636
lenoir,north carolina,436520,9987.0,2021-02-12,37107,0.109,0.041,0.112,0.228,0.51
lincoln,north carolina,691027,4265.0,2021-02-12,37109,0.029,0.09,0.084,0.234,0.563
macon,north carolina,219373,1406.0,2021-02-12,37113,0.153,0.039,0.085,0.182,0.541
madison,north carolina,90175,1979.0,2021-02-12,37115,0.016,0.034,0.08,0.17800000000000002,0.6920000000000001
martin,north carolina,179476,3816.0,2021-02-12,37117,0.084,0.08900000000000001,0.071,0.15,0.605
mcdowell,north carolina,400433,6538.0,2021-02-12,37111,0.075,0.114,0.105,0.14300000000000002,0.563
mecklenburg,north carolina,9596026,100833.0,2021-02-12,37119,0.029,0.037000000000000005,0.075,0.166,0.6940000000000001
mitchell,north carolina,93422,1116.0,2021-02-12,37121,0.096,0.035,0.146,0.154,0.569
montgomery,north carolina,306743,8000.0,2021-02-12,37123,0.027000000000000003,0.056,0.078,0.184,0.655
moore,north carolina,654226,11958.0,2021-02-12,37125,0.039,0.105,0.041,0.237,0.578
nash,north carolina,839576,15847.0,2021-02-12,37127,0.044,0.032,0.038,0.212,0.6729999999999999
new hanover,north carolina,1390552,11513.0,2021-02-12,37129,0.019,0.032,0.032,0.25,0.667
northampton,north carolina,164617,5481.0,2021-02-12,37131,0.017,0.003,0.067,0.201,0.7120000000000001
onslow,north carolina,1062925,8992.0,2021-02-12,37133,0.039,0.039,0.159,0.254,0.509
orange,north carolina,789439,15584.0,2021-02-12,37135,0.01,0.02,0.028,0.142,0.8009999999999999
pamlico,north carolina,75703,685.0,2021-02-12,37137,0.036000000000000004,0.057,0.181,0.243,0.482
pasquotank,north carolina,251505,8608.0,2021-02-12,37139,0.067,0.021,0.11,0.238,0.563
pender,north carolina,384686,3343.0,2021-02-12,37141,0.05,0.035,0.142,0.16899999999999998,0.603
perquimans,north carolina,70311,897.0,2021-02-12,37143,0.036000000000000004,0.014,0.154,0.299,0.498
person,north carolina,208007,3218.0,2021-02-12,37145,0.01,0.008,0.07,0.166,0.746
pitt,north carolina,1567837,8896.0,2021-02-12,37147,0.034,0.065,0.085,0.204,0.612
polk,north carolina,108166,2585.0,2021-02-12,37149,0.018000000000000002,0.115,0.105,0.263,0.499
randolph,north carolina,1145477,18836.0,2021-02-12,37151,0.066,0.078,0.105,0.138,0.613
richmond,north carolina,370210,6947.0,2021-02-12,37153,0.05,0.039,0.145,0.153,0.612
