county,state,cases,deaths,last_record_on,fips,masks_never,masks_rarely,masks_sometimes,masks_frequently,masks_always
adams,indiana,265361,3653.0,2021-02-12,18001,0.136,0.047,0.16,0.348,0.309
allen,indiana,3325065,75413.0,2021-02-12,18003,0.07,0.14,0.099,0.228,0.464
bartholomew,indiana,654190,18493.0,2021-02-12,18005,0.138,0.084,0.085,0.28600000000000003,0.406
benton,indiana,74284,623.0,2021-02-12,18007,0.08199999999999999,0.126,0.112,0.183,0.496
blackford,indiana,98870,2305.0,2021-02-12,18009,0.093,0.152,0.106,0.203,0.447
boone,indiana,535900,15367.0,2021-02-12,18011,0.052000000000000005,0.085,0.142,0.308,0.413
brown,indiana,75607,1954.0,2021-02-12,18013,0.055,0.061,0.041,0.184,0.66
carroll,indiana,150921,2738.0,2021-02-12,18015,0.059,0.104,0.17,0.22,0.447
cass,indiana,739407,6901.0,2021-02-12,18017,0.037000000000000005,0.192,0.28300000000000003,0.206,0.28300000000000003
clark,indiana,1047249,22097.0,2021-02-12,18019,0.068,0.06,0.141,0.228,0.501
clay,indiana,202783,3695.0,2021-02-12,18021,0.122,0.073,0.112,0.226,0.466
clinton,indiana,364519,5228.0,2021-02-12,18023,0.08800000000000001,0.033,0.132,0.285,0.462
crawford,indiana,67274,949.0,2021-02-12,18025,0.067,0.08900000000000001,0.118,0.261,0.465
daviess,indiana,281184,10982.0,2021-02-12,18027,0.049,0.061,0.13,0.214,0.546
dearborn,indiana,436898,9130.0,2021-02-12,18029,0.083,0.1,0.168,0.277,0.371
decatur,indiana,265771,14159.0,2021-02-12,18031,0.175,0.083,0.101,0.204,0.4370000000000001
dekalb,indiana,320798,6318.0,2021-02-12,18033,0.109,0.07400000000000001,0.118,0.149,0.55
delaware,indiana,916519,22515.0,2021-02-12,18035,0.095,0.109,0.124,0.197,0.475
dubois,indiana,521672,7605.0,2021-02-12,18037,0.01,0.105,0.086,0.25,0.55
elkhart,indiana,2946227,44817.0,2021-02-12,18039,0.03,0.097,0.094,0.252,0.528
fayette,indiana,275250,6089.0,2021-02-12,18041,0.161,0.041,0.048,0.237,0.514
floyd,indiana,638446,20024.0,2021-02-12,18043,0.053,0.086,0.154,0.233,0.474
fountain,indiana,151205,2387.0,2021-02-12,18045,0.077,0.08900000000000001,0.147,0.212,0.474
franklin,indiana,154484,6340.0,2021-02-12,18047,0.07,0.08199999999999999,0.104,0.199,0.545
fulton,indiana,154835,2799.0,2021-02-12,18049,0.142,0.114,0.128,0.217,0.399
gibson,indiana,332508,5378.0,2021-02-12,18051,0.09,0.1,0.204,0.255,0.35100000000000003
grant,indiana,631275,15086.0,2021-02-12,18053,0.053,0.108,0.133,0.311,0.393
greene,indiana,230943,12475.0,2021-02-12,18055,0.099,0.027000000000000003,0.081,0.235,0.5579999999999999
hamilton,indiana,2718753,47355.0,2021-02-12,18057,0.07,0.051,0.049,0.234,0.596
hancock,indiana,596902,15553.0,2021-02-12,18059,0.068,0.04,0.166,0.306,0.42
harrison,indiana,318623,8230.0,2021-02-12,18061,0.094,0.084,0.205,0.258,0.359
hendricks,indiana,1415988,44976.0,2021-02-12,18063,0.054000000000000006,0.052000000000000005,0.113,0.257,0.523
henry,indiana,477694,8755.0,2021-02-12,18065,0.183,0.14800000000000002,0.125,0.111,0.434
howard,indiana,757264,21881.0,2021-02-12,18067,0.008,0.083,0.183,0.301,0.426
huntington,indiana,242532,4050.0,2021-02-12,18069,0.15,0.182,0.053,0.199,0.416
jackson,indiana,448577,5540.0,2021-02-12,18071,0.097,0.098,0.105,0.388,0.312
jasper,indiana,268681,3110.0,2021-02-12,18073,0.18600000000000005,0.1,0.065,0.328,0.321
jay,indiana,159296,2200.0,2021-02-12,18075,0.141,0.139,0.157,0.235,0.328
jefferson,indiana,220563,3539.0,2021-02-12,18077,0.083,0.219,0.218,0.225,0.255
jennings,indiana,191580,5170.0,2021-02-12,18079,0.095,0.105,0.172,0.308,0.319
johnson,indiana,1433513,48246.0,2021-02-12,18081,0.057,0.094,0.1,0.192,0.557
knox,indiana,310604,4056.0,2021-02-12,18083,0.158,0.125,0.121,0.259,0.338
kosciusko,indiana,784730,8933.0,2021-02-12,18085,0.073,0.147,0.08900000000000001,0.195,0.496
lagrange,indiana,276263,6380.0,2021-02-12,18087,0.059,0.08199999999999999,0.171,0.236,0.452
lake,indiana,5083634,113690.0,2021-02-12,18089,0.043,0.057,0.08800000000000001,0.219,0.5920000000000001
laporte,indiana,875042,19205.0,2021-02-12,18091,0.084,0.075,0.168,0.206,0.466
lawrence,indiana,362339,12125.0,2021-02-12,18093,0.092,0.117,0.109,0.191,0.491
madison,indiana,1026333,34793.0,2021-02-12,18095,0.062,0.084,0.15,0.145,0.5589999999999999
marion,indiana,9456135,258969.0,2021-02-12,18097,0.051,0.053,0.116,0.232,0.5479999999999999
marshall,indiana,535378,9481.0,2021-02-12,18099,0.12,0.103,0.159,0.229,0.389
martin,indiana,69080,925.0,2021-02-12,18101,0.041,0.064,0.123,0.223,0.55
miami,indiana,301260,3428.0,2021-02-12,18103,0.054000000000000006,0.125,0.253,0.226,0.343
monroe,indiana,963630,14694.0,2021-02-12,18105,0.037000000000000005,0.037000000000000005,0.094,0.242,0.591
