date,CPMNACNSAB1GQCZ,LREPTTFECZQ156N,LREPTTMACZQ156N
1999-01-01,506463.0,39.2773319200485,53.3868722129179
1999-04-01,566822.0,39.2164659547073,53.3607764796093
1999-07-01,577201.0,38.9579150725406,53.4595893315028
1999-10-01,602497.0,39.2895709008241,53.3352176370831
2000-01-01,540690.0,38.8699344175291,52.6455026455026
2000-04-01,598350.0,38.9161720927587,53.0031122428358
2000-07-01,612979.0,38.9836295692092,53.282001535912
2000-10-01,634270.0,39.1556778294279,53.310020011724
2001-01-01,584472.0,39.2610799893297,52.9932537833512
2001-04-01,643332.0,39.1588660324481,53.2585773379836
2001-07-01,660930.0,39.0710538865045,53.4237686801711
2001-10-01,690392.0,39.1457852249089,53.6822452665544
2002-01-01,618724.0,39.0699272664796,53.4896445507235
2002-04-01,680530.0,39.4879529573485,54.0247364152474
2002-07-01,688136.0,39.4859946919214,54.3231140199793
2002-10-01,703592.0,39.6341346980084,54.3662942762718
2003-01-01,649168.0,39.2460181047324,53.7446273619333
2003-04-01,710392.0,39.2340750644638,53.745967987341
2003-07-01,721811.0,38.8958882144084,53.7432830996727
2003-10-01,742081.0,38.9542982539834,53.6144699921271
2004-01-01,700980.0,38.8355261901579,52.8814312252645
2004-04-01,761353.0,39.0806134336625,53.1977154850558
2004-07-01,781674.0,39.0215025016232,53.6273660021367
2004-10-01,835200.0,39.1526815205147,53.8154874562075
2005-01-01,756336.0,38.9330176430154,53.5392897316407
2005-04-01,822654.0,39.1177368863098,54.2155859273085
2005-07-01,828946.0,39.437801552339,54.6857154307011
2005-10-01,877665.0,39.5910745250481,54.5439993597183
2006-01-01,806785.0,39.4958463531743,54.1961395516125
2006-04-01,876087.0,39.7805630690693,54.6494450211611
2006-07-01,900400.0,39.7349984770027,54.8923015556442
2006-10-01,947609.0,39.8596611329796,55.071886574535
2007-01-01,891834.0,39.865827932876,55.0312214135147
2007-04-01,956899.0,40.241658605057,55.3915734348965
2007-07-01,983203.0,40.1239129199113,55.928309733637
2007-10-01,1027597.0,40.214431586113,56.1119671289163
2008-01-01,938367.0,40.0482873094915,55.7177950280043
2008-04-01,1022711.0,40.4610777315277,55.9823529411765
2008-07-01,1046195.0,40.2229910126725,56.2444987775061
2008-10-01,1035587.0,40.2810875724767,56.2981453673187
2009-01-01,937723.0,39.6463794202572,55.0934661246085
2009-04-01,992356.0,39.600269733638,54.8981533622012
2009-07-01,994134.0,39.337822671156,54.6175011626104
2009-10-01,1030107.0,39.4246754459699,54.4595038765685
2010-01-01,923738.0,38.7322232811945,53.4286932589061
2010-04-01,1012488.0,38.9015462762381,54.1757837461031
2010-07-01,1014980.0,38.9840001493568,54.6578921900706
2010-10-01,1041664.0,39.2430799074834,54.4215451241203
2011-01-01,942714.0,38.9469348013332,53.4629428216283
2011-04-01,1025544.0,39.1794257477633,54.0257773981909
2011-07-01,1029737.0,39.332422773963,54.1935859379547
2011-10-01,1064328.0,39.3775599902744,53.9187931435663
2012-01-01,963681.0,39.0310034032686,53.2554127657925
2012-04-01,1029962.0,39.4231667881643,53.8388515411589
2012-07-01,1030184.0,39.5890538899785,54.2209489150003
2012-10-01,1065085.0,39.7874367260026,53.9319101167089
2013-01-01,955889.0,39.6260599947701,53.4672627687782
2013-04-01,1034830.0,40.1800556603597,54.2196419932269
2013-07-01,1052330.0,40.0620073960629,54.3480784860095
2013-10-01,1099762.0,40.2507145926355,54.2624854819977
2014-01-01,997951.0,39.9345794392523,53.9728044008833
2014-04-01,1088654.0,40.0758722505653,54.5600650608009
2014-07-01,1116501.0,40.3373746053688,54.8862866544082
