date,CPMNACNSAB1GQSI,LREPTTFESIQ156N,LREPTTMASIQ156N
1999-01-01,3872.7,39.6808196236824,48.7802346101941
1999-04-01,4423.2,40.2402993894032,49.7874105568806
1999-07-01,4314.9,40.1141058430061,49.7832817337461
1999-10-01,4615.8,39.4809280377507,49.3294821539096
2000-01-01,4284.1,39.9684977357748,48.9609053497942
2000-04-01,4786.6,40.5325734499361,49.5723853683668
2000-07-01,4781.2,41.5823095823096,51.305509868421
2000-10-01,5001.1,40.6603124692935,50.503907856849
2001-01-01,4791.4,40.6821309219579,50.6631027038141
2001-04-01,5339.2,40.9407836590396,51.1156812339332
2001-07-01,5385.8,41.7165864676421,52.3980692204991
2001-10-01,5631.3,40.7367387033399,50.7487179487179
2002-01-01,5345.6,40.9256165864204,51.4800778449247
2002-04-01,5971.7,41.5364967089105,51.1832804015982
2002-07-01,6012.1,41.1181951937224,50.3124039741883
2002-10-01,6219.3,39.4610485056345,49.6408783090499
2003-01-01,5815.2,39.5665816826829,49.415504511895
2003-04-01,6483.6,40.0529463672909,50.0512925728354
2003-07-01,6580.5,39.7784096480047,50.097246391647
2003-10-01,6734.0,40.3255859566539,51.1960744224085
2004-01-01,6273.3,41.1297440423654,51.463963963964
2004-04-01,6978.3,42.6160337552743,52.3327194597913
2004-07-01,7111.0,43.4296913277805,53.7224782386073
2004-10-01,7265.6,41.4928004701734,52.7097633439197
2005-01-01,6533.5,41.6168544830965,52.1645686214308
2005-04-01,7517.4,42.5869671729544,52.4408965305496
2005-07-01,7457.3,43.1537708129285,53.1986531986532
2005-10-01,7605.3,42.5954946131244,52.9129680644832
2006-01-01,7027.5,42.0099814071827,52.6439123790117
2006-04-01,8011.0,43.8594774439769,53.1023942944473
2006-07-01,8124.7,43.125366712302,54.0217060553809
2006-10-01,8307.2,42.2354781928418,53.1494066335328
2007-01-01,7866.5,42.358803986711,53.1003039513678
2007-04-01,8909.2,44.1176470588235,54.9240121580547
2007-07-01,9143.1,44.4010543786,55.4115164305095
2007-10-01,9154.7,43.2002343063556,54.3462968545875
2008-01-01,8626.0,43.0062426843543,52.9482310613632
2008-04-01,9847.9,43.9328911431916,53.9476314211473
2008-07-01,9863.4,45.2049459643657,55.1615133853601
2008-10-01,9588.5,44.5190809968847,53.709374691297
2009-01-01,8473.7,43.368339167639,51.3596971809941
2009-04-01,9263.1,43.7475690392843,52.8538699073613
2009-07-01,9287.0,44.352804191733,53.4888317849377
2009-10-01,9231.0,43.3824956336115,52.8859458390986
2010-01-01,8327.2,42.8211830767741,51.5136574302337
2010-04-01,9378.8,43.3149385226062,51.3361601419978
2010-07-01,9328.6,42.5616239729338,52.0055188725732
2010-10-01,9329.3,42.571290478492,51.5423277816103
2011-01-01,8786.5,41.0486674391657,49.6057559629411
2011-04-01,9556.1,41.6280417149479,49.9605755962941
2011-07-01,9424.5,41.8571015331212,50.2856017333071
2011-10-01,9291.4,41.4424838491949,49.6060665747489
2012-01-01,8777.4,41.5575664227955,48.7065997836137
2012-04-01,9264.5,40.6045437042742,49.0508507917773
2012-07-01,9209.2,40.6430496726993,49.4495773540397
2012-10-01,9002.0,40.46014632268,49.3512875958325
2013-01-01,8467.1,38.8151567609156,47.5125110391522
2013-04-01,9320.2,39.6133871898442,48.2582670984202
2013-07-01,9348.8,40.2116402116402,49.4557222712562
2013-10-01,9318.3,39.6055796055796,48.847700304011
2014-01-01,8785.6,39.4827917708133,47.6050543637967
2014-04-01,9659.2,41.03057104403,49.3192281320404
2014-07-01,9687.9,40.3768506056528,49.4908948502056
2014-10-01,9501.5,39.6462218804076,49.1286469551596
2015-01-01,9046.1,38.9294637709014,48.1706124046175
2015-04-01,9852.7,40.4670382471651,49.1782430052827
2015-07-01,9975.6,40.5382027871216,50.1369059260708
