date,CPMNACNSAB1GQNO,LREPTTFENOQ156N,LREPTTMANOQ156N
1999-04-01,299711.0,66.9983521358854,75.2312629790448
1999-07-01,319932.0,,
1999-10-01,353862.0,,
2000-01-01,364093.0,66.0515210682119,73.9445415938046
2000-04-01,358582.0,66.948031496063,75.5029363988504
2000-07-01,377726.0,66.9649609276531,75.34375
2000-10-01,406883.0,66.4062007687945,74.6919371989742
2001-01-01,396539.0,66.1206301387058,74.1829253137815
2001-04-01,388575.0,66.9868173258004,75.1616513305148
2001-07-01,384180.0,66.8906613075426,75.133723099888
2001-10-01,395011.0,67.0979086855492,74.3674230649674
2002-01-01,376279.0,66.9308537194209,73.5557062704236
2002-04-01,391742.0,67.588143525741,74.6330331812014
2002-07-01,385345.0,67.338282078473,74.5523033222181
2002-10-01,407660.0,66.6043264135652,73.3802729911679
2003-01-01,408941.0,65.8905127569978,72.607018188499
2003-04-01,385660.0,66.3735991579469,73.0585497305243
2003-07-01,402183.0,66.8214750139328,72.88842544317
2003-10-01,423581.0,66.1341259520713,72.4605658871908
2004-01-01,434849.0,65.3392330383481,71.7437549383091
2004-04-01,428542.0,66.3737479260124,72.5316147859922
2004-07-01,441383.0,66.3756532431602,73.0341854393102
2004-10-01,478246.0,65.9952097279371,72.3922282938676
2005-01-01,465931.0,65.0892258968268,71.6088707254042
2005-04-01,487412.0,65.4485656860954,72.4340880427602
2005-07-01,496195.0,66.2041263465401,72.7387387387388
2005-10-01,540449.0,65.8370352339804,72.7026701948521
2006-01-01,549706.0,65.1748418665712,71.9184539241103
2006-04-01,536481.0,65.9069269221614,72.6632635099454
2006-07-01,546616.0,66.35613837299,73.4058098077036
2006-10-01,583513.0,66.4615020417826,73.2206353832702
2007-01-01,567111.0,66.7237106101735,72.9184823659288
2007-04-01,564830.0,67.5554770734004,73.8575307643422
2007-07-01,573786.0,67.9671457905544,74.348351458657
2007-10-01,644446.0,68.5729306618377,74.4304522037779
2008-01-01,626593.0,68.8067520372526,74.2647477103362
2008-04-01,656395.0,69.1174765162936,75.3951617472098
2008-07-01,652782.0,69.1226649702157,75.4246374358106
2008-10-01,671321.0,68.681287054625,74.0680440152706
2009-01-01,598015.0,68.5312679288583,72.8010295434199
2009-04-01,591108.0,68.2735746554583,73.660465634399
2009-07-01,600705.0,67.6261043032203,72.722225306757
2009-10-01,638653.0,67.2641669975608,72.002209334438
2010-01-01,636514.0,66.6101886366204,71.4584135011819
2010-04-01,634511.0,66.9594100095704,72.2587358965933
2010-07-01,625458.0,66.511549674815,72.064843622073
2010-10-01,694996.0,66.4023232436055,71.6029954417191
2011-01-01,689930.0,66.5387823185988,70.5774419859687
2011-04-01,675353.0,66.7479494568832,71.2842014728807
2011-07-01,684644.0,66.5819848677307,72.1430866445325
2011-10-01,742756.0,66.4375652938912,71.6719914802982
2012-01-01,759846.0,66.5278842993316,71.4807947019868
2012-04-01,726440.0,67.2616123574041,71.9736495388669
2012-07-01,710106.0,66.6666666666666,71.9538421190664
2012-10-01,767661.0,66.1177617680516,71.1495273410978
2013-01-01,747988.0,65.8316687361658,70.6614583333334
2013-04-01,759090.0,66.2234185733513,71.3336103032821
2013-07-01,752187.0,66.2785706620882,71.5653794388653
2013-10-01,811959.0,66.1426585391937,70.7484396760716
2014-01-01,795088.0,65.506025381252,70.2581773297675
2014-04-01,770454.0,66.356432484178,71.1546349466776
2014-07-01,763222.0,65.7654792196777,71.2514667618999
