date,CPMNACNSAB1GQDE,LREPTTFEDEQ156N,LREPTTMADEQ156N
1999-04-01,504250.0,37.9115919151545,51.1178547726041
1999-07-01,520870.0,,
1999-10-01,538920.0,,
2000-01-01,514610.0,,
2000-04-01,519390.0,38.3011408235696,51.0460885385082
2000-07-01,532100.0,,
2000-10-01,542990.0,,
2001-01-01,530250.0,,
2001-04-01,532360.0,38.7983687131494,50.9355823584535
2001-07-01,547220.0,,
2001-10-01,562710.0,,
2002-01-01,531010.0,,
2002-04-01,539780.0,38.8010567055453,49.9619903508178
2002-07-01,560270.0,,
2002-10-01,567060.0,,
2003-01-01,535480.0,,
2003-04-01,541560.0,38.7486020648642,49.0062012242158
2003-07-01,562930.0,,
2003-10-01,571600.0,,
2004-01-01,550180.0,,
2004-04-01,560160.0,39.1424968474149,48.8873194993313
2004-07-01,570660.0,,
2004-10-01,581520.0,,
2005-01-01,550540.0,39.4052813134773,49.315590497488
2005-04-01,568040.0,39.159109645507,49.8570312578245
2005-07-01,578390.0,39.400421060727,50.3236476731646
2005-10-01,591340.0,39.7459226310824,50.4461939629932
2006-01-01,574770.0,39.9739746192405,49.8669876647639
2006-04-01,586070.0,40.4147756925956,50.6546382723155
2006-07-01,600940.0,40.7960785918755,51.3013666039754
2006-10-01,623300.0,40.9532630482131,51.776927966844
2007-01-01,607990.0,40.8755345378896,50.8985726562324
2007-04-01,614050.0,41.3852826383763,51.8507742702497
2007-07-01,630140.0,41.8859495719672,52.6160511915048
2007-10-01,647370.0,42.2204076899662,52.586667067642
2008-01-01,626240.0,41.7088057901086,51.9884730565227
2008-04-01,637830.0,41.6769735589036,52.2495727866339
2008-07-01,641490.0,42.6184032639952,53.6320308401997
2008-10-01,640930.0,43.1305129990715,53.2160689227556
2009-01-01,594030.0,42.2721629424905,52.0962436119271
2009-04-01,597350.0,42.6198189821742,52.0168480909013
2009-07-01,618740.0,42.572710305811,52.4594748484558
2009-10-01,635610.0,43.8261583851385,52.963396963397
2010-01-01,616590.0,42.9805673225145,52.0373844028278
2010-04-01,627500.0,43.3076883760438,52.4996278626195
2010-07-01,651380.0,43.5002532780018,53.0776275060357
2010-10-01,668930.0,43.8346036548292,53.1728113214687
2011-01-01,659010.0,43.6621905409802,52.6934213619116
2011-04-01,660420.0,44.3220575487332,53.5261365953635
2011-07-01,682290.0,44.7139309635229,53.9978822238196
2011-10-01,691840.0,44.8814354958802,54.2813137195914
2012-01-01,678510.0,44.1469286669265,53.2392513182103
2012-04-01,672110.0,44.5832839827865,53.7666550150101
2012-07-01,692940.0,44.8972698988724,54.4547297938173
2012-10-01,701750.0,45.0134890533989,54.2197676262784
2013-01-01,682360.0,45.0364768815106,53.2814041381077
2013-04-01,692930.0,45.2749390529193,54.1478133573564
2013-07-01,714670.0,45.5093417903539,54.3571815551944
2013-10-01,721390.0,45.4319583160964,54.375245149229
2014-01-01,716700.0,45.3076580926894,53.566356903387
2014-04-01,717360.0,45.6335471110488,53.9648188366131
2014-07-01,740720.0,45.850312014016,54.6924899818962
