date,CPMNACNSAB1GQHU,LREPTTFEHUQ156N,LREPTTMAHUQ156N
1999-01-01,2562452.0,32.4139908256881,43.0245500556524
1999-04-01,2854557.0,32.6096529014225,43.7980010520779
1999-07-01,2962257.0,32.8969813128893,44.1817338896616
1999-10-01,3258280.0,32.9567469070682,44.4130365995148
2000-01-01,2930185.0,32.8798447378029,43.6810516082675
2000-04-01,3263076.0,32.9820377706835,44.2451293550229
2000-07-01,3442102.0,33.3192267000096,44.9179980954396
2000-10-01,3688689.0,33.6767707892,45.1134990780187
2001-01-01,3395613.0,33.226135976694,44.1839949590422
2001-04-01,3892982.0,33.0834894857381,44.3722807238792
2001-07-01,3973502.0,33.3806764382835,44.7629663904429
2001-10-01,4136603.0,33.1861760582061,44.4444444444444
2002-01-01,3941576.0,33.1450022751403,44.0617627232895
2002-04-01,4302637.0,33.3251128732405,44.497849734379
2002-07-01,4443872.0,33.3921691434645,44.8604636446094
2002-10-01,4745774.0,33.5719711355868,44.7742289586456
2003-01-01,4174676.0,33.657044033524,44.1508476725997
2003-04-01,4706094.0,34.1008917875682,45.0928101255106
2003-07-01,4874132.0,34.3537156120391,45.4738091201899
2003-10-01,5378909.0,34.4811177097609,45.419442440701
2004-01-01,4750524.0,34.0792558565084,44.6916098327916
2004-04-01,5348449.0,33.8987254827139,45.0395643665447
2004-07-01,5337821.0,33.9784699954191,45.2146547874716
2004-10-01,5640663.0,34.1315307057745,45.1237665872746
2005-01-01,4876982.0,33.9228418640183,44.5491480717279
2005-04-01,5644677.0,34.0618611848767,44.8762423649094
2005-07-01,5788805.0,34.2633288744506,45.4448678915881
2005-10-01,6238556.0,34.2043890503135,45.3064093552304
2006-01-01,5309741.0,34.130260291251,44.7159320878512
2006-04-01,6078793.0,34.24102191456,45.6983859619198
2006-07-01,6286191.0,34.3626907338713,45.863539445629
2006-10-01,6641574.0,34.4159947909685,45.9179109246203
2007-01-01,5787527.0,34.1068041158098,45.287963692924
2007-04-01,6342182.0,34.2584960993656,45.9393784371403
2007-07-01,6535099.0,34.2384842557435,46.0980810234542
2007-10-01,7036561.0,34.1382484943803,45.4128636014672
2008-01-01,6328930.0,33.5928511160543,44.6731286562193
2008-04-01,6841775.0,33.6499165371554,45.1878285396812
2008-07-01,6757766.0,34.2416856972884,45.7413384059675
2008-10-01,7288894.0,34.2428428889401,44.7961189946999
2009-01-01,6022329.0,33.2724511179897,43.4967697770932
2009-04-01,6554398.0,33.4513274336283,44.0676514664954
2009-07-01,6604302.0,33.4078040137129,43.8783595674055
2009-10-01,7277235.0,33.5940359461386,43.6700863121372
2010-01-01,6057933.0,33.5337882117112,42.398474982865
2010-04-01,6749637.0,33.9280897144399,43.2641598422158
2010-07-01,7027028.0,34.1627476678745,43.9565152132427
2010-10-01,7596672.0,33.979627271675,43.835557653521
2011-01-01,6290587.0,33.3552047551044,42.9413151072354
2011-04-01,6981078.0,33.8584046850538,44.1567920315988
2011-07-01,7299113.0,34.1795893112649,44.8467667461289
2011-10-01,7930723.0,34.2542077771329,44.7155695059552
2012-01-01,6478656.0,34.0221959675389,43.7739339959554
2012-04-01,7109031.0,34.8843072984348,44.7036040882195
2012-07-01,7415845.0,35.3516155308173,45.4891912841271
2012-10-01,7916838.0,35.0114505298296,45.3399689762151
2013-01-01,6672025.0,34.5455251860054,43.94974462858
2013-04-01,7512715.0,34.9809442327137,45.991415568449
2013-07-01,7816910.0,35.405925954748,46.8142490344575
2013-10-01,8289270.0,35.8581632057295,46.8870713653726
2014-01-01,7222366.0,36.4783794312427,47.6289194091734
2014-04-01,8090368.0,36.8706368706369,48.215713822544
2014-07-01,8480345.0,37.3228991842629,49.0839876278848
