date,CPMNACNSAB1GQIT,LREPTTFEITQ156N,LREPTTMAITQ156N
1998-01-01,267339.0,24.5000238814932,47.1422547907761
1998-04-01,286061.8,24.9207967725324,47.3563310156624
1998-07-01,277198.4,25.3490228724275,47.9454043850733
1998-10-01,308256.9,25.4513207933287,47.6699867872751
1999-01-01,274196.9,25.1949176521926,47.1929684494734
1999-04-01,292718.7,25.5569832078552,47.5827599589419
1999-07-01,285842.6,25.9673009661078,48.1718136000958
1999-10-01,322391.2,25.9874126398359,47.9807409931876
2000-01-01,290532.5,25.6571352682174,47.3921579992175
2000-04-01,309542.4,26.225620295891,47.8232407075869
2000-07-01,301658.0,26.7369967555655,48.6561423422707
2000-10-01,339780.0,27.0337164985432,48.7579961784498
2001-01-01,307373.3,26.9121254748459,48.1686970386751
2001-04-01,325983.4,27.2115240979399,48.1400863466986
2001-07-01,316830.2,27.6460110939594,48.8296662154768
2001-10-01,353950.0,27.6425162042687,48.7040353261847
2002-01-01,315959.4,27.5541072015339,48.5475687407471
2002-04-01,337594.3,27.7666398000582,48.6484740836428
2002-07-01,331317.4,28.1744378626078,49.040387003237
2002-10-01,365387.9,28.0918554350735,48.9396896932815
2003-01-01,325883.2,27.945240740239,48.7140375559894
2003-04-01,347895.6,28.4092602376018,49.0358571454196
2003-07-01,343587.1,28.6056845584848,49.378146920859
2003-10-01,377327.3,28.3611260716548,49.3276165189624
2004-01-01,339097.3,29.41748955564,48.4053936808618
2004-04-01,365368.2,29.6787412010522,49.1589410646935
2004-07-01,354988.1,29.5351473922902,49.2651094712447
2004-10-01,392865.4,30.0071608914469,48.9481166108281
2005-01-01,348858.4,29.476237444393,48.4022429160759
2005-04-01,373950.7,29.6406013074521,48.9676322449429
2005-07-01,364992.9,29.2543180822934,48.8226943324353
2005-10-01,405833.3,29.7487125022544,48.7247766767808
2006-01-01,364644.8,29.8255680131299,48.6898254276142
2006-04-01,389045.7,30.3669281633605,49.5487342373908
2006-07-01,379902.3,30.006390712165,49.2149341966359
2006-10-01,419093.9,30.3318748836343,48.8380185157848
2007-01-01,382045.8,29.8692648009146,48.4340369808863
2007-04-01,403065.5,30.3778319187532,49.385526831179
2007-07-01,395192.1,30.4474753145537,49.5466664805405
2007-10-01,434536.5,30.4890388970009,49.0333166123234
2008-01-01,393034.9,30.4477847632771,48.3820497397581
2008-04-01,415638.5,30.8587672249102,49.1864123403089
2008-07-01,402747.8,30.6304623521663,49.0775533952338
2008-10-01,426278.3,30.6186261619274,48.3510140028137
2009-01-01,374316.2,30.0765182873484,47.4453713095016
2009-04-01,392790.0,30.4121863799283,47.7678002473142
2009-07-01,389191.2,29.9074423630186,47.5534941972688
2009-10-01,420958.5,29.9192101705491,47.1222230620701
2010-01-01,377962.9,29.6753442752774,46.7203354643003
2010-04-01,403808.2,30.1777449340749,46.9558688407685
2010-07-01,398210.7,29.7146982366519,46.621723462271
2010-10-01,431297.7,30.1345990319733,46.5938646443629
2011-01-01,391555.4,30.0968616815188,46.3180235200837
2011-04-01,414755.6,30.3017210804955,46.7513936253375
2011-07-01,408635.1,29.8411256498966,46.6723965634262
2011-10-01,433809.7,30.2939292393764,46.1515129827862
2012-01-01,388497.0,30.2605255540188,45.5691246514573
2012-04-01,406788.3,30.6925092007778,45.9164857895202
2012-07-01,401872.2,30.2573824748562,46.0220742745615
2012-10-01,427201.2,30.3826091425341,45.353460521576
2013-01-01,380087.9,29.9379268731064,44.3213258783231
2013-04-01,402771.2,30.031586204685,44.4089120998372
2013-07-01,402442.0,29.7244088176353,44.6094234661188
2013-10-01,427449.1,29.9950950691018,44.232287800993
2014-01-01,386498.9,29.742478817633,43.6629736384852
2014-04-01,405581.9,29.9507979319756,44.3375753697817
2014-07-01,404925.3,29.9775118207096,44.6621758851804
