date,CPMNACNSAB1GQUK,LREPTTFEGBQ156N,LREPTTMAGBQ156N
1999-04-01,253932.0,41.5629732265966,51.97459255569
1999-07-01,261231.0,41.8262414347348,52.6325516594281
1999-10-01,267518.0,41.9972422929523,52.5984537070563
2000-01-01,270675.0,41.929698345307,52.2554764201805
2000-04-01,270524.0,42.0531880418051,52.4897015761374
2000-07-01,275279.0,42.5423454525839,52.8961439042527
2000-10-01,279422.0,42.3502788329427,52.729721037248
2001-01-01,282141.0,42.358787209545,52.5622916548958
2001-04-01,280713.0,42.4265168675469,52.6607038309339
2001-07-01,286311.0,42.5923809267676,53.0427556287986
2001-10-01,289210.0,42.717132009542,52.9476527819792
2002-01-01,290891.0,42.5859254831104,52.5374582186653
2002-04-01,292557.0,42.8062058707994,52.5449559131818
2002-07-01,299387.0,42.9597498708426,52.9708630267662
2002-10-01,304836.0,42.9520550011565,53.1250218888118
2003-01-01,310126.0,42.8465723612622,52.7868634536607
2003-04-01,307677.0,42.9646710755308,53.0039866807825
2003-07-01,315863.0,43.0534427709333,53.3853939598977
2003-10-01,322522.0,43.2554783056091,53.1927570215568
2004-01-01,324763.0,43.3914529458099,53.1231509261902
2004-04-01,324300.0,43.3271297352464,53.0911670015923
2004-07-01,330910.0,43.3275620962909,53.4345264122265
2004-10-01,337486.0,43.5012583571873,53.496243333691
2005-01-01,341932.0,43.7847478229679,53.3296456352636
2005-04-01,344037.0,43.6293820711353,53.1223235253488
2005-07-01,348400.0,43.8887544863743,53.5556030294468
2005-10-01,358669.0,43.6537526341384,53.4671614431976
2006-01-01,366508.0,43.9706917112909,53.1291204263268
2006-04-01,359256.0,43.9280726141695,53.2399473547113
2006-07-01,369794.0,43.93952876734,53.818125833932
2006-10-01,375161.0,43.9332334688637,53.6308039222386
2007-01-01,383729.0,43.659544234514,53.2149731744276
2007-04-01,376957.0,43.6866571395719,53.438246509615
2007-07-01,388380.0,43.9215711973368,53.8438003549065
2007-10-01,397019.0,44.2038304096438,53.8771700578682
2008-01-01,404144.0,44.1374960374134,53.6060892452466
2008-04-01,394617.0,44.1307999673816,53.5459303484604
2008-07-01,395006.0,44.0742802634449,53.4975289747099
2008-10-01,395492.0,44.0043703906037,53.1996230986674
2009-01-01,387707.0,43.6021531292681,52.2272187766429
2009-04-01,379400.0,43.3242471859667,51.4282378450505
2009-07-01,388668.0,43.4915665504646,51.505667061785
2009-10-01,392738.0,43.6154293790007,51.2716949394819
2010-01-01,398648.0,43.2582099984999,50.6740108703943
2010-04-01,396801.0,43.2585648923111,51.0991902097115
2010-07-01,401555.0,43.3952306924429,51.8516073668229
2010-10-01,409023.0,43.2251962906307,51.596712776006
2011-01-01,417202.0,43.3582808400613,51.1913132043237
2011-04-01,407837.0,43.1277566491802,51.2443761407464
2011-07-01,412074.0,43.102240454402,51.0915887972736
2011-10-01,423028.0,43.1316369275576,51.0438812199351
2012-01-01,427202.0,43.0215646151424,50.8609362212709
2012-04-01,418926.0,43.1136576504089,51.346309734254
2012-07-01,427925.0,43.3881224959763,51.7032460107074
2012-10-01,437717.0,43.6891104006018,51.6956679589746
2013-01-01,439582.0,43.5572062959182,51.0392594750299
2013-04-01,438760.0,43.5599936201952,51.2193860899182
2013-07-01,444285.0,43.7397759768235,51.8160360627616
2013-10-01,457709.0,44.046264753825,51.9475252814594
2014-01-01,465014.0,44.1534988713318,51.9718721778172
2014-04-01,461383.0,44.359516907312,52.1298772939237
2014-07-01,463493.0,44.5916559902966,52.5657724199066
2014-10-01,473118.0,44.7953709095865,52.477288196253
