date,CPMNACNSAB1GQFI,LREPTTFEFIQ156N,LREPTTMAFIQ156N
1998-01-01,28875.0,52.1022639765902,59.1555977229602
1998-04-01,30866.0,39.1658767772512,46.084543297269
1998-07-01,30062.0,54.7271329746349,63.9515916863983
1998-10-01,30671.0,53.3480198780675,61.4103973613947
1999-01-01,29704.0,54.2693233621882,60.2676004808446
1999-04-01,31639.0,41.9623269536274,48.9612936797022
1999-07-01,31557.0,50.9803023362345,61.9255583126551
1999-10-01,34016.0,49.407404017755,59.349150527515
2000-01-01,31770.0,48.9547596175838,57.963769550584
2000-04-01,33827.0,42.4013592599585,49.6687155743594
2000-07-01,34062.0,42.8792452830189,50.7920673556522
2000-10-01,36783.0,41.5566286878443,48.6700645058533
2001-01-01,34472.0,41.2066365007541,47.8806969974879
2001-04-01,36331.0,43.2275570965554,49.9781129372438
2001-07-01,35933.0,43.1272124726971,50.7463280659157
2001-10-01,37892.0,42.2940822165337,48.831013916501
2002-01-01,34994.0,42.1559771153267,47.4085850556439
2002-04-01,37641.0,43.7173070409814,49.3771818470327
2002-07-01,36700.0,43.7605745008836,50.0812943649126
2002-10-01,39151.0,42.4383644016837,48.0773038691537
2003-01-01,35230.0,42.5044157991657,47.0134188338677
2003-04-01,37723.0,43.5793427230047,49.0431757077337
2003-07-01,37814.0,42.9842008481255,50.2391587935328
2003-10-01,40982.0,41.7591897974494,47.8384572828578
2004-01-01,36823.0,41.6960468081914,46.9853812722244
2004-04-01,39657.0,42.9621021854032,48.8380351154074
2004-07-01,39474.0,43.2985057858668,50.0019709093776
2004-10-01,42804.0,42.2606353126052,47.9910275077722
2005-01-01,38918.0,42.5628178282979,47.1789423984891
2005-04-01,41339.0,43.7726542356414,49.2359665317987
2005-07-01,40768.0,43.7231699578185,49.9783966377312
2005-10-01,43662.0,42.9146778042959,48.8212719298246
2006-01-01,40762.0,43.1058262198531,48.0422159447583
2006-04-01,43081.0,44.3029490616622,49.7826001801872
2006-07-01,42851.0,44.2411394994236,51.0704082032014
2006-10-01,46203.0,43.6287985734453,49.2937963324229
2007-01-01,43781.0,43.7629937629938,48.2177677248264
2007-04-01,46844.0,45.0393291777976,50.9922178988327
2007-07-01,46233.0,45.0077829664221,51.6720520107447
2007-10-01,50214.0,44.4732360998001,49.8911860718172
2008-01-01,46293.0,44.1666050159059,49.6990174375704
2008-04-01,49424.0,45.5341635564096,52.0276033186012
2008-07-01,48396.0,45.3126153391895,51.8593120545398
2008-10-01,50152.0,44.646017699115,50.140953852095
2009-01-01,43734.0,44.2348780667502,48.0982873013424
2009-04-01,45597.0,44.9814126394052,49.0650250096191
2009-07-01,44919.0,44.2590414583946,48.9628631903021
2009-10-01,47497.0,43.4104258443466,47.0775852130807
2010-01-01,43728.0,42.8629061835253,46.7837827471136
2010-04-01,47414.0,44.2836203737633,48.8897396630934
2010-07-01,46305.0,43.9071708334858,49.4030307668759
2010-10-01,50696.0,43.0347349177331,47.6874307756942
2011-01-01,47120.0,42.5814939336354,47.4238607739867
2011-04-01,49807.0,44.2067606045119,49.7466763170927
2011-07-01,49074.0,44.3630131991541,49.4415430945755
2011-10-01,51997.0,43.3519064787501,48.1640729043796
2012-01-01,48811.0,43.1461001164144,47.3572215678079
2012-04-01,50536.0,44.512704932931,49.2870686386045
2012-07-01,49508.0,44.5372353945027,49.2958279700159
2012-10-01,52182.0,43.0441245785142,47.645146658603
2013-01-01,48547.0,42.8907806556783,46.2497638390327
2013-04-01,51645.0,44.1174341152621,48.5427741959808
2013-07-01,50814.0,43.3851717902351,48.650482509047
2013-10-01,53315.0,42.5945321246704,46.6959690446673
2014-01-01,49332.0,42.3126894759636,45.8975129611541
2014-04-01,52112.0,43.8063631772599,47.8624779491799
2014-07-01,51458.0,43.6797347938887,47.76907803544
