date,CPMNACNSAB1GQPL,LREPTTFEPLQ156N,LREPTTMAPLQ156N
1999-01-01,147131.8,42.903997872529,56.9198482862482
1999-04-01,159996.4,,
1999-07-01,168909.7,,
1999-10-01,198492.4,,
2000-01-01,168139.6,40.545823622284,54.020377254578
2000-04-01,181144.4,40.9316700241488,54.8068530901444
2000-07-01,186781.9,41.0843013483734,55.550543058489
2000-10-01,212417.5,40.3295539496636,55.1740177301083
2001-01-01,179442.7,39.6324166609518,53.3732999897228
2001-04-01,191091.0,40.2433259522802,53.1743049054644
2001-07-01,194162.3,40.1478350082199,53.5256192738378
2001-10-01,216852.1,39.0600838724841,52.5090202420347
2002-01-01,189879.4,38.4784045358813,50.6467256757215
2002-04-01,198461.7,38.8806006953863,50.8648527888541
2002-07-01,200992.1,38.4749455337691,51.3468887106666
2002-10-01,222880.7,38.1187571412775,50.7096887353778
2003-01-01,194803.2,37.7071096559365,49.3504550215608
2003-04-01,207707.9,38.4412975424585,50.2115073536877
2003-07-01,208842.8,38.3439199491349,51.0976039942474
2003-10-01,235798.2,38.1796005864308,50.9060754780843
2004-01-01,214304.7,37.6067114424189,49.6840170056302
2004-04-01,226018.2,38.0128740602427,50.5794685224059
2004-07-01,228868.4,38.7968587029879,51.5037619307428
2004-10-01,263900.2,38.5294802219745,52.2384446222856
2005-01-01,230098.9,37.4863909378937,51.3012875190576
2005-04-01,242441.3,38.1840095932651,51.7312675375589
2005-07-01,244647.8,39.3086053957429,53.3362899649236
2005-10-01,273342.5,39.2458722423163,53.2495264105602
2006-01-01,244896.2,32.5696897805513,43.0526438065947
2006-04-01,256604.7,33.2383030402832,44.2277393568503
2006-07-01,264324.1,34.343064186469,45.7857531266993
2006-10-01,303606.4,34.1817093434891,45.9898003917804
2007-01-01,272905.4,34.1347865801737,45.6611650539336
2007-04-01,285685.6,35.1185059563203,46.7146473253949
2007-07-01,290508.5,35.9751022328376,47.3562730183924
2007-10-01,338408.6,36.0962249037493,47.7954982341634
2008-01-01,302030.8,35.9101316394722,47.8932450790208
2008-04-01,311056.7,36.3719210674841,48.654309410569
2008-07-01,314013.4,37.0850847948978,49.5572736817873
2008-10-01,358469.8,37.2110589160441,49.4584249988776
2009-01-01,321110.2,36.6158494001769,48.4733338571894
2009-04-01,330450.0,36.8793042830848,48.8058297019055
2009-07-01,337326.1,37.1616104191431,49.47311249972
2009-10-01,383138.2,37.1054792610306,48.6858818328829
2010-01-01,331407.0,36.0303158787365,47.3313448349885
2010-04-01,350786.0,36.7031732659365,48.3012409554849
2010-07-01,358179.7,37.0085913747259,49.0892048470338
2010-10-01,406470.8,36.625721395669,48.7621778445074
2011-01-01,358866.8,36.4121543275569,47.8775528636102
2011-04-01,378064.9,36.6837231968811,48.8783463232802
2011-07-01,387151.9,36.6889408973938,49.5040169825488
2011-10-01,441167.7,36.6495194546763,49.0273756920108
2012-01-01,377803.3,36.4573630281988,48.0286738351254
2012-04-01,397430.1,36.7579957017479,48.9087234378881
2012-07-01,400837.5,36.9029471544715,49.3965088971186
2012-10-01,447371.6,36.797434730615,48.9987809283005
2013-01-01,378756.5,35.9910873062918,47.9377805380685
2013-04-01,399916.3,36.485434528191,48.8108285220378
2013-07-01,405103.5,37.0280320366133,49.432659380898
2013-10-01,462947.6,37.2171849843234,49.078714664286
2014-01-01,396634.7,37.1412829844832,48.3947365446139
2014-04-01,416337.9,37.3775017253278,49.5771520496655
2014-07-01,423147.9,37.8415539876942,50.6126541548885
