date,CPMNACNSAB1GQPT,LREPTTFEPTQ156N,LREPTTMAPTQ156N
1998-01-01,26126.7,40.6159897653281,54.989816700611
1998-04-01,27855.9,41.3529243392806,55.5793021248613
1998-07-01,28098.4,41.0114180057566,55.3730363807883
1998-10-01,29272.4,41.2782398507832,55.3181464334002
1999-01-01,28275.5,41.6371597182562,55.3457702782954
1999-04-01,29818.8,42.1313907486306,55.3894297635605
1999-07-01,29934.0,42.1968171977667,55.6234044725825
1999-10-01,31574.9,42.0357169940093,55.5877314625989
2000-01-01,30508.0,42.5274725274725,55.9263333740782
2000-04-01,31849.2,42.8025284832885,56.1965985840996
2000-07-01,32167.0,43.0819808415365,56.661590009138
2000-10-01,33890.2,42.9912886073085,56.7068972500101
2001-01-01,31815.8,43.2959210575873,56.7330435661579
2001-04-01,34100.1,43.4009818120263,56.7825700670382
2001-07-01,33932.4,43.4570404159862,56.8370819322232
2001-10-01,35926.7,43.5858529092203,56.7061658967664
2002-01-01,33955.3,43.1811000204465,56.3621484601106
2002-04-01,35982.1,43.4507460470641,56.346675171424
2002-07-01,35848.4,43.4283173379775,56.1888278825495
2002-10-01,36768.5,42.7406078318936,55.2977433144448
2003-01-01,34526.2,43.1958896261112,54.8244742177871
2003-04-01,36101.2,43.1333087149188,54.9390692404032
2003-07-01,36698.0,43.0049997232626,55.0203595193167
2003-10-01,38742.5,42.7018061186878,54.7701708096098
2004-01-01,35907.7,42.6002358490566,54.5519485673466
2004-04-01,38124.8,42.8434622467772,54.4120563156851
2004-07-01,38311.1,42.8379547001785,54.1252229046959
2004-10-01,39904.8,42.9519345648378,53.8437184636999
2005-01-01,37359.4,42.7426323240123,53.5427926590248
2005-04-01,39915.2,43.1876653925316,53.6600815550893
2005-07-01,39498.6,43.0483394224238,53.5416872712887
2005-10-01,41779.5,42.9585343041062,53.4669512966477
2006-01-01,38978.3,42.8126145947928,53.7561284200538
2006-04-01,41924.6,43.4049726085124,54.0368006008261
2006-07-01,41042.3,43.3229586232149,54.0605677485628
2006-10-01,44315.3,42.9002523867003,53.5081138705729
2007-01-01,41452.9,42.9365616370719,53.5583779406246
2007-04-01,44102.6,43.1359292488169,53.7128077553357
2007-07-01,43657.4,43.572706363404,53.9741110541063
2007-10-01,46270.5,43.2906590801328,53.9132149901381
2008-01-01,43011.1,43.3674958056751,53.9623013914931
2008-04-01,45223.8,43.9463517749107,54.0294088621336
2008-07-01,44782.4,43.5986600152933,53.6960296787434
2008-10-01,46085.4,43.3077454796813,53.4501470036899
2009-01-01,41339.7,43.1498498771722,52.2434631487479
2009-04-01,44018.3,42.9841789416258,51.9238366121514
2009-07-01,44199.3,42.5461945166155,51.1374856826889
2009-10-01,45859.2,42.6717487975315,51.0040081347365
2010-01-01,43022.7,42.62062956105,51.0785108444216
2010-04-01,44982.7,42.5618784931407,50.7397444519166
2010-07-01,45158.6,41.9866156440995,50.8238226160571
2010-10-01,46446.8,41.8206856563021,50.6221193598797
2011-01-01,42666.8,41.0968092820885,49.7283793964868
2011-04-01,44521.7,41.5383778490997,49.7718344510138
2011-07-01,44229.5,40.7340913624576,49.7697407598555
2011-10-01,44678.2,40.0442598269513,48.1780250347705
2012-01-01,41291.7,39.9920074113095,47.4536760310819
2012-04-01,41710.5,40.3054267793837,47.5959620142048
2012-07-01,42585.5,40.0498417433696,47.1964203671521
2012-10-01,42708.0,38.922668025923,45.9947183098592
2013-01-01,40736.6,38.3887551957996,45.1316423181891
2013-04-01,42240.5,39.101955918844,45.8539330358937
2013-07-01,43458.0,39.3619546757729,46.5788996920104
2013-10-01,44057.2,39.4743095285968,46.5819465456379
2014-01-01,41069.0,39.386179902696,46.0314246375638
2014-04-01,43644.1,39.9458262413294,47.303190734092
2014-07-01,44390.5,40.3523551388177,47.992277992278
2014-10-01,43950.1,39.9600527743165,47.0564278005172
