date,CPMNACNSAB1GQEL,LREPTTFEGRQ156N,LREPTTMAGRQ156N
1998-01-01,27990.7,27.2357030554451,49.5963227061111
1998-04-01,29955.5,27.7014755959137,50.2138512850696
1998-07-01,32956.8,27.9168634860652,50.5731360830802
1998-10-01,34359.5,27.6826990206993,50.091976516634
1999-01-01,30196.7,28.1777744270205,49.7634686058331
1999-04-01,32196.2,27.9829037299241,49.8759983596633
1999-07-01,34833.3,27.9644919222885,49.8419697206181
1999-10-01,36562.5,27.5933337091107,49.3947958288666
2000-01-01,32419.4,27.7572321612946,49.6036923795984
2000-04-01,34213.8,28.518365662402,50.1722560678903
2000-07-01,36937.1,28.793985864532,50.3793183940243
2000-10-01,37677.0,28.5973850822313,50.1137269387041
2001-01-01,35236.6,28.4421378494036,49.8407613304438
2001-04-01,36726.4,28.4171484673285,50.135669869983
2001-07-01,39842.8,28.403934807071,50.130931971892
2001-10-01,40388.1,27.5396710383306,49.5687219857622
2002-01-01,37497.1,27.8806844904309,49.4861079737972
2002-04-01,39873.9,28.9527906304222,50.4261283464715
2002-07-01,42337.7,29.2857787810384,50.5800507661935
2002-10-01,43752.0,29.1227627020785,50.3861548001578
2003-01-01,40880.6,29.0481341265549,50.5501520898269
2003-04-01,43418.8,29.7777697738078,50.8976980657749
2003-07-01,46681.7,29.9375663470016,51.0704109178164
2003-10-01,47923.8,29.6155159707368,50.7061247424611
2004-01-01,44878.1,29.5729626836189,50.2236529355618
2004-04-01,47605.0,30.2666044709175,50.9285754362341
2004-07-01,50815.4,30.3328493843093,50.9045376392315
2004-10-01,50417.3,30.1960784313726,50.7087231777691
2005-01-01,45727.0,30.0357781753131,50.6867209076659
2005-04-01,49176.8,30.6178620578721,51.1375079252601
2005-07-01,51750.2,30.7403902804806,51.0378237376561
2005-10-01,52588.3,30.7858314903332,50.9429746988625
2006-01-01,50093.1,30.9426229508197,51.0772093023256
2006-04-01,53992.3,31.4864600210088,51.3759250306794
2006-07-01,55923.2,31.8532749848792,51.6082876521416
2006-10-01,57852.9,31.3681928053462,51.322191272052
2007-01-01,52830.7,31.1929537947935,51.1236059307094
2007-04-01,58358.9,31.8436646205159,51.5000370837351
2007-07-01,59929.0,31.9248493442042,51.773903699724
2007-10-01,61575.9,31.7703722066792,51.5002869148326
2008-01-01,55877.2,31.7194882412274,51.3367994523285
2008-04-01,60744.8,32.4506005766952,51.8565798967642
2008-07-01,63078.4,32.5293108631452,51.7999852005328
2008-10-01,62290.0,32.3227859289376,51.2263697236506
2009-01-01,53386.0,32.1781390827958,50.4079329546926
2009-04-01,60220.5,32.6212185467911,50.6866809802325
2009-07-01,61255.1,32.6389993109662,50.6962447226131
2009-10-01,62672.7,32.1550962727433,49.8008558566903
2010-01-01,54097.1,31.7904671014262,49.0885827136685
2010-04-01,56561.7,32.0830163307914,48.7221396731055
2010-07-01,56496.6,31.825991462529,48.3890170399583
2010-10-01,56968.5,30.9910101601149,47.1521994298809
2011-01-01,48742.3,30.2856129146709,45.8441340469575
2011-04-01,51908.5,29.9418192138499,45.4465751380391
2011-07-01,52082.2,29.3723285387439,44.4939920889619
2011-10-01,50575.3,28.4632571996028,42.5828123542036
2012-01-01,44789.7,27.6749756054289,41.564239548698
2012-04-01,47583.1,27.3994742824666,40.926612027993
2012-07-01,48306.4,26.9064594705119,40.3872467245225
2012-10-01,47709.5,26.535552193646,39.5415203800011
2013-01-01,42412.3,25.8114511704136,38.6341848530987
2013-04-01,45463.1,26.0041717922661,39.061324303988
2013-07-01,46466.7,25.9023354564756,39.1897742888876
2013-10-01,45274.3,25.5735890156588,38.5728279707633
2014-01-01,41230.8,25.8940219819498,38.3678394991892
2014-04-01,44170.2,26.4219132986242,38.9311536065543
2014-07-01,46620.1,26.9263836646964,39.3785908678561
