date,CPMNACNSAB1GQFR,LREPTTFEFRQ156N,LREPTTMAFRQ156N
2003-01-01,403036.0,37.5002473239548,46.5158062395179
2003-04-01,404087.0,37.5390197963726,46.6690067922144
2003-07-01,400815.0,37.7642641014774,47.0172379381703
2003-10-01,422728.0,37.0597806119771,46.3630702055154
2004-01-01,420912.0,37.0642412323828,46.2327701627986
2004-04-01,425601.0,37.5554123331905,46.4100720428906
2004-07-01,417734.0,37.8895433885377,46.7844835696292
2004-10-01,439769.0,37.4041076925583,46.0775586279801
2005-01-01,434707.0,37.5776750961692,45.8550203299317
2005-04-01,443507.0,37.8695958425438,46.3287865023613
2005-07-01,431692.0,37.8731633367022,46.5921834115546
2005-10-01,455997.0,37.238634199253,45.9838124284117
2006-01-01,452861.0,37.3912005137821,45.6255756275418
2006-04-01,462898.0,37.6588469236149,46.06727255821
2006-07-01,452130.0,38.0235060953049,46.5971861776908
2006-10-01,480261.0,38.1107491856678,45.7248330897439
2007-01-01,475230.0,37.9687670424288,45.7001808863431
2007-04-01,485257.0,38.4798883146657,46.2170136099307
2007-07-01,477133.0,38.8223026162168,46.6964505287319
2007-10-01,503740.0,38.7306891220179,46.2376848760559
2008-01-01,495404.0,38.8252487284377,46.149129888311
2008-04-01,504007.0,39.0335934935512,46.5486689545162
2008-07-01,488941.0,39.1004737195415,46.7688974760354
2008-10-01,504029.0,38.6656329140068,46.3086087820358
2009-01-01,479936.0,38.4751148314272,45.5841411123981
2009-04-01,484114.0,38.8090466284439,45.6621020013261
2009-07-01,473082.0,38.7754067937244,45.6615436581658
2009-10-01,499294.0,38.2467637207802,45.0725317125984
2010-01-01,487548.0,38.3754802345567,45.0002695090892
2010-04-01,499701.0,38.6419012750915,45.4449106208595
2010-07-01,491589.0,38.745705008984,45.7034005926344
2010-10-01,516450.0,38.0944285457928,45.3275276168496
2011-01-01,508817.0,38.1073991835297,45.0400734456462
2011-04-01,516488.0,38.5681474708819,45.4169093087545
2011-07-01,504494.0,38.5903913138984,45.5539551034185
2011-10-01,528568.0,38.3347176730555,44.8638617992003
2012-01-01,518930.0,38.227363687324,44.5082021872499
2012-04-01,522647.0,38.5387707566309,44.9816801012591
2012-07-01,512003.0,38.556891882595,45.2175185783952
2012-10-01,535224.0,38.2447197286306,44.7096459145132
2013-01-01,521547.0,38.1124371369081,44.1471971535068
2013-04-01,530998.0,38.4936716363897,44.683645045762
2013-07-01,520471.0,38.6898379052369,44.8595500036429
2013-10-01,544172.0,38.4206137840058,44.2357900867304
2014-01-01,531240.0,38.4334413061184,43.8116299903144
2014-04-01,536535.0,38.715269148566,44.2356344996598
2014-07-01,528544.0,38.6122608549958,44.387830818699
