date,CPMNACNSAB1GQEE,LREPTTFEEEQ156N,LREPTTMAEEQ156N
1999-04-01,1395.9,38.6961803212309,46.4954012052014
1999-07-01,1370.6,,
1999-10-01,1417.1,,
2000-01-01,1396.6,37.6895209982557,45.0723960765997
2000-04-01,1579.1,39.2122597123269,45.7355911138729
2000-07-01,1542.2,39.0763052208835,46.7578365089121
2000-10-01,1661.9,38.7541862022773,45.9812509605041
2001-01-01,1574.7,38.0971714711057,46.2621885157096
2001-04-01,1795.3,38.3407768304236,46.342219466832
2001-07-01,1755.0,40.5967328203051,46.2063615205586
2001-10-01,1867.2,39.7186147186147,47.2693325035009
2002-01-01,1766.3,38.3739837398374,46.9311260346712
2002-04-01,2018.4,39.5771211710491,46.3704630788486
2002-07-01,1976.4,39.8072747014115,47.4228419238603
2002-10-01,2066.3,40.7417470452384,45.6695379796398
2003-01-01,2011.5,40.3007518796992,45.7386363636364
2003-04-01,2237.3,39.9753997539975,47.9551555345018
2003-07-01,2201.6,41.0585186195608,49.5909376966646
2003-10-01,2297.1,41.3001912045889,49.3211240922008
2004-01-01,2307.1,41.6575041231446,47.488
2004-04-01,2396.6,41.59231297186,47.9840637450199
2004-07-01,2497.1,40.9921671018277,48.3006223073241
2004-10-01,2575.5,41.0527762506872,48.5623003194888
2005-01-01,2531.5,42.4551724137931,46.945646945647
2005-04-01,2847.6,43.5989504212125,48.2188703465982
2005-07-01,2909.1,42.4534803583735,50.1449275362319
2005-10-01,3048.2,43.2015429122469,49.9360409338024
2006-01-01,3021.7,44.1608876560333,51.298493106765
2006-04-01,3359.7,45.1702571230021,52.8431843664905
2006-07-01,3498.4,44.4998614574674,53.7019230769231
2006-10-01,3680.7,44.7288323187604,53.4593209481102
2007-01-01,3706.6,44.4273957316223,53.2291834433886
2007-04-01,4117.3,45.5078125,53.8176546391753
2007-07-01,4193.0,45.3810784450327,54.5103092783505
2007-10-01,4381.9,44.6378830083565,54.231823311301
2008-01-01,3902.3,44.4630872483221,54.7054075867635
2008-04-01,4417.0,44.6446027091188,54.2427670922903
2008-07-01,4243.0,45.4913456169738,53.9469427369783
2008-10-01,4076.0,45.166247555183,53.4600389863548
2009-01-01,3470.0,43.5355091749545,48.6266861693483
2009-04-01,3626.8,42.3605270535464,46.6634272756722
2009-07-01,3492.1,41.9119708438464,48.094315245478
2009-10-01,3623.0,41.7693169092945,45.3661697990927
2010-01-01,3339.4,41.0947368421053,41.9380975530708
2010-04-01,3695.5,41.123595505618,42.7852621327707
2010-07-01,3831.3,40.1660101294316,46.6990291262136
2010-10-01,3996.9,40.8777605851737,48.4455958549223
2011-01-01,3807.5,40.9732016925247,47.8035337980224
2011-04-01,4254.0,42.2816901408451,48.1037277147488
2011-07-01,4345.8,43.491124260355,50.7293354943274
2011-10-01,4421.9,42.6657263751763,49.635273139893
2012-01-01,4133.9,43.0594900849858,48.9174670356503
2012-04-01,4581.3,43.9411098527746,49.5269168026101
2012-07-01,4630.0,43.4801076030016,51.8970851652825
2012-10-01,4705.6,42.5357294467242,51.220703125
2013-01-01,4451.1,42.8348023883992,50.4906771344455
2013-04-01,4831.8,44.4333854685056,52.1618534834394
2013-07-01,4868.9,43.8007117437722,52.0364939719778
2013-10-01,4881.6,43.371266002845,50.7918367346939
2014-01-01,4660.5,42.0474014848658,50.9156311314585
2014-04-01,5107.7,43.8115631691649,52.7296502124877
2014-07-01,5098.2,44.4428571428571,52.704690308874
