date,CPMNACNSAB1GQIS,LREPTTFEISQ156N,LREPTTMAISQ156N
1999-04-01,156702.0,76.1129207383279,85.7446808510638
1999-07-01,166048.1,,
1999-10-01,170695.8,,
2000-01-01,166511.3,,
2000-04-01,172806.2,77.7306468716861,86.6805411030177
2000-07-01,186493.6,,
2000-10-01,183750.2,,
2001-01-01,178391.6,,
2001-04-01,197750.2,76.6492146596859,87.0636550308008
2001-07-01,207733.3,,
2001-10-01,218401.5,,
2002-01-01,203512.4,,
2002-04-01,212330.4,76.1410788381743,84.349593495935
2002-07-01,219878.5,,
2002-10-01,218418.5,,
2003-01-01,219038.7,73.2307692307692,80.0607287449393
2003-04-01,213530.2,75.5873340143003,83.9195979899498
2003-07-01,223138.8,77.7439024390244,84.136546184739
2003-10-01,221025.0,73.1083844580777,81.0920121334681
2004-01-01,234400.8,73.1509625126646,79.3969849246231
2004-04-01,232404.1,74.721941354904,82.4175824175824
2004-07-01,250880.5,73.8647830474268,84.136546184739
2004-10-01,252736.1,72.2722722722723,82.2420634920635
2005-01-01,248984.4,74.5216515609265,79.5073891625616
2005-04-01,261407.4,75.8032128514056,85.1272015655577
2005-07-01,277828.1,74.8987854251012,86.4573110893032
2005-10-01,273208.3,75.4228855721393,82.0837390457644
2006-01-01,286125.8,75.1984126984127,82.3977164605138
2006-04-01,301129.4,76.1252446183953,85.6610800744879
2006-07-01,318349.0,75.9368836291913,86.0146252285192
2006-10-01,320111.8,74.21875,84.3263061411549
2007-01-01,325794.1,75.7722007722008,84.2248413417951
2007-04-01,346028.0,77.4378585086042,85.4853072128228
2007-07-01,355749.6,76.3532763532764,86.3436123348018
2007-10-01,359379.6,74.3856332703214,85.1232394366197
2008-01-01,357931.2,73.8476011288805,83.2599118942731
2008-04-01,389128.1,75.8169934640523,85.78856152513
2008-07-01,405323.4,75.852534562212,84.892703862661
2008-10-01,437242.5,74.5152354570637,80.745880312229
2009-01-01,379749.3,71.2328767123288,75.5030621172354
2009-04-01,395710.9,70.9736123748863,76.7015706806283
2009-07-01,427553.5,73.1549815498155,79.295154185022
2009-10-01,423377.0,73.0275229357798,76.0850310008857
2010-01-01,402861.0,71.415607985481,75.1785714285714
2010-04-01,419111.2,72.0361990950226,78.1333333333333
2010-07-01,431182.6,71.9314079422383,78.1333333333333
2010-10-01,427812.1,71.0691823899371,76.3555555555556
2011-01-01,416724.9,71.1711711711712,73.7837837837838
2011-04-01,433322.8,73.7410071942446,77.0186335403727
2011-07-01,464629.3,72.0972097209721,78.6654960491659
2011-10-01,450331.7,69.5769576957696,77.2364924712134
2012-01-01,446616.9,70.5349048050771,75.4432624113475
2012-04-01,448789.6,73.9404869251578,78.2801418439716
2012-07-01,480978.7,73.4177215189874,79.273693534101
2012-10-01,468774.6,72.858431018936,76.678445229682
2013-01-01,476002.9,71.4798206278027,75.9194395796848
2013-04-01,486182.4,73.967684021544,79.7202797202797
2013-07-01,508662.0,75.3777777777778,81.25
2013-10-01,499298.5,73.9244951712028,78.7958115183246
2014-01-01,470943.4,72.15411558669,77.7292576419214
2014-04-01,504708.6,74.7359154929578,81.7626527050611
2014-07-01,561276.9,75.7655293088364,82.4742268041237
