date,CPMNACNSAB1GQSE,LREPTTFESEQ156N,LREPTTMASEQ156N
1998-04-01,548708.0,41.4846576443789,47.7151213270575
1998-07-01,512081.0,,
1998-10-01,571130.0,,
1999-01-01,545011.0,,
1999-04-01,574863.0,43.1315613133795,48.4824956039188
1999-07-01,539112.0,,
1999-10-01,605508.0,,
2000-01-01,576476.0,,
2000-04-01,616991.0,44.0852298081214,49.0529438612506
2000-07-01,581261.0,,
2000-10-01,633423.0,,
2001-01-01,606673.0,45.090309792655,50.5574936726178
2001-04-01,641719.0,46.1214953271028,51.6167964658196
2001-07-01,595658.0,46.6395428977968,52.1375105226037
2001-10-01,659681.0,45.6984828627913,51.0009771172768
2002-01-01,622829.0,45.4747362576346,50.1904071085321
2002-04-01,667418.0,46.1837142223208,51.2946448780046
2002-07-01,626922.0,46.6399219823574,51.6130490810029
2002-10-01,681167.0,45.6676702382006,50.4820392404777
2003-01-01,657438.0,45.3433595045892,49.6324026881963
2003-04-01,682604.0,46.1728776867172,50.922027334339
2003-07-01,654133.0,46.2337088579633,51.4536453645364
2003-10-01,709376.0,45.1835672050128,50.0471867697286
2004-01-01,682779.0,44.7072047252772,49.3110103685085
2004-04-01,720521.0,45.4211244661648,50.3697893321381
2004-07-01,685022.0,45.9950762737943,50.8392265687942
2004-10-01,741872.0,44.8699326554866,49.7435208207334
2005-01-01,696971.0,44.3328204000879,49.2430171970392
2005-04-01,748164.0,45.4258121158911,51.1071922853699
2005-07-01,710354.0,45.8636562911004,51.7963004234455
2005-10-01,775596.0,45.2744703204343,50.8701174268589
2006-01-01,745581.0,44.7656592203241,50.5004123665381
2006-04-01,795052.0,45.7546757559867,51.7672394653879
2006-07-01,755494.0,46.8820206338474,52.8138240056787
2006-10-01,825541.0,45.8719790986283,51.9103063573579
2007-01-01,797633.0,45.6599338324917,51.6196077564287
2007-04-01,844720.0,46.7748593278151,52.7115541538937
2007-07-01,798288.0,47.6556061591846,53.6846040507554
2007-10-01,879637.0,46.6132698343977,52.5573230938014
2008-01-01,827897.0,46.231884057971,52.3427717856907
2008-04-01,883491.0,47.2009326626222,53.4444200833151
2008-07-01,830417.0,47.5604499806043,53.9872198879552
2008-10-01,870448.0,46.304815133276,52.364223526588
2009-01-01,805752.0,45.7004727116459,50.6946099997833
2009-04-01,857795.0,46.3054292820997,51.1527315195294
2009-07-01,807501.0,46.2656223249444,51.5101794080183
2009-10-01,870119.0,45.1068736520681,50.5286732562396
2010-01-01,841027.0,44.494913953042,50.0279581917502
2010-04-01,910641.0,45.5025553662692,51.4501620832528
2010-07-01,870125.0,46.1106621868753,52.3501435365697
2010-10-01,951788.0,45.1830627188793,51.4574518100611
2011-01-01,896543.0,45.3629887202103,51.0960278329171
2011-04-01,956591.0,46.4914324444539,52.2361969729269
2011-07-01,912548.0,47.0789796522696,52.8344864289516
2011-10-01,962223.0,46.271494359711,51.59459114683
2012-01-01,908850.0,45.9833678078433,50.8179654967281
2012-04-01,967797.0,46.9590889919865,52.0236857185305
2012-07-01,903855.0,47.376734977569,52.6929354161809
2012-10-01,962584.0,46.3682450198784,51.6673371302746
2013-01-01,919673.0,46.025641025641,51.1614131584514
2013-04-01,979878.0,47.2114900050395,52.1437778669991
2013-07-01,924681.0,47.5934819537361,53.1128651021442
2013-10-01,998439.0,46.9231735924933,51.9924138657676
2014-01-01,951259.0,46.4216958232192,51.3722848964472
2014-04-01,1023626.0,47.5785381351504,52.5751749353842
2014-07-01,968754.0,48.49598163031,53.6007216127205
2014-10-01,1049091.0,47.1296952515946,52.590141965744
