date,CPMNACNSAB1GQDK,LREPTTFEDKQ156N,LREPTTMADKQ156N
1999-01-01,296266.2,46.3613879937046,55.6424110050964
1999-04-01,310017.4,46.8952037287626,55.6805184902783
1999-07-01,306642.5,47.1330917784169,56.1133105277319
1999-10-01,328594.7,46.304347826087,55.5427384934825
2000-01-01,316939.6,47.2218073188947,54.5496200694948
2000-04-01,330372.3,47.2467988203233,55.381208719887
2000-07-01,327422.6,46.6277852549723,56.0152671755725
2000-10-01,352177.0,47.0324748040314,55.9765208110992
2001-01-01,329476.3,46.8029739776952,55.0992522867879
2001-04-01,342089.3,46.840618495391,55.4005246549823
2001-07-01,340468.6,47.7906717250614,56.0287190396596
2001-10-01,359492.0,47.922169723576,55.9998479607739
2002-01-01,337814.0,46.8522642910171,54.4724683783988
2002-04-01,355013.0,47.4593834425077,55.1934287228405
2002-07-01,350031.8,46.7631237247264,55.8377171403701
2002-10-01,367412.2,46.8274815938436,55.0381129356441
2003-01-01,347291.6,45.4048463356974,54.9877335346292
2003-04-01,356764.8,46.2157869464042,54.8356665786197
2003-07-01,354633.3,46.7156518849463,55.3998942678046
2003-10-01,378061.5,46.3141971664699,54.6951541186224
2004-01-01,360561.8,46.0036832412523,54.4452387222996
2004-04-01,375295.1,46.9591483405164,55.1160694162723
2004-07-01,373172.0,47.7045320776928,55.5037944248253
2004-10-01,396972.0,46.8578782864497,54.97600119994
2005-01-01,372664.3,46.5504560164754,54.4780867547438
2005-04-01,401054.0,46.3566687447284,55.268881722043
2005-07-01,395802.0,47.2889247351248,55.1752546434991
2005-10-01,416463.9,48.0849658815761,55.1771830143541
2006-01-01,399593.9,47.4600498460636,54.9813432835821
2006-04-01,427484.2,47.744415964848,55.5062465038225
2006-07-01,421474.2,48.401492428122,56.4292908568657
2006-10-01,433707.9,48.0302311146811,56.2302104674986
2007-01-01,416068.6,47.5691793025708,55.426471679905
2007-04-01,431811.7,47.812341013155,55.5551437889119
2007-07-01,432688.9,47.7291704483572,55.3341973708573
2007-10-01,458276.0,47.9633363886343,55.4150611649396
2008-01-01,432763.4,46.9361902348981,54.479374215925
2008-04-01,456651.8,47.4420622582161,55.5698813821558
2008-07-01,454311.6,47.2128897077418,55.8251712202666
2008-10-01,457743.1,47.4214923653126,54.7092276646487
2009-01-01,420756.9,46.8079746653232,53.0495622550277
2009-04-01,426599.6,46.8107291816482,52.5075042096786
2009-07-01,429248.4,46.5435469962633,52.4232781008815
2009-10-01,445537.5,45.249274219562,51.0694211256296
2010-01-01,430538.1,45.1741186586414,50.1824018677951
2010-04-01,454629.1,45.8986471977668,50.6979117314771
2010-07-01,455756.0,45.5839742443212,51.1903028538148
2010-10-01,470002.3,44.5883738357778,51.0368621754131
2011-01-01,449741.7,44.6342594243732,50.2813986420246
2011-04-01,466636.3,45.3252539654251,51.0646015452138
2011-07-01,456525.5,45.1111744583808,51.3972960237776
2011-10-01,473950.1,44.0999751128809,50.5843615443065
2012-01-01,457613.4,44.1687697721537,49.9348958333333
2012-04-01,477660.8,44.8067632850242,50.240236985658
2012-07-01,474105.2,44.8213397740996,50.2021806628637
2012-10-01,485622.8,44.1684091150725,50.6341428262593
2013-01-01,464259.2,43.8270293242669,49.7101918853728
2013-04-01,487524.7,44.3650007079145,49.8848672375333
2013-07-01,482170.4,44.8934814919669,49.8741459906508
2013-10-01,495722.7,43.8680077642492,49.7955376999785
2014-01-01,479593.6,43.440685738474,49.4535421220482
2014-04-01,495208.5,44.0964025228146,50.4811992415298
2014-07-01,493651.7,44.4362279033735,50.8201407997713
2014-10-01,512711.1,44.6969164852146,50.760625601197
