date,CPMNACNSAB1GQIE,LREPTTFEIEQ156N,LREPTTMAIEQ156N
1999-04-01,22466.7,33.994484514213,50.9924156850089
1999-07-01,23605.5,35.7448833888624,53.0891343987987
1999-10-01,24746.5,35.055777731004,52.3474178403756
2000-01-01,25561.3,35.0967606226336,52.2579614442433
2000-04-01,26749.0,35.6026434490716,52.7165542514207
2000-07-01,27396.6,37.2352110466029,54.2301990681914
2000-10-01,28693.4,36.3726050158368,53.153720918019
2001-01-01,29792.5,36.2542777144042,53.0463506711409
2001-04-01,30468.1,36.3373145132103,53.2643353719095
2001-07-01,30300.3,37.9812641548281,54.711087975013
2001-10-01,31449.1,37.1695894473133,53.4461347407637
2002-01-01,32766.1,37.2044435385243,52.7933969564096
2002-04-01,33700.8,37.3465246067986,52.8081804634911
2002-07-01,34124.9,38.1874241811565,53.8898556658819
2002-10-01,35364.0,37.2876244093697,52.9408771751297
2003-01-01,35112.1,37.3673142399359,52.5854202575281
2003-04-01,36086.2,37.589928057554,52.6451547643132
2003-07-01,35604.7,38.4439359267735,53.5764658472698
2003-10-01,38730.6,37.9629171817058,53.1214017521902
2004-01-01,38013.8,37.9521040701685,53.1969054155228
2004-04-01,39325.1,37.9317130768474,52.9634049323787
2004-07-01,38332.8,38.9185221433814,54.3340589748664
2004-10-01,40517.6,38.9447602390322,53.6226192813666
2005-01-01,41108.7,39.2034456058846,53.6279296875
2005-04-01,42728.7,39.5356694661647,53.9145216124332
2005-07-01,42095.4,40.457575902921,55.3073434333687
2005-10-01,44298.1,39.9666983824929,54.5667671403282
2006-01-01,45257.0,40.0938477580813,54.9267737807479
2006-04-01,45953.0,40.3904329740972,55.103197468474
2006-07-01,46322.4,41.2862973213867,56.0851023946764
2006-10-01,47381.7,40.965652234702,55.5369361820975
2007-01-01,49626.4,43.3432226960875,57.9556502013796
2007-04-01,49441.5,43.8350477420545,58.1824881396527
2007-07-01,48127.8,44.470922505843,58.62873347665
2007-10-01,49933.8,43.9887359767452,57.4335680218033
2008-01-01,48269.0,43.8336347197107,56.4467326017252
2008-04-01,47260.5,43.8752482397545,56.562726613488
2008-07-01,46955.0,43.5835351089588,55.8820873961719
2008-10-01,45135.1,42.617464637901,53.538212697129
2009-01-01,43435.3,41.0534196503281,49.751684994679
2009-04-01,43132.6,40.8119376782971,48.6697064943114
2009-07-01,42229.9,40.446487196323,47.8964830789648
2009-10-01,40988.0,39.8749672116814,46.8108634111819
2010-01-01,41730.7,39.296943231441,45.8167506854161
2010-04-01,41707.6,39.2405615136455,45.8740331491713
2010-07-01,42754.0,38.8209701979552,45.8633331860948
2010-10-01,41481.4,38.3840139009557,44.7267434166998
2011-01-01,42179.9,38.0677377333912,44.2445884583168
2011-04-01,43074.2,38.5206073752712,44.5687111972172
2011-07-01,43632.4,37.8984753984754,44.484565590735
2011-10-01,42064.4,38.0641253082948,44.4194855532065
2012-01-01,43410.6,37.7009507346586,43.6481367280416
2012-04-01,43658.3,37.9922279792746,43.9711000484603
2012-07-01,44765.8,37.7649491642254,44.4742748998724
2012-10-01,43269.2,37.9491372262146,44.4972288202692
2013-01-01,43301.6,37.7131048734286,44.6436417962914
2013-04-01,44368.4,38.4370015948963,45.5009235640778
2013-07-01,46864.1,38.8671286532088,46.4263790230641
2013-10-01,45082.2,38.7616551368539,46.8056224547883
2014-01-01,46487.0,38.4361044314668,46.24381269438
2014-04-01,48298.8,38.787072406541,46.7848056847092
2014-07-01,50599.6,39.4175923146202,47.7458926615553
