date,CPMNACNSAB1GQES,LREPTTFEESQ156N,LREPTTMAESQ156N
1999-01-01,141050.0,25.2440566201443,47.8656007631372
1999-04-01,149831.0,25.8582368461436,48.6793058460519
1999-07-01,145954.0,26.1388516836273,49.3919072516481
1999-10-01,158888.0,26.746739436168,49.1952576670981
2000-01-01,153800.0,27.2051255534051,49.3575036780214
2000-04-01,162872.0,27.8319775210249,50.1043145737968
2000-07-01,158993.0,28.0764424843807,50.8172446014879
2000-10-01,172186.0,28.4453177698918,50.7061679636406
2001-01-01,166581.0,28.74003080943,50.5769981891134
2001-04-01,176446.0,28.9047461647644,51.1957587458179
2001-07-01,171995.0,29.2764497179084,51.6246614239828
2001-10-01,185971.0,29.4855684652116,51.4030317926904
2002-01-01,177793.0,29.9252110049411,51.100094663943
2002-04-01,189754.0,30.4645841909266,51.5654587815397
2002-07-01,183547.0,30.6383648098538,51.7518114959084
2002-10-01,198458.0,30.8913812899124,51.4165452485025
2003-01-01,190914.0,30.96722357445,51.4728000781326
2003-04-01,202759.0,31.6598027910479,51.9893460869227
2003-07-01,196507.0,32.0508071662673,52.3113625255864
2003-10-01,212086.0,32.3547129281562,52.0789580162232
2004-01-01,203839.0,32.439529740426,51.8455240462833
2004-04-01,217083.0,32.9195400165208,52.226954829889
2004-07-01,210474.0,33.3807993712291,52.6811763194091
2004-10-01,228041.0,33.7551364111154,52.7742295646579
2005-01-01,219751.0,34.2567802981681,53.0124111055156
2005-04-01,235008.0,35.2875090767102,53.5375481115908
2005-07-01,226691.0,35.5033517341185,54.2040599287274
2005-10-01,245907.0,35.7470800719728,53.9762303951848
2006-01-01,238368.0,35.8750796225102,53.8532020935431
2006-04-01,254165.0,36.5414995746749,54.2600752184654
2006-07-01,245044.0,36.5825235756033,54.7312735714876
2006-10-01,266246.0,37.0176119309794,54.2911912368781
2007-01-01,256341.0,37.0456866314434,54.133184422471
2007-04-01,272717.0,37.566366791185,54.580975052285
2007-07-01,260915.0,37.7479305200435,54.7179816736398
2007-10-01,285566.0,37.800044670033,54.0139787637196
2008-01-01,267967.0,37.5698494743827,53.4873160177015
2008-04-01,285050.0,37.8464002228102,53.0132774965731
2008-07-01,269860.0,37.8073646033977,52.3626329893078
2008-10-01,286664.0,37.36760845403,50.3293592705596
2009-01-01,258309.0,36.2055267702936,47.9923206650727
2009-04-01,272044.0,36.1134461932413,47.4012464868336
2009-07-01,260550.0,36.125888814283,47.0324890714584
2009-10-01,278420.0,35.8356143192922,46.2991973951545
2010-01-01,257598.0,35.5652397921944,45.4865680546051
2010-04-01,273434.0,35.5186967599146,45.9058225184146
2010-07-01,261706.0,35.5821097595983,46.0661850078208
2010-10-01,279971.0,35.6517051968719,45.2620014706397
2011-01-01,258719.0,35.1803324940473,44.6144556699497
2011-04-01,272481.0,35.8450355336887,44.7355646229943
2011-07-01,259493.0,35.3223219465584,44.5949784760614
2011-10-01,273070.0,34.8144645648831,43.5815251328585
2012-01-01,252313.0,34.4075348884762,42.3395114873458
2012-04-01,262527.0,34.4941603568978,42.2698541151768
2012-07-01,253340.0,34.1819994716254,42.2277966754661
2012-10-01,262919.0,33.6717392045261,41.3320776205703
2013-01-01,246846.0,33.2230432391177,40.5300587443022
2013-04-01,259228.0,33.4067416113971,41.0174824867497
2013-07-01,251199.0,33.5234872084129,41.3347192614647
2013-10-01,263075.0,33.4791663993773,41.0687730291464
2014-01-01,248197.0,33.3289094575329,40.5224019170064
2014-04-01,260733.0,33.8611590196137,41.7045826007828
2014-07-01,254780.0,33.7993632208699,42.4457602403782
2014-10-01,268448.0,34.2705089154317,42.2462563866839
