date,CPMNACNSAB1GQAT,LREPTTFEATQ156N,LREPTTMAATQ156N
1998-01-01,46417.4,39.1524305300975,53.7817325307511
1998-04-01,49304.0,,
1998-07-01,49557.3,,
1998-10-01,51067.9,,
1999-01-01,48099.4,39.4176795040758,53.939695075708
1999-04-01,50867.2,39.0957252020214,54.4436029354156
1999-07-01,51625.1,39.4883800326774,54.8203616249641
1999-10-01,53258.9,39.0750261945954,54.2755096720371
2000-01-01,50660.1,39.5253642610009,53.7076602397082
2000-04-01,53226.0,39.207660258753,54.7456656427344
2000-07-01,53588.7,39.5390200521404,55.0122376711972
2000-10-01,56131.6,39.6121141242112,54.5558709408609
2001-01-01,52479.4,39.7610298591001,53.574025974026
2001-04-01,55282.0,40.1893266493077,54.3159587992632
2001-07-01,55193.8,40.0019468035919,54.7674026412059
2001-10-01,57569.8,40.3499379456355,54.1956228606991
2002-01-01,53691.9,40.6196424197894,52.9577538980194
2002-04-01,56905.2,40.8395545220903,53.8014922236234
2002-07-01,57213.8,40.9724600107616,54.1896651421963
2002-10-01,58924.4,40.8443478048423,53.8917444665897
2003-01-01,55391.2,40.9129558098292,53.2745787242841
2003-04-01,58012.4,41.3877689804245,54.0797110795821
2003-07-01,58254.0,41.6771844660194,54.4577691811734
2003-10-01,60204.9,41.0170066379185,54.1866090268128
2004-01-01,57007.9,39.950342300646,51.5172627341694
2004-04-01,60126.4,40.4169988644874,53.1148130085475
2004-07-01,61252.9,41.1168737184899,53.8831967213115
2004-10-01,63961.1,40.797804472905,53.0081425326084
2005-01-01,59436.9,41.2660660660661,51.8755089576547
2005-04-01,63511.0,41.2487697145738,53.0117724834092
2005-07-01,64068.8,41.9819690212439,54.3567622430855
2005-10-01,67058.3,41.3831874073011,53.5236215491283
2006-01-01,63094.8,41.7305533662917,52.3047003258152
2006-04-01,66380.6,42.1861575178998,54.26018025296
2006-07-01,67499.3,43.3517047216854,55.7341880773308
2006-10-01,70849.7,42.6685727900882,54.4211692431643
2007-01-01,66697.9,42.7296100557063,54.1554555284532
2007-04-01,70832.7,43.1269475036274,55.7599638590503
2007-07-01,71132.2,43.9211677443895,56.3604904837132
2007-10-01,75315.2,43.2495311350094,55.4202070331103
2008-01-01,69990.9,43.7274625166066,54.4056889601122
2008-04-01,74452.1,44.2645490103117,55.9556510013484
2008-07-01,73807.7,44.6503910879355,56.3058788272314
2008-10-01,75511.2,44.4586560553305,55.4708777891607
2009-01-01,68570.7,44.5530957736474,53.4225373208847
2009-04-01,71443.6,44.8726446359246,54.4677137870855
2009-07-01,72195.7,45.0894547519879,55.1514547628537
2009-10-01,75834.1,44.5620834711916,54.8398337357194
2010-01-01,69190.2,44.538192474948,53.2162141986214
2010-04-01,73490.4,44.4187254948273,54.7240667512249
2010-07-01,74453.4,45.3566621803499,55.3110095389507
2010-10-01,78762.6,45.0301772915881,55.1701895405379
2011-01-01,73518.3,44.7793909682285,53.8892886385629
2011-04-01,77337.5,44.9387947269303,55.2360684945066
2011-07-01,78092.6,45.6512016571334,55.9285555253197
2011-10-01,81180.2,44.9975334163358,55.4433941308586
2012-01-01,76233.6,45.1993987505284,54.131110343807
2012-04-01,79368.4,45.5667973426606,55.3756030323914
2012-07-01,79558.2,46.0318577427452,56.0380418755529
2012-10-01,83492.9,45.5347531008659,54.8632405249601
2013-01-01,77118.6,45.1333021515435,53.3730304589674
2013-04-01,80679.3,45.7062478021334,54.5796090757293
2013-07-01,81143.6,46.252225241263,55.2776008232469
2013-10-01,84968.7,45.5709213231172,54.7377430003668
2014-01-01,78975.3,45.4800084027729,53.5032002736112
2014-04-01,83235.7,46.2493882972526,54.5148871887335
2014-07-01,83365.8,46.3137072376076,55.2657169251714
