date,CPMNACNSAB1GQBE,LREPTTFEBEQ156N,LREPTTMABEQ156N
1998-04-01,58805.0,,
1998-07-01,56822.0,,
1998-10-01,60309.0,,
1999-01-01,58150.0,32.1532567049808,46.288323287342
1999-04-01,60722.0,32.2164750957854,46.1721769429481
1999-07-01,59219.0,32.5287356321839,46.8290045457276
1999-10-01,64215.0,32.264367816092,46.6627951218535
2000-01-01,61774.0,32.3918900842713,46.9636436276468
2000-04-01,64522.0,33.291930213449,47.5009988014383
2000-07-01,62471.0,33.3091284324779,47.7467039552537
2000-10-01,67609.0,32.8677074774034,46.9676388333999
2001-01-01,63929.0,32.6970748636589,46.7823903382028
2001-04-01,67113.0,32.4169748732222,46.5962534874452
2001-07-01,64389.0,32.6285888588096,47.455161418892
2001-10-01,68904.0,32.5752087543371,46.2415304902352
2002-01-01,65846.0,32.4353571021756,46.3399639053606
2002-04-01,69024.0,32.6764627710066,46.2348531424152
2002-07-01,66615.0,33.1339940008353,46.7961049521052
2002-10-01,71770.0,33.1795572768349,46.1932054816254
2003-01-01,67859.0,32.9627528833428,45.0808186465097
2003-04-01,70879.0,32.9306107014559,45.6472399297401
2003-07-01,68400.0,32.9646435999244,45.9965659476208
2003-10-01,74063.0,33.7511816978635,46.18405731315
2004-01-01,71340.0,33.3898400858903,45.9692162528749
2004-04-01,74658.0,33.8689926715774,46.1287405135465
2004-07-01,72502.0,33.0855368401242,46.8569854604836
2004-10-01,78320.0,34.1055922849447,46.2040495380381
2005-01-01,74301.0,34.4749414519906,46.4767528252454
2005-04-01,78056.0,34.7184284377923,45.9991801198587
2005-07-01,75474.0,34.3124065769806,46.944742227853
2005-10-01,82206.0,34.7103124300947,46.7840124477293
2006-01-01,78167.0,34.4013553515909,45.8275058275058
2006-04-01,81604.0,34.5565408138605,45.7103517821821
2006-07-01,79178.0,34.9067815494318,46.4206184768507
2006-10-01,86202.0,35.2376895868442,47.367099851314
2007-01-01,82909.0,35.1813155315569,47.1492200605441
2007-04-01,86740.0,35.4491393957302,46.6915657547697
2007-07-01,83630.0,35.8174454943876,47.2089929236643
2007-10-01,90340.0,36.5418206556714,47.0468782926876
2008-01-01,85776.0,36.5105304713465,47.0672608005508
2008-04-01,89999.0,36.0852343578083,46.7210297150714
2008-07-01,85932.0,36.6107523734611,46.8965385933514
2008-10-01,90035.0,36.1800335692914,46.9462169553327
2009-01-01,83524.0,36.1451709876656,46.1502000265438
2009-04-01,86426.0,36.1584489751378,45.5587934753813
2009-07-01,84648.0,36.0389964053593,45.8781768060119
2009-10-01,91875.0,36.3537631683742,46.0585288689692
2010-01-01,86559.0,36.7610926434456,45.7641133578892
2010-04-01,91498.0,35.8937363608491,46.0070910011818
2010-07-01,88635.0,36.4436524650359,46.0929605927922
2010-10-01,96448.0,37.2057979334099,46.2472262106775
2011-01-01,90847.0,36.1601146234441,45.3151174477906
2011-04-01,94533.0,36.8930129442895,46.075535492021
2011-07-01,91288.0,36.5802295076116,45.2196478220575
2011-10-01,99300.0,36.6154065214296,46.0972453318543
2012-01-01,93770.0,36.174414260554,45.6159801910675
2012-04-01,97361.0,36.197343183917,45.844395280236
2012-07-01,93638.0,36.7299503193754,45.4070077884775
2012-10-01,101406.0,36.9736003963479,44.8470830120792
2013-01-01,94778.0,36.3527082449441,44.5891415994131
2013-04-01,99134.0,36.4479705970703,45.5680193555482
2013-07-01,95256.0,37.3965081999047,44.6728664006151
2013-10-01,103712.0,36.6748295484576,44.6665448565686
2014-01-01,97159.0,36.5617518659344,44.3300662541751
2014-04-01,100995.0,37.1744597042221,44.287484962269
2014-07-01,98215.0,37.2937641663592,44.183082693078
2014-10-01,106635.0,37.1576843507837,44.617844230874
